publication_id,tool,quote,best_match_source,best_match,similarity
100,AMSTAR,This systematic article was conducted according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines.,fulltext,This systematic article was conducted according to the Preferred Reporting Items for Systematic Reviews and MetaAnalyses guidelines.,99.24812030075188
100,AMSTAR,"In addition, conference abstracts from a variety of pediatric surgery meetings were searched by 1 author (EM).",fulltext, variety of pediatric surgery meetings were searched by 1 author (EM).,63.63636363636363
100,AMSTAR,The reference lists of eligible studies were examined to identify further studies.,fulltext,The reference lists of eligible studies were examined to identify further studies.,100.0
100,AMSTAR,"However, our article is based upon a group of heterogeneous and mostly retrospective studies, and therefore there is little external validity.",fulltext,y was longer. Our article is based upon a group of heterogeneous and mostly retrospective studies and therefore there is little external validity.,96.47887323943662
100,AMSTAR,Two authors searched Medline and Embase to identify relevant studies,fulltext,Two authors searched Medline and Embase to identify relevant studies,100.0
100,AMSTAR,"Statistical analyses were completed using RevMan version 5.3 (Cochrane Collaboration, Copenhagen, Denmark). Pooled risk ratios and pooled mean differences were used to evaluate the effect of treatment by general surgery units or pediatric surgery units on dichotomous and continuous outcomes, respectively.",fulltext,"Statistical analyses were completed using RevMan version 5.3 10 (Cochrane Collaboration, Copenhagen, Denmark). Pooled risk ratios and pooled mean differences were used to evaluate the effect of treatment by general surgery units or pediatric surgery units on dichotomous and continuous outcomes, respectively.",100.0
100,AMSTAR,The authors have no funding and conflicts of interest to disclose.,fulltext,The authors have no funding and conflicts of interest to disclose.,100.0
100,AMSTAR,Characteristics of the 9 included studies are shown in Table 1 and results from the studies are provided in Table 2.,fulltext,"Characteristics of the 9 included studies 8,11–18 are shown in Table 1 and results from the studies are provided in Table 2.",100.0
100,AMSTAR,Two authors (DD and DH) independently extracted data from eligible studies using an electronic spreadsheet.,fulltext,Two authors (DD and DH) independently extracted data from eligible studies using an electronic spreadsheet.,100.0
100,AMSTAR,The potential for publication bias was evaluated by visually inspecting funnel plots.,fulltext,The potential for publication bias was evaluated by visually inspecting funnel plots.,100.0
100,AMSTAR,Study quality was assessed using the Downs and Black tool.,fulltext,Study quality was assessed using the Downs and Black tool.,100.0
100,AMSTAR,"In order to identify studies and determine eligibility, 2 authors (DD and MM) independently searched Medline and EMBASE up to June 24, 2015",fulltext,"In order to identify studies and determine eligibility, 2 authors (DD and MM) independently searched Medline and EMBASE up to June 24, 2015",100.0
100,AMSTAR,Figure 1 summarizes the results of the search.,fulltext,Figure 1 summarizes the results of the search.,100.0
100,PRISMA,"Pooled risk ratios and pooled mean differences were used to evaluate the effect of treatment by general surgery units or pediatric surgery units on dichotomous and continuous outcomes, respectively.",fulltext,"Pooled risk ratios and pooled mean differences were used to evaluate the effect of treatment by general surgery units or pediatric surgery units on dichotomous and continuous outcomes, respectively.",100.0
100,PRISMA,"Eligible studies had to report on at least 1 of the following outcomes: normal appendicectomy rate, wound infections, intra-abdominal collections, readmissions, mortality, and length of stay.",fulltext,"Eligible studies had to report on at least 1 of the following outcomes: normal appendicectomy rate, wound infections, intra-abdominal collections, readmissions, mortality, and length of stay.",100.0
100,PRISMA,We found that children who were managed by specialized pediatric surgery teams had lower rates of negative appendicectomy although mean length of stay was longer.,fulltext,We found that children who were managed by specialized pediatric surgery teams had lower rates of negative appendicectomy although mean length of stay was longer.,100.0
100,PRISMA,"We also excluded review articles, case reports, and case series and we limited eligibility to English language studies.",fulltext,"We also excluded review articles, case reports, and case series and we limited eligibility to English language studies.",100.0
100,PRISMA,We used Mantel Haenszel random effects models,fulltext,We used Mantel Haenszel random effects models,100.0
100,PRISMA,"Extracted data comprised details on the following variables: lead author, publication date, study design, inclusion and exclusion criteria, outcomes reported, whether there was a specified primary endpoint, main results, numbers and characteristics of patients, surgical approach, rate of negative appendiceal histology, wound infections, intra-abdominal collections, readmissions, mortality, and length of stay.",fulltext,"Extracted data comprised details on the following variables: lead author, publication date, study design, inclusion and exclusion criteria, outcomes reported, whether there was a specified primary endpoint, main results, numbers and characteristics of patients, surgical approach, rate of negative appendiceal histology, wound infections, intra-abdominal collections, readmissions, mortality, and length of stay.",100.0
100,PRISMA,Figure 1 summarizes the results of the search,fulltext,Figure 1 summarizes the results of the search,100.0
100,PRISMA,Titles and abstracts were examined initially and then full manuscripts were obtained to finalize eligibility.,fulltext,Titles and abstracts were examined initially and then full manuscripts were obtained to finalize eligibility.,100.0
100,PRISMA,Statistical heterogeneity was assessed using the I2 statistic.,fulltext,Statistical heterogeneity was assessed using the I 2 statistic.,100.0
100,PRISMA,Eligible studies were comparative and provided data on children who had appendicectomy while under the care of general or pediatric surgical teams,fulltext,Eligible studies were comparative and provided data on children who had appendicectomy while under the care of general or pediatric surgical teams,100.0
100,PRISMA,We found that children who were managed by specialized pediatric surgery teams had lower rates of negative appendicectomy although mean length of stay was longer,fulltext,We found that children who were managed by specialized pediatric surgery teams had lower rates of negative appendicectomy although mean length of stay was longer,100.0
100,PRISMA,Figures 2 and 3.,prompt,"ress), and, ",62.5
