"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11"
"100","0","1","1","deferred","0","1","1","1","1","1","0"
"101","deferred","1","1","deferred","0","1","0","deferred","NA","deferred","0"
"102","0","deferred","deferred","0","0","deferred","0","deferred","NA","deferred","0"
"103","deferred","0","deferred","0","0","1","0","deferred","deferred","deferred","0"
"104","0","deferred","deferred","0","0","1","0","deferred","NA","deferred","0"
"105","deferred","deferred","deferred","0","0","1","0","0","NA","0","0"
"106","deferred","0","deferred","0","deferred","1","1","1","deferred","deferred","0"
"107","deferred","deferred","1","1","deferred","1","1","1","deferred","deferred","deferred"
"108","0","deferred","1","0","deferred","1","1","1","deferred","deferred","0"
"109","deferred","1","0","deferred","deferred","1","deferred","deferred","1","deferred","0"
"110","0","deferred","deferred","0","deferred","1","0","deferred","NA","0","0"
"111","0","0","0","0","0","0","0","0","NA","0","0"
"112","deferred","1","1","deferred","deferred","1","deferred","deferred","1","deferred","0"
"113","deferred","deferred","deferred","0","0","deferred","deferred","deferred","NA","deferred","0"
"114","deferred","0","deferred","deferred","deferred","1","deferred","0","NA","deferred","deferred"
"115","deferred","1","deferred","0","0","1","deferred","deferred","1","deferred","0"
"116","deferred","0","deferred","0","0","1","1","deferred","1","deferred","0"
"117","1","1","1","1","0","1","deferred","deferred","deferred","deferred","0"
"118","deferred","1","deferred","deferred","0","1","deferred","deferred","1","deferred","0"
"119","deferred","1","deferred","0","deferred","1","deferred","deferred","NA","deferred","0"
"120","deferred","deferred","1","0","0","1","1","0","deferred","1","0"
"121","1","1","deferred","0","1","1","0","deferred","1","1","0"
"122","1","deferred","1","1","1","1","deferred","deferred","deferred","deferred","0"
"123","deferred","1","1","0","deferred","1","0","deferred","deferred","deferred","0"
"124","0","1","deferred","0","0","1","deferred","deferred","deferred","deferred","0"
"125","deferred","deferred","1","0","0","1","deferred","deferred","deferred","0","0"
"126","deferred","deferred","deferred","0","0","1","0","deferred","deferred","deferred","0"
"127","deferred","0","deferred","0","0","deferred","deferred","deferred","NA","0","0"
"128","0","deferred","0","deferred","0","1","0","deferred","NA","deferred","0"
"129","deferred","1","deferred","0","deferred","1","1","deferred","deferred","deferred","0"
"130","0","1","deferred","0","0","1","deferred","deferred","NA","0","0"
"131","deferred","deferred","deferred","0","0","1","deferred","deferred","NA","deferred","0"
"132","0","0","1","deferred","0","1","0","deferred","NA","0","0"
"133","0","0","deferred","0","0","deferred","0","deferred","NA","0","0"
"134","deferred","deferred","deferred","deferred","0","deferred","0","deferred","deferred","0","0"
"135","deferred","1","deferred","deferred","deferred","deferred","deferred","deferred","NA","deferred","0"
"136","0","0","deferred","0","0","deferred","0","deferred","NA","deferred","0"
"137","0","0","1","1","0","deferred","deferred","deferred","1","deferred","0"
"138","1","0","deferred","0","deferred","1","deferred","deferred","1","deferred","0"
"139","deferred","deferred","0","deferred","0","1","0","deferred","deferred","0","0"
"140","deferred","0","0","deferred","deferred","deferred","deferred","deferred","NA","deferred","0"
"141","deferred","0","0","deferred","0","1","deferred","1","NA","deferred","0"
"142","1","1","1","1","deferred","1","1","1","1","1","0"
"143","0","1","deferred","0","deferred","1","0","deferred","1","deferred","0"
"144","0","0","0","0","0","deferred","0","deferred","NA","deferred","0"
"145","0","1","deferred","deferred","0","1","1","deferred","NA","deferred","0"
"146","deferred","1","1","1","0","1","1","1","deferred","deferred","0"
"147","deferred","deferred","deferred","0","deferred","1","1","deferred","deferred","0","0"
"148","0","1","deferred","0","1","1","1","1","deferred","deferred","0"
"149","0","0","deferred","0","0","1","1","1","NA","0","0"
"150","0","1","1","deferred","deferred","deferred","1","deferred","1","0","0"
"151","0","deferred","1","deferred","1","1","deferred","deferred","1","1","0"
"152","1","0","1","0","0","1","deferred","deferred","deferred","0","0"
"153","deferred","1","1","0","deferred","1","1","1","deferred","deferred","0"
"154","deferred","deferred","deferred","0","deferred","1","1","1","deferred","deferred","0"
"155","1","1","deferred","0","deferred","1","1","deferred","1","deferred","0"
"156","deferred","0","deferred","0","deferred","1","0","deferred","NA","0","deferred"
"157","1","deferred","1","1","deferred","NA","NA","NA","NA","deferred","deferred"
"158","deferred","1","1","deferred","0","1","0","deferred","NA","0","0"
"159","deferred","1","deferred","deferred","0","deferred","0","0","NA","0","0"
"160","1","1","1","1","deferred","deferred","NA","NA","NA","NA","deferred"
"161","1","1","deferred","0","0","1","deferred","deferred","deferred","deferred","0"
"162","0","1","deferred","0","deferred","1","1","1","NA","deferred","0"
"163","deferred","0","deferred","0","0","0","0","deferred","NA","deferred","0"
"164","0","deferred","deferred","0","1","1","0","deferred","1","1","0"
"165","deferred","0","deferred","0","deferred","1","0","deferred","deferred","0","0"
"166","0","deferred","1","1","1","1","1","1","deferred","deferred","0"
"167","deferred","1","deferred","deferred","0","1","deferred","deferred","deferred","deferred","0"
"168","0","1","deferred","0","deferred","1","0","deferred","NA","deferred","0"
"169","1","1","1","deferred","0","1","1","deferred","1","1","0"
"170","deferred","0","deferred","0","0","deferred","0","deferred","NA","0","0"
"171","deferred","deferred","deferred","0","0","1","0","0","deferred","0","0"
"172","0","0","1","0","0","1","0","deferred","deferred","deferred","0"
"61","0","deferred","1","1","0","1","0","deferred","NA","deferred","0"
"62","0","0","1","0","0","1","0","deferred","NA","deferred","0"
"63","0","deferred","deferred","0","deferred","1","0","deferred","deferred","deferred","0"
"64","1","1","1","deferred","deferred","1","deferred","deferred","1","0","0"
"65","0","1","deferred","0","0","1","1","deferred","1","0","0"
"66","0","deferred","deferred","0","0","1","deferred","deferred","NA","0","0"
"67","0","0","deferred","0","0","1","0","deferred","NA","deferred","0"
