"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.926526181809879,0.905435966333824,0.946188170908191,0.957674655787863,0.945838269283742,0.969206053370718,0.351521164021164,0.332349670989023,0.372346096206744
"P1",0.331058020477816,NA,NA,0.935185185185185,NA,NA,0.0357142857142857,NA,NA
"P2",0.782664941785252,NA,NA,0.884615384615385,NA,NA,0.767857142857143,NA,NA
"P3",0.495495495495495,NA,NA,0.990990990990991,NA,NA,0.00892857142857143,NA,NA
"P4",0.753122703894195,NA,NA,0.967032967032967,NA,NA,0.1875,NA,NA
"P5",0.951261966927763,NA,NA,0.990384615384615,NA,NA,0.0714285714285714,NA,NA
"P6",0.947955390334573,NA,NA,0.988888888888889,NA,NA,0.196428571428571,NA,NA
"P7",0.798440311937612,NA,NA,0.875,NA,NA,0.571428571428571,NA,NA
"P8",0.893788525367473,NA,NA,0.953488372093023,NA,NA,0.232142857142857,NA,NA
"P9",0.797285067873303,NA,NA,0.975308641975309,NA,NA,0.276785714285714,NA,NA
"P10",0.902140672782875,NA,NA,0.951807228915663,NA,NA,0.258928571428571,NA,NA
"P11",0.953947368421053,NA,NA,0.98780487804878,NA,NA,0.267857142857143,NA,NA
"P12",0.930239800685145,NA,NA,0.96875,NA,NA,0.428571428571429,NA,NA
"P13",0.951388888888889,NA,NA,0.974358974358974,NA,NA,0.303571428571429,NA,NA
"P14",0.967184295341342,NA,NA,0.982758620689655,NA,NA,0.482142857142857,NA,NA
"P15",0.56420233463035,NA,NA,0.714285714285714,NA,NA,0.875,NA,NA
"P16",1,NA,NA,1,NA,NA,0.517857142857143,NA,NA
"P17",0.972027972027972,NA,NA,0.988095238095238,NA,NA,0.25,NA,NA
"P18",0.956521739130435,NA,NA,0.98936170212766,NA,NA,0.160714285714286,NA,NA
"P19",0.959464350343829,NA,NA,0.983606557377049,NA,NA,0.455357142857143,NA,NA
"P20",0.896869244935543,NA,NA,0.941176470588235,NA,NA,0.544642857142857,NA,NA
"P21",1,NA,NA,1,NA,NA,0.383928571428571,NA,NA
"P22",0.43859649122807,NA,NA,0.636363636363636,NA,NA,0.901785714285714,NA,NA
"P23",1,NA,NA,1,NA,NA,0.526785714285714,NA,NA
"P24",0.634881825590872,NA,NA,0.91304347826087,NA,NA,0.178571428571429,NA,NA
"P25",0.623318385650224,NA,NA,0.817073170731707,NA,NA,0.267857142857143,NA,NA
"P26",0.222222222222222,NA,NA,0.972222222222222,NA,NA,0.0357142857142857,NA,NA
"P27",0.792130660727543,NA,NA,0.935897435897436,NA,NA,0.303571428571429,NA,NA
