"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.90687459145123,0.881222472530799,0.930087051365273,0.945748565466875,0.931825475139944,0.959247608332409,0.336448598130841,0.317765803070545,0.355140186915888
"P1",0.16078431372549,NA,NA,0.92156862745098,NA,NA,0.0467289719626168,NA,NA
"P2",0.843681519357195,NA,NA,0.916666666666667,NA,NA,0.775700934579439,NA,NA
"P3",0.495283018867925,NA,NA,0.990566037735849,NA,NA,0.00934579439252336,NA,NA
"P4",0.786640079760718,NA,NA,0.970588235294118,NA,NA,0.364485981308411,NA,NA
"P5",1,NA,NA,1,NA,NA,0.0841121495327103,NA,NA
"P6",0.894320987654321,NA,NA,0.974025974025974,NA,NA,0.280373831775701,NA,NA
"P7",0.833333333333333,NA,NA,0.916666666666667,NA,NA,0.439252336448598,NA,NA
"P8",0.906112898508336,NA,NA,0.961538461538462,NA,NA,0.271028037383178,NA,NA
"P9",0.785140562248996,NA,NA,0.975308641975309,NA,NA,0.242990654205607,NA,NA
"P10",0.952232142857143,NA,NA,0.976470588235294,NA,NA,0.205607476635514,NA,NA
"P11",0.943475964078183,NA,NA,0.979166666666667,NA,NA,0.551401869158878,NA,NA
"P12",0.945795339412361,NA,NA,0.974358974358974,NA,NA,0.271028037383178,NA,NA
"P13",0.968011958146487,NA,NA,0.982142857142857,NA,NA,0.476635514018692,NA,NA
"P14",0.954409884959523,NA,NA,0.976190476190476,NA,NA,0.214953271028037,NA,NA
"P15",0.572,NA,NA,0.694444444444444,NA,NA,0.663551401869159,NA,NA
"P16",0.406105457909343,NA,NA,0.796610169491525,NA,NA,0.448598130841121,NA,NA
"P17",0.972084529089486,NA,NA,0.987951807228916,NA,NA,0.224299065420561,NA,NA
"P18",0.959160305343511,NA,NA,0.988095238095238,NA,NA,0.214953271028037,NA,NA
"P19",0.968859138533178,NA,NA,0.986666666666667,NA,NA,0.299065420560748,NA,NA
"P20",0.867025683512842,NA,NA,0.918918918918919,NA,NA,0.654205607476635,NA,NA
"P21",0.976390114739629,NA,NA,0.9875,NA,NA,0.252336448598131,NA,NA
"P22",0.651627906976744,NA,NA,0.758620689655172,NA,NA,0.728971962616822,NA,NA
"P23",0.447187141216992,NA,NA,0.842105263157895,NA,NA,0.467289719626168,NA,NA
"P24",0.648604269293924,NA,NA,0.909090909090909,NA,NA,0.177570093457944,NA,NA
"P25",0.603703703703704,NA,NA,0.805555555555556,NA,NA,0.327102803738318,NA,NA
"P26",0.181122448979592,NA,NA,0.969387755102041,NA,NA,0.0841121495327103,NA,NA
"P27",1,NA,NA,1,NA,NA,0.308411214953271,NA,NA
