"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27"
"100","deferred","1","1","0","0","1","1","deferred","1","1","0","1","deferred","1","1","0","1","1","deferred","1","1","1","1","1","1","1","deferred","1","1","deferred","deferred","1","1","deferred","1","1","1","0"
"101","deferred","deferred","1","deferred","0","1","deferred","0","NA","deferred","0","deferred","deferred","1","1","0","1","1","0","1","deferred","deferred","0","deferred","NA","deferred","NA","1","1","0","deferred","NA","deferred","NA","1","0","1","0"
"102","0","0","0","deferred","0","0","0","deferred","NA","deferred","deferred","0","0","deferred","deferred","deferred","0","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","0","deferred","deferred","deferred"
"103","deferred","deferred","deferred","deferred","deferred","1","deferred","deferred","deferred","1","0","1","deferred","1","deferred","deferred","1","1","1","1","1","1","deferred","deferred","deferred","deferred","deferred","1","1","deferred","deferred","deferred","deferred","deferred","1","1","deferred","0"
"104","deferred","deferred","deferred","deferred","0","1","0","deferred","NA","deferred","deferred","1","deferred","1","1","0","1","1","0","1","0","1","0","NA","NA","deferred","NA","1","1","0","NA","NA","deferred","NA","1","1","1","1"
"105","deferred","deferred","deferred","0","deferred","1","0","0","NA","deferred","0","1","0","1","1","0","1","1","deferred","1","1","1","0","deferred","NA","deferred","NA","1","1","0","deferred","NA","deferred","NA","1","1","1","0"
"106","deferred","deferred","deferred","0","deferred","1","1","1","deferred","deferred","deferred","1","deferred","1","1","deferred","1","deferred","deferred","1","deferred","1","deferred","deferred","deferred","deferred","deferred","1","1","deferred","deferred","deferred","deferred","deferred","1","deferred","1","deferred"
"107","deferred","deferred","1","1","deferred","1","1","1","1","deferred","deferred","1","deferred","1","1","0","deferred","deferred","deferred","1","1","1","1","1","1","deferred","deferred","1","1","1","1","1","deferred","deferred","1","1","1","1"
"108","deferred","0","1","0","0","1","1","1","1","deferred","0","1","deferred","1","1","0","1","1","deferred","1","1","1","1","deferred","1","deferred","0","1","1","0","1","deferred","0","0","1","1","1","0"
"109","0","1","0","deferred","0","1","deferred","deferred","deferred","deferred","deferred","1","deferred","1","1","deferred","1","deferred","0","1","1","1","deferred","1","1","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","1","1","1","1"
"110","deferred","1","deferred","deferred","deferred","1","0","deferred","NA","deferred","0","1","deferred","1","1","0","1","1","0","1","1","1","deferred","deferred","NA","deferred","NA","1","1","deferred","deferred","NA","deferred","NA","1","1","1","0"
"111","deferred","0","0","0","0","0","0","0","NA","deferred","0","deferred","0","1","deferred","0","0","0","0","0","0","0","0","deferred","NA","deferred","NA","0","0","0","deferred","NA","deferred","NA","0","0","deferred","0"
"112","deferred","deferred","1","deferred","0","deferred","0","deferred","deferred","deferred","0","1","deferred","1","1","0","deferred","1","0","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","0","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"113","deferred","0","deferred","0","0","deferred","1","1","NA","deferred","0","1","deferred","1","1","0","deferred","deferred","0","deferred","0","0","0","deferred","NA","deferred","NA","0","0","0","deferred","NA","deferred","NA","1","0","1","0"
"114","deferred","deferred","deferred","0","deferred","1","0","deferred","NA","deferred","deferred","1","1","1","1","0","1","deferred","deferred","1","0","1","deferred","deferred","NA","deferred","deferred","0","1","deferred","deferred","NA","deferred","NA","1","1","1","deferred"
"115","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","0","1","deferred","1","1","deferred","deferred","1","deferred","1","deferred","deferred","deferred","1","deferred","deferred","NA","1","0","deferred","deferred","deferred","deferred","deferred","deferred","0","1","deferred"
"116","1","deferred","deferred","0","0","1","1","1","1","deferred","0","1","deferred","1","1","1","1","deferred","deferred","1","1","1","1","1","1","0","deferred","1","1","deferred","1","deferred","0","deferred","1","1","1","0"
"117","deferred","1","deferred","deferred","0","deferred","deferred","deferred","deferred","deferred","0","1","1","1","deferred","1","deferred","deferred","deferred","deferred","deferred","deferred","1","deferred","deferred","deferred","0","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","1"
"118","deferred","deferred","deferred","0","0","1","deferred","deferred","deferred","deferred","0","1","deferred","1","1","0","1","1","1","1","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","0"
"119","deferred","1","deferred","0","0","1","1","1","NA","deferred","0","1","deferred","1","1","0","1","1","1","1","1","1","1","NA","NA","deferred","NA","1","1","1","deferred","NA","deferred","NA","1","deferred","1","0"
"120","0","1","deferred","0","0","1","deferred","0","0","1","deferred","1","deferred","1","1","0","1","1","0","1","1","1","0","1","1","1","NA","1","1","0","1","1","1","NA","1","deferred","1","1"
"121","1","deferred","1","deferred","deferred","1","deferred","deferred","1","1","deferred","1","deferred","1","1","deferred","1","1","deferred","1","deferred","1","deferred","deferred","deferred","deferred","NA","deferred","1","deferred","deferred","deferred","deferred","NA","deferred","deferred","1","deferred"
"122","1","deferred","1","1","1","1","1","1","1","deferred","0","1","1","1","1","deferred","1","1","1","1","1","1","1","1","deferred","deferred","deferred","1","1","1","1","deferred","deferred","deferred","1","1","1","deferred"
"123","deferred","1","1","0","0","1","0","deferred","deferred","0","0","1","deferred","1","1","0","1","1","0","1","1","deferred","0","1","1","deferred","0","1","1","0","1","1","deferred","0","1","1","1","0"
"124","deferred","deferred","deferred","0","0","1","deferred","deferred","deferred","deferred","deferred","1","deferred","1","1","0","1","deferred","deferred","1","1","1","1","1","1","deferred","deferred","deferred","1","deferred","1","deferred","deferred","deferred","1","0","1","0"
"125","deferred","deferred","1","0","0","1","deferred","deferred","deferred","deferred","deferred","1","0","1","1","0","deferred","deferred","0","deferred","deferred","deferred","0","0","deferred","deferred","deferred","0","0","0","0","deferred","deferred","deferred","deferred","deferred","deferred","0"
"126","deferred","deferred","deferred","0","0","1","0","0","deferred","1","0","1","deferred","1","deferred","0","1","1","deferred","1","deferred","deferred","0","1","1","1","0","1","1","0","1","1","1","deferred","1","deferred","1","0"
"127","0","0","deferred","0","0","0","deferred","deferred","NA","deferred","0","deferred","0","1","deferred","0","deferred","0","0","deferred","0","deferred","0","NA","NA","deferred","NA","0","0","0","deferred","NA","deferred","NA","deferred","0","deferred","0"
"128","deferred","0","0","0","0","1","deferred","deferred","NA","deferred","deferred","1","deferred","1","deferred","deferred","1","deferred","deferred","1","deferred","deferred","deferred","NA","NA","deferred","NA","deferred","deferred","deferred","NA","NA","deferred","NA","deferred","deferred","1","deferred"
"129","0","deferred","0","0","0","1","deferred","deferred","deferred","0","0","1","deferred","1","1","0","1","deferred","0","1","1","1","deferred","1","deferred","0","deferred","1","1","deferred","1","1","deferred","deferred","1","deferred","1","0"
"130","deferred","1","0","deferred","0","1","1","1","NA","deferred","deferred","1","deferred","1","1","0","deferred","deferred","0","deferred","deferred","1","deferred","NA","NA","deferred","NA","1","1","deferred","deferred","NA","deferred","NA","deferred","1","1","1"
