"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.872168605065436,0.8383627695922,0.906675107675385,0.93111279333838,0.911370431515563,0.949661359067487,0.468196457326892,0.440428907033336,0.49878204304718
"P1",0.405684754521964,NA,NA,0.941860465116279,NA,NA,0.0652173913043478,NA,NA
"P2",0.814889336016097,NA,NA,0.9,NA,NA,0.782608695652174,NA,NA
"P3",0.477272727272727,NA,NA,0.988636363636364,NA,NA,0.0434782608695652,NA,NA
"P4",0.514511873350923,NA,NA,0.947368421052632,NA,NA,0.173913043478261,NA,NA
"P5",0.879185817465529,NA,NA,0.951219512195122,NA,NA,0.554347826086957,NA,NA
"P6",0.930827067669173,NA,NA,0.985294117647059,NA,NA,0.260869565217391,NA,NA
"P7",0.778526721232547,NA,NA,0.864864864864865,NA,NA,0.597826086956522,NA,NA
"P8",0.826004728132388,NA,NA,0.911111111111111,NA,NA,0.510869565217391,NA,NA
"P9",0.669064748201439,NA,NA,0.96969696969697,NA,NA,0.282608695652174,NA,NA
"P10",0.809819121447028,NA,NA,0.918367346938776,NA,NA,0.467391304347826,NA,NA
"P11",1,NA,NA,1,NA,NA,0.489130434782609,NA,NA
"P12",0.900862068965517,NA,NA,0.95,NA,NA,0.565217391304348,NA,NA
"P13",0.954702117183653,NA,NA,0.975609756097561,NA,NA,0.554347826086957,NA,NA
"P14",0.959328028293546,NA,NA,0.978723404255319,NA,NA,0.489130434782609,NA,NA
"P15",0.494108405341713,NA,NA,0.65,NA,NA,0.782608695652174,NA,NA
"P16",0.509333333333333,NA,NA,0.842105263157895,NA,NA,0.58695652173913,NA,NA
"P17",0.950108459869848,NA,NA,0.983870967741935,NA,NA,0.326086956521739,NA,NA
"P18",1,NA,NA,1,NA,NA,0.358695652173913,NA,NA
"P19",0.751216873985938,NA,NA,0.871794871794872,NA,NA,0.576086956521739,NA,NA
"P20",1,NA,NA,1,NA,NA,0.641304347826087,NA,NA
"P21",0.955938697318008,NA,NA,0.976744186046512,NA,NA,0.532608695652174,NA,NA
"P22",0.405172413793104,NA,NA,0.571428571428571,NA,NA,0.771739130434783,NA,NA
"P23",0.517964071856287,NA,NA,0.815789473684211,NA,NA,0.58695652173913,NA,NA
"P24",0.500387897595035,NA,NA,0.88135593220339,NA,NA,0.358695652173913,NA,NA
"P25",0.643410852713178,NA,NA,0.833333333333333,NA,NA,0.478260869565217,NA,NA
"P26",0.333333333333333,NA,NA,0.971014492753623,NA,NA,0.25,NA,NA
"P27",0.788384128809661,NA,NA,0.902439024390244,NA,NA,0.554347826086957,NA,NA
