"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27"
"100","deferred","1","1","0","0","1","1","1","1","deferred","0","1","deferred","1","1","0","1","1","1","1","1","1","1","1","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","1","1","1","0"
"102","deferred","0","deferred","0","0","deferred","0","deferred","NA","deferred","0","deferred","0","1","deferred","0","0","0","0","0","0","0","0","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","0","1","0"
"103","deferred","deferred","deferred","0","deferred","1","0","deferred","1","deferred","0","1","deferred","1","deferred","0","1","1","deferred","1","1","1","deferred","1","1","deferred","deferred","1","1","deferred","1","1","deferred","deferred","1","1","1","0"
"104","deferred","0","deferred","0","0","1","0","deferred","NA","deferred","0","1","deferred","1","deferred","0","1","1","0","1","0","1","0","NA","NA","deferred","NA","deferred","deferred","deferred","NA","NA","deferred","NA","1","1","1","deferred"
"105","0","deferred","deferred","0","0","1","0","deferred","NA","deferred","0","1","deferred","1","deferred","0","1","1","deferred","1","1","1","0","deferred","NA","deferred","NA","1","1","0","deferred","NA","deferred","NA","1","deferred","1","0"
"106","deferred","0","deferred","0","0","1","1","1","1","deferred","0","1","deferred","1","1","0","1","deferred","deferred","1","0","1","deferred","1","1","deferred","deferred","1","1","deferred","1","1","deferred","deferred","1","deferred","1","deferred"
"107","deferred","deferred","1","deferred","0","1","1","1","deferred","deferred","deferred","1","deferred","1","1","0","1","deferred","deferred","deferred","deferred","1","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","NA","1","deferred","1","deferred"
"109","deferred","1","deferred","0","deferred","1","deferred","deferred","1","deferred","deferred","1","deferred","1","1","0","1","deferred","0","1","1","1","0","1","1","0","deferred","1","1","deferred","1","1","deferred","deferred","1","1","1","deferred"
"110","deferred","1","deferred","0","deferred","1","0","deferred","NA","0","0","1","deferred","1","deferred","0","1","1","0","1","1","deferred","0","NA","NA","deferred","NA","1","1","0","deferred","NA","deferred","NA","1","1","1","0"
"111","deferred","0","deferred","0","0","deferred","0","0","NA","0","0","1","deferred","deferred","0","0","0","deferred","0","0","0","0","0","NA","NA","0","NA","0","deferred","0","deferred","NA","0","NA","deferred","0","deferred","0"
"112","deferred","1","1","deferred","deferred","deferred","deferred","deferred","1","deferred","0","1","deferred","1","1","0","1","1","deferred","1","1","1","deferred","1","deferred","deferred","NA","1","1","deferred","1","1","NA","NA","1","1","1","deferred"
"113","deferred","0","deferred","0","0","deferred","deferred","deferred","NA","0","0","1","deferred","1","1","0","deferred","deferred","0","1","0","0","0","NA","NA","deferred","NA","0","deferred","0","NA","NA","deferred","NA","1","0","deferred","0"
"115","deferred","1","deferred","0","deferred","1","deferred","deferred","1","deferred","deferred","1","deferred","1","0","0","1","deferred","0","1","1","deferred","deferred","1","deferred","deferred","NA","1","1","deferred","1","1","deferred","NA","deferred","deferred","1","0"
"116","deferred","1","1","0","deferred","1","1","deferred","deferred","0","deferred","1","deferred","1","deferred","0","1","deferred","deferred","1","1","1","deferred","1","deferred","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","NA","1","deferred","1","0"
