"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.945838431859755,0.928830945453707,0.962215502441734,0.968860164512338,0.958696077598317,0.978633399423221,0.350133638793433,0.329515082092402,0.37151584574265
"P1",1,NA,NA,1,NA,NA,0.0927835051546392,NA,NA
"P2",1,NA,NA,1,NA,NA,0.752577319587629,NA,NA
"P3",1,NA,NA,1,NA,NA,0.0206185567010309,NA,NA
"P4",1,NA,NA,1,NA,NA,0.22680412371134,NA,NA
"P5",1,NA,NA,1,NA,NA,0.0618556701030928,NA,NA
"P6",0.837973273942094,NA,NA,0.964285714285714,NA,NA,0.134020618556701,NA,NA
"P7",0.921521035598705,NA,NA,0.952380952380952,NA,NA,0.56701030927835,NA,NA
"P8",0.906999041227229,NA,NA,0.959459459459459,NA,NA,0.237113402061856,NA,NA
"P9",0.891133557800224,NA,NA,0.985294117647059,NA,NA,0.298969072164948,NA,NA
"P10",0.857352941176471,NA,NA,0.930555555555556,NA,NA,0.257731958762887,NA,NA
"P11",1,NA,NA,1,NA,NA,0.288659793814433,NA,NA
"P12",1,NA,NA,1,NA,NA,0.412371134020619,NA,NA
"P13",0.832353957829243,NA,NA,0.912280701754386,NA,NA,0.412371134020619,NA,NA
"P14",0.965578424414478,NA,NA,0.981481481481482,NA,NA,0.443298969072165,NA,NA
"P15",0.154069767441861,NA,NA,0.4,NA,NA,0.948453608247423,NA,NA
"P16",0.806,NA,NA,0.96551724137931,NA,NA,0.402061855670103,NA,NA
"P17",0.940817571690055,NA,NA,0.974683544303797,NA,NA,0.185567010309278,NA,NA
"P18",0.943571844095404,NA,NA,0.987179487179487,NA,NA,0.195876288659794,NA,NA
"P19",1,NA,NA,1,NA,NA,0.443298969072165,NA,NA
"P20",0.512970711297071,NA,NA,0.733333333333333,NA,NA,0.536082474226804,NA,NA
"P21",1,NA,NA,1,NA,NA,0.34020618556701,NA,NA
"P22",0.25765306122449,NA,NA,0.5,NA,NA,0.938144329896907,NA,NA
"P23",0.844176706827309,NA,NA,0.967741935483871,NA,NA,0.360824742268041,NA,NA
"P24",0.746073298429319,NA,NA,0.945945945945946,NA,NA,0.237113402061856,NA,NA
"P25",0.936910569105691,NA,NA,0.96969696969697,NA,NA,0.319587628865979,NA,NA
"P26",0.628352490421456,NA,NA,0.988505747126437,NA,NA,0.103092783505155,NA,NA
"P27",0.951475737868934,NA,NA,0.986486486486487,NA,NA,0.237113402061856,NA,NA
