"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.940249611891403,0.917474812812925,0.961029380903078,0.965879265091864,0.952324136076187,0.977902579783038,0.399527186761229,0.380220646178093,0.419227738376675
"P1",1,NA,NA,1,NA,NA,0.0957446808510638,NA,NA
"P2",1,NA,NA,1,NA,NA,0.851063829787234,NA,NA
"P3",1,NA,NA,1,NA,NA,0.0212765957446809,NA,NA
"P4",0.869444444444444,NA,NA,0.9875,NA,NA,0.148936170212766,NA,NA
"P5",1,NA,NA,1,NA,NA,0.180851063829787,NA,NA
"P6",0.796242774566474,NA,NA,0.9625,NA,NA,0.148936170212766,NA,NA
"P7",0.911404335532517,NA,NA,0.947368421052632,NA,NA,0.595744680851064,NA,NA
"P8",0.798973481608212,NA,NA,0.912280701754386,NA,NA,0.393617021276596,NA,NA
"P9",0.89438202247191,NA,NA,0.985714285714286,NA,NA,0.25531914893617,NA,NA
"P10",0.929243507715469,NA,NA,0.967213114754098,NA,NA,0.351063829787234,NA,NA
"P11",0.913919413919414,NA,NA,0.977777777777778,NA,NA,0.521276595744681,NA,NA
"P12",1,NA,NA,1,NA,NA,0.393617021276596,NA,NA
"P13",0.674114021571649,NA,NA,0.8125,NA,NA,0.48936170212766,NA,NA
"P14",0.956115779645191,NA,NA,0.976190476190476,NA,NA,0.553191489361702,NA,NA
"P15",-0.424242424242424,NA,NA,0,NA,NA,0.98936170212766,NA,NA
"P16",0.746630727762803,NA,NA,0.962264150943396,NA,NA,0.436170212765957,NA,NA
"P17",0.955785512699906,NA,NA,0.983606557377049,NA,NA,0.351063829787234,NA,NA
"P18",0.948294829482948,NA,NA,0.985915492957746,NA,NA,0.24468085106383,NA,NA
"P19",1,NA,NA,1,NA,NA,0.361702127659574,NA,NA
"P20",0.653020134228188,NA,NA,0.807017543859649,NA,NA,0.393617021276596,NA,NA
"P21",1,NA,NA,1,NA,NA,0.585106382978723,NA,NA
"P22",0.175438596491228,NA,NA,0.5,NA,NA,0.978723404255319,NA,NA
"P23",0.750442477876106,NA,NA,0.949152542372881,NA,NA,0.372340425531915,NA,NA
"P24",0.732764747690121,NA,NA,0.943661971830986,NA,NA,0.24468085106383,NA,NA
"P25",0.958987783595113,NA,NA,0.980392156862745,NA,NA,0.457446808510638,NA,NA
"P26",0.647940074906367,NA,NA,0.98876404494382,NA,NA,0.0531914893617021,NA,NA
"P27",0.943305186972256,NA,NA,0.984375,NA,NA,0.319148936170213,NA,NA
