"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.93946703231674,0.91636512122304,0.95966263763886,0.96551724137931,0.951634243866154,0.977556246452471,0.394405043341214,0.375886524822695,0.41371158392435
"P1",1,NA,NA,1,NA,NA,0.106382978723404,NA,NA
"P2",1,NA,NA,1,NA,NA,0.829787234042553,NA,NA
"P3",1,NA,NA,1,NA,NA,0.0212765957446809,NA,NA
"P4",0.869444444444444,NA,NA,0.9875,NA,NA,0.148936170212766,NA,NA
"P5",1,NA,NA,1,NA,NA,0.148936170212766,NA,NA
"P6",0.796242774566474,NA,NA,0.9625,NA,NA,0.148936170212766,NA,NA
"P7",0.916033943724877,NA,NA,0.948717948717949,NA,NA,0.585106382978723,NA,NA
"P8",0.83917878528657,NA,NA,0.929824561403509,NA,NA,0.393617021276596,NA,NA
"P9",1,NA,NA,1,NA,NA,0.24468085106383,NA,NA
"P10",0.92824427480916,NA,NA,0.966666666666667,NA,NA,0.361702127659574,NA,NA
"P11",0.919795221843003,NA,NA,0.978260869565217,NA,NA,0.51063829787234,NA,NA
"P12",1,NA,NA,1,NA,NA,0.372340425531915,NA,NA
"P13",0.630503144654088,NA,NA,0.787234042553192,NA,NA,0.5,NA,NA
"P14",0.956115779645191,NA,NA,0.976190476190476,NA,NA,0.553191489361702,NA,NA
"P15",-0.424242424242424,NA,NA,0,NA,NA,0.98936170212766,NA,NA
"P16",0.741758241758242,NA,NA,0.961538461538462,NA,NA,0.446808510638298,NA,NA
"P17",0.954764196342637,NA,NA,0.983870967741935,NA,NA,0.340425531914894,NA,NA
"P18",0.901776384535005,NA,NA,0.972602739726027,NA,NA,0.223404255319149,NA,NA
"P19",1,NA,NA,1,NA,NA,0.351063829787234,NA,NA
"P20",0.6432022084196,NA,NA,0.810344827586207,NA,NA,0.382978723404255,NA,NA
"P21",1,NA,NA,1,NA,NA,0.585106382978723,NA,NA
"P22",0.175438596491228,NA,NA,0.5,NA,NA,0.978723404255319,NA,NA
"P23",0.746402877697842,NA,NA,0.948275862068966,NA,NA,0.382978723404255,NA,NA
"P24",0.732764747690121,NA,NA,0.943661971830986,NA,NA,0.24468085106383,NA,NA
"P25",0.960603520536463,NA,NA,0.981132075471698,NA,NA,0.436170212765957,NA,NA
"P26",0.647940074906367,NA,NA,0.98876404494382,NA,NA,0.0531914893617021,NA,NA
"P27",0.891454965357968,NA,NA,0.969230769230769,NA,NA,0.308510638297872,NA,NA
