"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.855817047266401,0.832172262805171,0.878650868329702,0.91886082751209,0.901960267542452,0.934149038416201,0.266745468873128,0.247832939322301,0.286446020488574
"P1",1,NA,NA,1,NA,NA,0.0425531914893617,NA,NA
"P2",1,NA,NA,1,NA,NA,0.734042553191489,NA,NA
"P3",1,NA,NA,1,NA,NA,0.0212765957446809,NA,NA
"P4",1,NA,NA,1,NA,NA,0.223404255319149,NA,NA
"P5",1,NA,NA,1,NA,NA,0.0212765957446809,NA,NA
"P6",0.77335744424352,NA,NA,0.952941176470588,NA,NA,0.0957446808510638,NA,NA
"P7",0.919104991394148,NA,NA,0.954545454545455,NA,NA,0.531914893617021,NA,NA
"P8",0.88610662358643,NA,NA,0.946428571428571,NA,NA,0.404255319148936,NA,NA
"P9",0.916071428571429,NA,NA,0.9875,NA,NA,0.148936170212766,NA,NA
"P10",0.97166968053044,NA,NA,0.986486486486487,NA,NA,0.212765957446809,NA,NA
"P11",0.94634703196347,NA,NA,0.987179487179487,NA,NA,0.170212765957447,NA,NA
"P12",1,NA,NA,1,NA,NA,0.265957446808511,NA,NA
"P13",0.620530565167243,NA,NA,0.777777777777778,NA,NA,0.329787234042553,NA,NA
"P14",0.972032133293663,NA,NA,0.985074626865672,NA,NA,0.287234042553192,NA,NA
"P15",0.338157637394876,NA,NA,0.532467532467532,NA,NA,0.180851063829787,NA,NA
"P16",0.309719222462203,NA,NA,0.514285714285714,NA,NA,0.627659574468085,NA,NA
"P17",1,NA,NA,1,NA,NA,0.329787234042553,NA,NA
"P18",1,NA,NA,1,NA,NA,0.404255319148936,NA,NA
"P19",1,NA,NA,1,NA,NA,0.223404255319149,NA,NA
"P20",0.640764331210191,NA,NA,0.777777777777778,NA,NA,0.425531914893617,NA,NA
"P21",0.977840641206978,NA,NA,0.98780487804878,NA,NA,0.127659574468085,NA,NA
"P22",0.351488743645606,NA,NA,0.547619047619048,NA,NA,0.106382978723404,NA,NA
"P23",0.436643835616438,NA,NA,0.611111111111111,NA,NA,0.617021276595745,NA,NA
"P24",0.761874604179861,NA,NA,0.948051948051948,NA,NA,0.180851063829787,NA,NA
"P25",0.969007583250907,NA,NA,0.985074626865672,NA,NA,0.287234042553192,NA,NA
"P26",0.732954545454545,NA,NA,0.988636363636364,NA,NA,0.0638297872340425,NA,NA
"P27",1,NA,NA,1,NA,NA,0.138297872340426,NA,NA
