"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.903266581708487,0.877487311996196,0.928025338217609,0.947990543735225,0.933002878804096,0.961568473083981,0.44047619047619,0.408289241622575,0.474415606229804
"P1",1,NA,NA,1,NA,NA,0.107142857142857,NA,NA
"P2",1,NA,NA,1,NA,NA,0.797619047619048,NA,NA
"P3",1,NA,NA,1,NA,NA,0.0833333333333333,NA,NA
"P4",0.871165644171779,NA,NA,0.986301369863014,NA,NA,0.130952380952381,NA,NA
"P5",1,NA,NA,1,NA,NA,0.619047619047619,NA,NA
"P6",0.776793622674934,NA,NA,0.956521739130435,NA,NA,0.178571428571429,NA,NA
"P7",0.888888888888889,NA,NA,0.931034482758621,NA,NA,0.654761904761905,NA,NA
"P8",0.807560137457045,NA,NA,0.902439024390244,NA,NA,0.511904761904762,NA,NA
"P9",0.864077669902913,NA,NA,0.985074626865672,NA,NA,0.202380952380952,NA,NA
"P10",0.955128205128205,NA,NA,0.980769230769231,NA,NA,0.380952380952381,NA,NA
"P11",0.909385113268608,NA,NA,0.979591836734694,NA,NA,0.416666666666667,NA,NA
"P12",1,NA,NA,1,NA,NA,0.535714285714286,NA,NA
"P13",0.56020942408377,NA,NA,0.764705882352941,NA,NA,0.392857142857143,NA,NA
"P14",1,NA,NA,1,NA,NA,0.452380952380952,NA,NA
"P15",0.535177865612648,NA,NA,0.666666666666667,NA,NA,0.75,NA,NA
"P16",0.442231075697211,NA,NA,0.857142857142857,NA,NA,0.583333333333333,NA,NA
"P17",0.897373243738546,NA,NA,0.962264150943396,NA,NA,0.369047619047619,NA,NA
"P18",0.923774954627949,NA,NA,0.982758620689655,NA,NA,0.30952380952381,NA,NA
"P19",0.943586299529886,NA,NA,0.971428571428571,NA,NA,0.583333333333333,NA,NA
"P20",0.72013326987149,NA,NA,0.847826086956522,NA,NA,0.452380952380952,NA,NA
"P21",1,NA,NA,1,NA,NA,0.428571428571429,NA,NA
"P22",0.461538461538462,NA,NA,0.608695652173913,NA,NA,0.726190476190476,NA,NA
"P23",0.591836734693878,NA,NA,0.875,NA,NA,0.523809523809524,NA,NA
"P24",0.711835334476844,NA,NA,0.928571428571429,NA,NA,0.333333333333333,NA,NA
"P25",1,NA,NA,1,NA,NA,0.488095238095238,NA,NA
"P26",1,NA,NA,1,NA,NA,0.25,NA,NA
"P27",1,NA,NA,1,NA,NA,0.630952380952381,NA,NA
