"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.420712433220848,0.374220481353907,0.468641599045363,0.641307974641308,0.608291895275813,0.672664195838904,0,0,0
"P1",0.230693069306931,NA,NA,0.873873873873874,NA,NA,0,NA,NA
"P2",0.00559910414333697,NA,NA,0.279279279279279,NA,NA,0,NA,NA
"P3",-0.0269133725820017,NA,NA,0.900900900900901,NA,NA,0,NA,NA
"P4",0.18695500523195,NA,NA,0.810810810810811,NA,NA,0,NA,NA
"P5",0.369318181818182,NA,NA,0.72972972972973,NA,NA,0,NA,NA
"P6",0.241758241758242,NA,NA,0.792792792792793,NA,NA,0,NA,NA
"P7",0.0580747812251393,NA,NA,0.423423423423423,NA,NA,0,NA,NA
"P8",0.183463292629101,NA,NA,0.54954954954955,NA,NA,0,NA,NA
"P9",0.074357192494788,NA,NA,0.675675675675676,NA,NA,0,NA,NA
"P10",0.321631608868675,NA,NA,0.612612612612613,NA,NA,0,NA,NA
"P11",0.202043132803632,NA,NA,0.657657657657658,NA,NA,0,NA,NA
"P12",0.277265328269127,NA,NA,0.567567567567568,NA,NA,0,NA,NA
"P13",0.228320526893524,NA,NA,0.486486486486487,NA,NA,0,NA,NA
"P14",0.397285067873303,NA,NA,0.675675675675676,NA,NA,0,NA,NA
"P15",0.28778156996587,NA,NA,0.576576576576577,NA,NA,0,NA,NA
"P16",0.0906448202959831,NA,NA,0.720720720720721,NA,NA,0,NA,NA
"P17",0.321278825995807,NA,NA,0.684684684684685,NA,NA,0,NA,NA
"P18",0.433557868952848,NA,NA,0.774774774774775,NA,NA,0,NA,NA
"P19",0.157152542372881,NA,NA,0.495495495495495,NA,NA,0,NA,NA
"P20",0.156657018813314,NA,NA,0.432432432432432,NA,NA,0,NA,NA
"P21",0.320804195804196,NA,NA,0.621621621621622,NA,NA,0,NA,NA
"P22",0.265418192058575,NA,NA,0.576576576576577,NA,NA,0,NA,NA
"P23",0.162373145979703,NA,NA,0.738738738738739,NA,NA,0,NA,NA
"P24",0.0691823899371069,NA,NA,0.63963963963964,NA,NA,0,NA,NA
"P25",0.252962692026335,NA,NA,0.585585585585586,NA,NA,0,NA,NA
"P26",0.1328125,NA,NA,0.792792792792793,NA,NA,0,NA,NA
"P27",0.308411214953271,NA,NA,0.63963963963964,NA,NA,0,NA,NA
