"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27"
"100","1","1","1","0","deferred","1","1","deferred","1","1","deferred","1","1","1","1","deferred","1","1","deferred","1","1","1","1","1","1","1","deferred","1","1","deferred","deferred","1","1","deferred","1","1","1","deferred"
"101","1","0","1","deferred","0","1","deferred","0","NA","NA","0","1","deferred","1","1","0","deferred","1","0","deferred","0","deferred","0","0","NA","NA","NA","deferred","deferred","0","0","NA","NA","NA","deferred","0","deferred","0"
"102","0","0","0","NA","0","0","0","NA","NA","NA","NA","0","0","0","0","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","NA"
"103","1","1","1","deferred","1","1","deferred","deferred","deferred","1","0","1","1","1","deferred","deferred","1","1","deferred","1","1","1","deferred","deferred","deferred","deferred","deferred","1","1","deferred","deferred","deferred","deferred","deferred","1","1","deferred","deferred"
"104","deferred","deferred","deferred","NA","0","1","0","NA","NA","NA","deferred","1","deferred","1","1","0","1","1","0","deferred","0","1","0","NA","NA","NA","NA","deferred","1","0","NA","NA","NA","NA","1","1","1","1"
"105","1","1","1","0","1","1","0","0","NA","NA","0","1","0","1","1","0","1","1","0","1","1","1","0","0","NA","NA","NA","1","1","0","0","NA","NA","NA","1","deferred","1","0"
"106","1","deferred","deferred","0","deferred","1","1","deferred","NA","deferred","deferred","1","1","1","1","deferred","1","1","deferred","1","deferred","1","1","deferred","NA","deferred","NA","1","deferred","deferred","deferred","NA","deferred","NA","1","deferred","1","deferred"
"107","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","deferred","1","1","1","1","1","1","1","deferred","1","1","1","1","1","1","deferred","1","1","1","1"
"108","1","deferred","1","0","deferred","1","1","1","1","0","0","1","1","1","1","0","1","1","deferred","1","1","1","1","deferred","1","0","0","1","1","deferred","1","deferred","0","0","1","1","1","0"
"109","0","1","0","deferred","0","1","0","deferred","deferred","NA","deferred","1","1","1","deferred","NA","1","deferred","deferred","deferred","1","deferred","deferred","1","deferred","NA","deferred","deferred","deferred","NA","deferred","deferred","NA","deferred","1","deferred","1","deferred"
"110","1","1","1","deferred","deferred","1","0","deferred","NA","deferred","0","1","deferred","1","1","0","1","1","0","1","1","1","deferred","deferred","NA","NA","NA","1","1","deferred","deferred","NA","NA","NA","1","1","1","0"
"111","deferred","0","deferred","deferred","deferred","0","deferred","deferred","NA","NA","deferred","deferred","deferred","1","0","deferred","0","deferred","deferred","deferred","deferred","0","deferred","deferred","NA","NA","NA","deferred","0","deferred","0","NA","NA","NA","deferred","0","deferred","deferred"
"112","1","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA","NA","deferred","deferred","deferred","1","1","deferred","deferred","1","deferred","deferred","0","0","0","0","deferred","deferred","deferred","0","0","deferred","0","NA","NA","NA","deferred","0","0","deferred"
"113","1","0","1","0","0","1","1","1","NA","NA","deferred","1","1","1","1","deferred","1","1","0","deferred","deferred","deferred","deferred","deferred","NA","NA","NA","deferred","deferred","deferred","deferred","NA","NA","NA","1","deferred","1","deferred"
"114","1","deferred","deferred","0","1","1","deferred","deferred","NA","deferred","NA","1","1","1","1","0","1","1","0","1","0","1","deferred","deferred","NA","deferred","deferred","deferred","1","deferred","deferred","NA","NA","NA","1","1","1","0"
"115","1","0","1","deferred","deferred","deferred","0","deferred","deferred","0","0","1","1","1","1","deferred","deferred","1","deferred","1","deferred","deferred","deferred","deferred","NA","NA","NA","1","deferred","deferred","deferred","NA","NA","NA","deferred","0","1","deferred"
"116","1","1","1","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","deferred","1","1","deferred","1","1","deferred","1","deferred","1","1","deferred","deferred","deferred","deferred","deferred","deferred","0","deferred","deferred","deferred","deferred","deferred","deferred","deferred","0"
"117","0","deferred","0","0","0","0","0","0","0","NA","0","1","1","1","deferred","deferred","deferred","deferred","deferred","deferred","0","0","1","deferred","deferred","NA","deferred","deferred","0","deferred","deferred","deferred","NA","deferred","deferred","1","deferred","deferred"
"118","1","deferred","1","deferred","0","deferred","deferred","deferred","deferred","deferred","0","1","1","1","1","0","1","1","deferred","1","deferred","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred","0"
"119","1","1","deferred","0","0","deferred","deferred","deferred","NA","NA","0","1","1","1","1","deferred","1","1","deferred","1","deferred","1","deferred","NA","NA","NA","NA","1","1","deferred","deferred","NA","NA","NA","1","1","1","deferred"
"120","0","1","0","0","deferred","1","deferred","0","0","1","deferred","deferred","deferred","1","deferred","0","deferred","deferred","0","deferred","deferred","deferred","0","1","deferred","deferred","NA","1","1","0","1","deferred","1","NA","1","1","1","deferred"
"121","1","0","deferred","deferred","deferred","1","deferred","deferred","deferred","deferred","deferred","1","1","1","1","deferred","1","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA","NA","NA","deferred","deferred","deferred","deferred","NA","NA","NA","deferred","deferred","deferred","deferred"
"122","1","deferred","1","deferred","deferred","deferred","deferred","deferred","deferred","NA","0","1","1","1","1","deferred","1","1","1","1","1","1","1","1","deferred","deferred","deferred","1","1","1","1","deferred","deferred","deferred","1","1","1","1"
"123","1","1","1","0","0","1","0","deferred","0","0","0","1","1","1","1","0","1","1","0","1","deferred","0","0","deferred","deferred","deferred","deferred","1","1","0","deferred","deferred","deferred","deferred","1","1","1","0"
"124","deferred","0","1","0","0","1","deferred","deferred","deferred","NA","NA","1","deferred","1","1","deferred","1","1","deferred","1","deferred","deferred","deferred","deferred","deferred","NA","NA","deferred","deferred","deferred","deferred","NA","NA","NA","deferred","deferred","1","deferred"
"125","1","0","1","0","deferred","1","deferred","deferred","deferred","deferred","deferred","1","deferred","1","1","0","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"126","1","0","deferred","deferred","0","1","deferred","0","deferred","1","deferred","1","1","1","deferred","0","1","1","deferred","1","deferred","0","0","1","1","1","deferred","1","1","0","1","1","1","deferred","1","1","1","deferred"
"127","0","0","1","0","0","0","0","deferred","NA","NA","0","0","0","1","deferred","0","0","deferred","0","0","0","0","0","NA","NA","NA","NA","0","0","0","0","NA","NA","NA","0","0","0","0"
"128","1","0","0","0","0","1","deferred","deferred","NA","deferred","deferred","1","deferred","1","1","deferred","1","1","deferred","1","deferred","deferred","deferred","deferred","NA","NA","NA","1","deferred","deferred","deferred","NA","NA","NA","1","deferred","1","deferred"
"129","deferred","0","0","0","deferred","1","deferred","deferred","deferred","deferred","0","1","1","1","1","0","1","1","0","1","1","1","1","1","deferred","deferred","NA","1","1","1","1","1","NA","NA","1","1","1","deferred"
"130","1","1","0","deferred","0","1","1","deferred","NA","NA","deferred","1","deferred","1","1","0","1","1","0","deferred","deferred","1","1","deferred","NA","NA","NA","1","1","deferred","0","NA","NA","NA","1","1","1","1"
"131","1","1","0","0","0","0","0","0","NA","NA","deferred","1","deferred","1","1","deferred","1","deferred","deferred","1","deferred","deferred","deferred","deferred","NA","NA","NA","1","deferred","deferred","deferred","NA","NA","NA","1","deferred","1","deferred"
"132","0","0","0","deferred","deferred","1","0","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","0","0","deferred","deferred","0","0","0","0","0","NA","NA","NA","0","0","0","0","NA","NA","NA","0","0","deferred","0"
"133","0","deferred","0","0","0","0","0","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","0","0","0","deferred","NA","NA","NA","0","0","0","0"
"134","1","deferred","0","NA","deferred","deferred","NA","NA","NA","NA","deferred","deferred","deferred","deferred","1","NA","deferred","deferred","NA","NA","deferred","deferred","NA","NA","NA","NA","NA","deferred","deferred","NA","NA","NA","NA","NA","NA","NA","deferred","NA"
"136","deferred","deferred","0","deferred","0","deferred","0","deferred","NA","NA","deferred","deferred","0","1","1","0","deferred","deferred","0","0","deferred","deferred","deferred","deferred","NA","NA","NA","deferred","0","deferred","deferred","NA","NA","NA","1","deferred","1","deferred"
"137","1","NA","1","deferred","0","1","deferred","NA","deferred","NA","NA","deferred","1","1","1","NA","1","1","deferred","deferred","deferred","1","deferred","deferred","NA","NA","NA","1","1","deferred","deferred","NA","NA","NA","1","deferred","1","deferred"
"138","1","deferred","1","deferred","deferred","1","deferred","NA","NA","NA","deferred","1","deferred","1","deferred","deferred","1","1","deferred","deferred","deferred","deferred","deferred","deferred","NA","NA","NA","deferred","deferred","deferred","deferred","NA","NA","NA","deferred","deferred","deferred","deferred"
"139","1","deferred","deferred","0","deferred","1","0","0","NA","0","deferred","1","deferred","1","1","0","1","1","deferred","deferred","deferred","1","0","deferred","deferred","0","NA","deferred","1","0","deferred","deferred","0","NA","1","1","1","0"
"140","deferred","deferred","deferred","deferred","deferred","1","0","deferred","NA","deferred","deferred","1","1","1","1","0","1","1","0","deferred","deferred","1","deferred","deferred","NA","NA","NA","1","1","NA","1","NA","NA","NA","1","1","1","deferred"
