"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.410523951517775,0.358071810301931,0.45818943355533,0.637971304637971,0.605605605605606,0.670337003670337,0,0,0
"P1",0.151307847082495,NA,NA,0.828828828828829,NA,NA,0,NA,NA
"P2",-0.0213470739786528,NA,NA,0.324324324324324,NA,NA,0,NA,NA
"P3",-0.0237154150197627,NA,NA,0.936936936936937,NA,NA,0,NA,NA
"P4",0.0954159592529711,NA,NA,0.783783783783784,NA,NA,0,NA,NA
"P5",0.235454051114736,NA,NA,0.657657657657658,NA,NA,0,NA,NA
"P6",0.270216962524655,NA,NA,0.81981981981982,NA,NA,0,NA,NA
"P7",0.0370662460567824,NA,NA,0.405405405405405,NA,NA,0,NA,NA
"P8",0.223891698899137,NA,NA,0.576576576576577,NA,NA,0,NA,NA
"P9",0.104605776736924,NA,NA,0.720720720720721,NA,NA,0,NA,NA
"P10",0.398164882524677,NA,NA,0.648648648648649,NA,NA,0,NA,NA
"P11",0.161569638909359,NA,NA,0.630630630630631,NA,NA,0,NA,NA
"P12",0.292307692307692,NA,NA,0.585585585585586,NA,NA,0,NA,NA
"P13",0.228621908127208,NA,NA,0.468468468468468,NA,NA,0,NA,NA
"P14",0.453676896352056,NA,NA,0.693693693693694,NA,NA,0,NA,NA
"P15",0.363005471773655,NA,NA,0.612612612612613,NA,NA,0,NA,NA
"P16",0.221394125383604,NA,NA,0.711711711711712,NA,NA,0,NA,NA
"P17",0.120919451419741,NA,NA,0.630630630630631,NA,NA,0,NA,NA
"P18",0.320025348542459,NA,NA,0.738738738738739,NA,NA,0,NA,NA
"P19",0.270024990135473,NA,NA,0.54954954954955,NA,NA,0,NA,NA
"P20",0.202299676607977,NA,NA,0.459459459459459,NA,NA,0,NA,NA
"P21",0.434003496503496,NA,NA,0.684684684684685,NA,NA,0,NA,NA
"P22",0.392113910186199,NA,NA,0.63963963963964,NA,NA,0,NA,NA
"P23",0.160773849232822,NA,NA,0.693693693693694,NA,NA,0,NA,NA
"P24",-0.0414814814814815,NA,NA,0.657657657657658,NA,NA,0,NA,NA
"P25",0.075,NA,NA,0.486486486486487,NA,NA,0,NA,NA
"P26",0.0444041685545988,NA,NA,0.828828828828829,NA,NA,0,NA,NA
"P27",0.0978014656895403,NA,NA,0.45045045045045,NA,NA,0,NA,NA
