"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.330062661425778,0.263551476329411,0.394960217421841,0.622960372960373,0.59199573603705,0.655900435465629,0.285892634207241,0.238889226026472,0.331658175168204
"P1",0.361244019138756,NA,NA,0.929411764705882,NA,NA,0.0449438202247191,NA,NA
"P2",-0.0088943146145799,NA,NA,0.155844155844156,NA,NA,0.134831460674157,NA,NA
"P3",-0.0853658536585367,NA,NA,0.975609756097561,NA,NA,0.0786516853932584,NA,NA
"P4",0.0258706467661692,NA,NA,0.8625,NA,NA,0.101123595505618,NA,NA
"P5",0.158346162304816,NA,NA,0.394366197183099,NA,NA,0.202247191011236,NA,NA
"P6",0.29537149817296,NA,NA,0.831168831168831,NA,NA,0.134831460674157,NA,NA
"P7",-0.025581931320581,NA,NA,0.342105263157895,NA,NA,0.146067415730337,NA,NA
"P8",0.0887372013651878,NA,NA,0.470588235294118,NA,NA,0.235955056179775,NA,NA
"P9",0.282258064516129,NA,NA,0.888888888888889,NA,NA,0.292134831460674,NA,NA
"P10",0.268598615916955,NA,NA,0.672413793103448,NA,NA,0.348314606741573,NA,NA
"P11",0.181340341655716,NA,NA,0.655737704918033,NA,NA,0.314606741573034,NA,NA
"P12",0.146876932591218,NA,NA,0.5,NA,NA,0.303370786516854,NA,NA
"P13",0.181154822335025,NA,NA,0.532258064516129,NA,NA,0.303370786516854,NA,NA
"P14",0.250732064421669,NA,NA,0.574074074074074,NA,NA,0.393258426966292,NA,NA
"P15",0.155360281195079,NA,NA,0.490566037735849,NA,NA,0.404494382022472,NA,NA
"P16",0.0642523364485981,NA,NA,0.666666666666667,NA,NA,0.393258426966292,NA,NA
"P17",0.365903307888041,NA,NA,0.754385964912281,NA,NA,0.359550561797753,NA,NA
"P18",0.224500256278831,NA,NA,0.75,NA,NA,0.235955056179775,NA,NA
"P19",0.147815679233992,NA,NA,0.43859649122807,NA,NA,0.359550561797753,NA,NA
"P20",0.0729166666666667,NA,NA,0.433962264150943,NA,NA,0.404494382022472,NA,NA
"P21",0.233309404163676,NA,NA,0.563636363636364,NA,NA,0.382022471910112,NA,NA
"P22",0.117251151257527,NA,NA,0.471698113207547,NA,NA,0.404494382022472,NA,NA
"P23",0.12654958677686,NA,NA,0.648148148148148,NA,NA,0.393258426966292,NA,NA
"P24",0.109443402126329,NA,NA,0.728813559322034,NA,NA,0.337078651685393,NA,NA
"P25",0.129839655846695,NA,NA,0.553571428571429,NA,NA,0.370786516853933,NA,NA
"P26",0.146692233940556,NA,NA,0.84375,NA,NA,0.280898876404494,NA,NA
"P27",0.173209469583458,NA,NA,0.456140350877193,NA,NA,0.359550561797753,NA,NA
