"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.488509075158317,0.403249988536091,0.574256869473119,0.714107365792759,0.668341824831796,0.761110773973529,0,0,0
"P1",0.318007662835249,NA,NA,0.955056179775281,NA,NA,0,NA,NA
"P2",0.438485804416404,NA,NA,0.865168539325843,NA,NA,0,NA,NA
"P3",-0.0297520661157025,NA,NA,0.921348314606742,NA,NA,0,NA,NA
"P4",0.480207657365347,NA,NA,0.898876404494382,NA,NA,0,NA,NA
"P5",0.647214269984585,NA,NA,0.797752808988764,NA,NA,0,NA,NA
"P6",0.536860364267129,NA,NA,0.865168539325843,NA,NA,0,NA,NA
"P7",0.37289972899729,NA,NA,0.853932584269663,NA,NA,0,NA,NA
"P8",0.594664931685101,NA,NA,0.764044943820225,NA,NA,0,NA,NA
"P9",0.253066494512589,NA,NA,0.707865168539326,NA,NA,0,NA,NA
"P10",0.336778846153846,NA,NA,0.651685393258427,NA,NA,0,NA,NA
"P11",0.464086021505376,NA,NA,0.685393258426966,NA,NA,0,NA,NA
"P12",0.463376507369361,NA,NA,0.696629213483146,NA,NA,0,NA,NA
"P13",0.470704845814978,NA,NA,0.696629213483146,NA,NA,0,NA,NA
"P14",0.278099652375435,NA,NA,0.606741573033708,NA,NA,0,NA,NA
"P15",0.26480036714089,NA,NA,0.595505617977528,NA,NA,0,NA,NA
"P16",0.277262180974478,NA,NA,0.606741573033708,NA,NA,0,NA,NA
"P17",0.315713599231139,NA,NA,0.640449438202247,NA,NA,0,NA,NA
"P18",0.461383285302594,NA,NA,0.764044943820225,NA,NA,0,NA,NA
"P19",0.413509060955519,NA,NA,0.640449438202247,NA,NA,0,NA,NA
"P20",0.361244019138756,NA,NA,0.595505617977528,NA,NA,0,NA,NA
"P21",0.277804295942721,NA,NA,0.617977528089888,NA,NA,0,NA,NA
"P22",0.274784970574921,NA,NA,0.595505617977528,NA,NA,0,NA,NA
"P23",0.304997768853191,NA,NA,0.606741573033708,NA,NA,0,NA,NA
"P24",0.24276800907544,NA,NA,0.662921348314607,NA,NA,0,NA,NA
"P25",0.27463571252161,NA,NA,0.629213483146067,NA,NA,0,NA,NA
"P26",0.322472594397077,NA,NA,0.719101123595506,NA,NA,0,NA,NA
"P27",0.441239945065725,NA,NA,0.640449438202247,NA,NA,0,NA,NA
