publication_id,tool,quote,best_match_source,best_match,similarity
100,AMSTAR,The reviewers performed a quantitative synthesis of the included studies using a meta-analysis.,fulltext,the retrospective nature of most of the included studies. ,47.36842105263158
100,AMSTAR,The reviewers assessed the quality of the included studies using the Cochrane Risk of Bias tool.,prompt, the scientific quality of the included studies us,43.75
100,AMSTAR,The reviewers performed a meta-analysis of the included studies using a random-effects model.,fulltext,We performed a systematic review and meta-analysis to determine the influe,47.31182795698925
100,AMSTAR,The reviewers independently extracted data from the included studies using a standardized data extraction form.,fulltext, independently extracted data from eligible studies using an electronic spreadsheet. Extract,63.06306306306306
100,AMSTAR,The reviewers assessed the heterogeneity of the included studies using the I^2 statistic.,fulltext, heterogeneity was assessed using the I 2 statistic.,49.43820224719101
100,AMSTAR,The reviewers reported any potential conflicts of interest.,prompt,there were fewer than 10 included studies. A11. Was the conflict of interest ,69.4915254237288
100,AMSTAR,The review was conducted by two independent reviewers (J.A. and J.B.) who screened the titles and abstracts of all identified studies and selected those that met the inclusion criteria.,prompt,"lled studies, or allocation concealment as inclusion criteria)",25.945945945945947
100,AMSTAR,The reviewers reported the sources of funding for the included studies.,prompt,e source of funding or support for the systematic review AND for each of the included studies.,67.6056338028169
100,AMSTAR,The reviewers assessed the quality of the evidence for the main outcomes using the GRADE approach.,prompt,th of evidence for each main outcome; consider the,40.816326530612244
100,AMSTAR,The reviewers performed a sensitivity analysis to assess the robustness of the meta-analysis results.,fulltext,We performed a systematic review and meta-analysis to determine the ,45.54455445544554
100,AMSTAR,The reviewers assessed the publication bias of the included studies using a funnel plot.,prompt,"s assessed? An assessment of publication bias should include a combination of graphical aids (e.g., funnel plot,",67.04545454545455
100,PRISMA,The review was peer reviewed prior to publication.,prompt," review), based on their publication ",58.00000000000001
100,PRISMA,The results of the assessment of publication bias were reported.,prompt, assessment of publication bias ,50.0
100,PRISMA,The results of the statistical combination of study results were reported in sufficient detail to allow for replication.,fulltext,the results of the search. A total of 1841 citations were excluded based on titles,44.166666666666664
100,PRISMA,The review question and inclusion criteria were specified in the review protocol.,prompt,"The research question and inclusion criteria should be established before the conduct of the review. Note: Need to refer to a protocol,",85.18518518518519
100,PRISMA,The methods used to investigate possible sources of heterogeneity were reported.,prompt, of heterogeneity/var,23.750000000000004
100,PRISMA,The study selection process was specified in the review protocol or reported in the review.,prompt," Study selection: State the process for selecting studies (i.e., screening, eligibility, included in systematic review, and, if applicable, included in the me",70.32967032967032
100,PRISMA,The review protocol was published in a peer-reviewed journal or on a website.,fulltext,third reviewer (DH) was consulted. In a,32.467532467532465
100,PRISMA,The review protocol was registered in a publicly accessible registry.,prompt," review protocol exists, if and where it can be accessed",55.072463768115945
100,PRISMA,"The conclusions of the review were based on the results of the review and were presented in a way that makes the following elements clear: (1) the direction of the effect, (2) the overall magnitude of the effect, (3) the precision of the effect, and (4) the strength of the evidence for the effect.",fulltext, We focused on patient important outcomes and we extracted and presented data on a w,20.13422818791947
100,PRISMA,"The implications of the review findings for clinical practice, policy, and future research were discussed.",prompt,nd implications of key findings;,26.415094339622648
100,PRISMA,The methods used for statistical combination of study results were reported in sufficient detail to allow for replication.,prompt,the methods used to combine the findings of stud,32.786885245901644
100,PRISMA,The methods used to assess risk of bias in individual studies were reported in sufficient detail to allow for replication.,prompt,e methods used for assessing risk of bias of individual studies ,46.721311475409834
