publication_id,wrong_format,llm_scores,llm_message
1528,[],"['5', '5', '5', '5', '2', '5', '5', '5', '5']","Here are the PRECIS-2 domain scores with supporting quotes and explanations:

Eligibility

Quotes:
""Participants were screened on the General Health Questionnaire 12 and Hospital Anxiety and Depression Scale, and those with low mood were recruited.""
""Participants were included who scored >2 on the General Health Questionnaire 12, a measure of psychological distress, or >7 on the anxiety and depression subscales of the Hospital Anxiety and Depression Scale, thus confirming they had low mood.""

The eligibility criteria used screening tools commonly used in clinical practice to identify patients with low mood. No other exclusions are mentioned. This matches eligibility in usual care.
Score: [5] 

Recruitment

Quotes:
""Participants randomly allocated to the adjustment group received six group treatment sessions. The control group received usual care, which did not include psychological interventions.""

No extra recruitment efforts beyond random allocation are described. This matches recruitment in usual care.
Score: [5]

Setting

Quote: 
""The groups were delivered by two Band 5 assistant psychologists, who were supervised by a Band 8a clinical psychologist, experienced in working with people with multiple sclerosis.""

The intervention was delivered in a clinical setting with appropriately trained staff. This matches the usual care setting.
Score: [5] 

Organisation

Quote:
""The total running costs for the programme were £17,824. This was based on 54 three-hour sessions (including room hire and refreshments) and the salary of two NHS Band 5 assistant psychologists and one Band 8a clinical psychologist."" 

The staffing and costs described are within the normal NHS organization. No additional resources were provided.
Score: [5]

Flexibility (delivery)

Quotes: 
""Participants randomly allocated to the adjustment group received six group treatment sessions.""
""The groups involved teaching people to recognise symptoms of distress and introduced them to strategies to improve their mood.""

The intervention followed a standardized protocol over six sessions. This is less flexible than usual psychological care which is individualized.
Score: [2] 

Flexibility (adherence)

No discussion of measuring or enforcing adherence.
Score: [5] 

Follow-up

Quote:
""Four and eight months after random allocation, participants were sent a booklet of outcome questionnaires to complete and return by post.""

Follow-up matched what would occur in usual care.
Score: [5]

Primary outcome 

Quote: 
""Outcomes were assessed four and eight months after randomization, blind to group allocation. The costs were assessed from a service use questionnaire and information provided on medication. Quality of life was assessed using the EQ-5D.""

Outcomes included costs, EQ-5D quality of life, and mood scales. These are measures of direct importance to patients.
Score: [5]

Primary analysis

Quote:
""Owing to the level of missing EQ-5D data at follow-up, a ‘last value carried forward’ imputation approach was adopted.""

An intention-to-treat approach was used with imputation of missing data. This matches analysis in usual care.
Score: [5]
"
1529,[],"['4', '4', 'NA', 'NA', '2', 'NA', '4', '4', 'NA']","Here are the PRECIS-2 domain scores for the given trial based on the full text:

Eligibility criteria:

Quote: ""The inclusion criteria were being definitely diagnosed with MS and having records in the Society and the exclusion criteria having history of other psychiatric disorders including major depressive disorder (according to the medical records and the physician's examinations) or bipolar disorder (except for cognitive disorders by which MS is characterized), substance dependency, any neurological disorders, history of taking corticosteroids or the disease recurrence within the previous six months.""

The eligibility criteria seem fairly broad - patients only needed a definite diagnosis of MS and to be registered with the society. The few exclusions are reasonable. Overall, the criteria seem similar to what would be used in usual care.

Score: [4] 

Recruitment:

Quote: ""To follow randomized assignment, we decided to run the sampling within two consecutive months until we enrolled an adequate number of participants. Accordingly, 70 numbers, equal to the number of people required in each group, were developed and the numbers 1–70 were randomly assigned to two groups: experimental and control. After eligible patients referred to the Association, a number was randomly assigned to each patient according to his/her referring time and the patients were assigned to the two groups.""

The recruitment process seems fairly typical - patients were recruited as they presented to the clinic over a set period of time. There is no mention of special efforts above usual care to recruit participants.

Score: [4]

Setting: 

Quote: No relevant quotes found.

The setting is not described in the text.

Score: [NA] 

Organization:

Quote: No relevant quotes found. 

The text does not provide information about staffing, resources, and organization of care delivery.

Score: [NA]

Flexibility (delivery):

Quote: ""This training program was conducted within eight 1- to 1.5-h sessions, two sessions a week through lecturing, group discussions, and question and answering, such that the scientific materials were offered within the first half-time of each session and, after a rest, the group discussions and questioning and answering were run about the drills of the subject of interest in the second half-time.""

The intervention delivery seems fairly standardized with set session times, formats, and content. This lacks the flexibility of usual care. 

Score: [2]

Flexibility (adherence):

Quote: No relevant quotes found.

The text does not describe measures to enforce or assess adherence.

Score: [NA] 

Follow-up:

Quote: ""To measure fatigue, the Piper Standard Scale was used. This scale consists of 27 items that measures fatigue in terms of four domains: behavioral, affective, tactile, and cognitive."" 

""Because the patients were not hospitalized and regularly referred to the Association, to follow randomized assignment, we decided to run the sampling within two consecutive months until we enrolled an adequate number of participants.""

Follow-up seems typical - patients were assessed during their regular clinic visits using standard scales over 2 months. There is no mention of extra visits or extensive additional data collection.

Score: [4]

Primary outcome: 

Quote: ""To investigate depression, anxiety, and stress, DASS-21, developed by Lovibond and Lovibond in 1995, was used and its validity and reliability were confirmed [17]. To measure fatigue, the Piper Standard Scale was used.""

Standard scales were used to assess depression, anxiety, stress and fatigue. These are clinically meaningful outcomes that would also be of interest in usual care.

Score: [4]

Primary analysis:

Quote: No relevant quotes about the analysis plan.

Score: [NA]
"
1567,[],"['4', '4', '4', '4', '4', '4', '4', '5', '5']","Here are the PRECIS-2 domain assessments based on the provided full text:

# Eligibility

Quotes: 
1) ""Persons with MS (N = 183) with cognitive concerns were randomly assigned to either the 8-week MAPSS-MS intervention or usual care plus freely available computer games.""
2) ""The Perceived Deficits Questionnaire19 was administered by phone, and those scoring at least 10 (indicating some problems in at least 5 areas) were eligible to participate.""

This study recruited participants with MS who had subjective cognitive concerns, as measured by a screening questionnaire. The criteria appear to align with real-world eligibility for an intervention targeting cognitive impairment in MS patients.

Score: [4] 

# Recruitment

Quotes:
1) ""Participants were recruited via physician referral, targeted mailings to persons with MS on the mailing list of the National MS Society, contact with support groups, and notices in MS newsletters and web sites."" 
2) ""The 347 persons who were initially screened as “eligible” were later contacted by phone to invite their participation during specific dates.""

Participants were recruited through routine clinical and community channels like physician referral and MS support groups. This pragmatic approach mirrors how patients would find out about and be recruited to cognitive therapy in routine practice. 

Score: [4]

# Setting

Quote: ""Following approval by the Institutional Review Board for the University of Texas at Austin, participants were recruited from three large metropolitan communities in Texas: Houston, San Antonio and Dallas.""

The study was conducted at multiple sites in the community setting, not restricted to specialized trial or academic centers. This matches the setting where cognitive therapy would normally be delivered.

Score: [4]

# Organization 

Quote: ""The MAPSS-MS intervention aims to help persons with MS acquire the highest level of cognitive functioning and functional independence. The intervention includes group sessions (2 h per week for 8 weeks) focused on building efficacy for use of cognitive strategies and a home-based computer training program (45 min three times per week).""

The intervention was delivered through a feasible model involving limited group and individual sessions. It did not require substantially more resources or expertise than would be available in routine care.

Score: [4]

# Flexibility (delivery)

Quotes:
1) ""Based on the integration of Bandura’s self-efficacy theory20 with the investigators’ prior intervention studies,21,22 the program’s conceptual model proposes accurate knowledge of cognitive problems, lifestyle adjustments (sleep, stress management, physical activity) that support cognitive functioning, and self-efficacy to manage cognitive challenges will support persons with MS in the use of compensatory cognitive strategies and cognitive skills.""
2) ""The first four sessions focused on common cognitive problems experienced with MS (attention and processing speed, memory and language, visuospatial and executive functioning) and development of relevant compensatory strategies. The final four sessions focused on lifestyle behaviors to support cognitive functioning, including managing fatigue and stress and increasing physical activity."" 

The group sessions covered a range of cognitive issues, compensatory strategies, and lifestyle recommendations. The delivery allowed flexibility in tailoring the content to participants' individual needs and priorities.

Score: [4] 

# Flexibility (adherence)

Quote: ""Although individuals varied their computer training time from week to week, 68% met or exceeded the total time prescribed over the 8-week intervention. About half met or exceeded the goal each week.""

While participants were encouraged to complete a target number of computer training sessions, there was flexibility in how strictly participants needed to adhere to the full protocol. This level of flexibility mirrors what would occur in routine practice.

Score: [4]

# Follow-up

Quote: ""Neuropsychological testing and questionnaire data were collected from all subjects at baseline, following completion of the intervention, and 3 and 6 months post-intervention.""

The follow-up schedule involved only 3 post-intervention assessments over 6 months. It did not include more extensive follow-up than would occur in routine practice.

Score: [4]

# Primary outcome  

Quote: ""Persons with MS (N = 183) with cognitive concerns were randomly assigned to either the 8-week MAPSS-MS intervention or usual care plus freely available computer games. Participants completed self-report and performance measures of cognitive functioning, compensatory strategies and depression at baseline, immediately after the MAPSS-MS intervention, and three and six months post-intervention.""

The primary outcomes of self-reported cognitive functioning, use of compensatory strategies, and objective cognitive tests are highly relevant to the daily lives of participants.

Score: [5]

# Primary analysis

Quote: ""Changes in study outcomes were analyzed using intention to treat methodology, ANOVA with repeated measures, and ANCOVA.""

The use of intention-to-treat analysis mirrors how data would be analyzed in routine practice.

Score: [5]
"
1568,[],"['4', '5', '2', '3', '2', 'NA', '1', '4', 'NA']","Here are the PRECIS-2 domain scores with quotes and explanations:

Eligibility:

Quote: ""Inclusion criteria were (1) 18–60  years of age, (2) ⩽2 years since clinical diagnosis with relapsing remitting MS (RRMS) and (3) no relapses or changes in medication status 8 weeks prior to inclusion.""

The eligibility criteria are quite broad, only excluding based on age, disease duration, and recent relapses/medication changes. Patients of any disability level were included as long as they had RRMS diagnosed within the past 2 years. This is fairly similar to patients who would receive exercise as part of usual care.

Score: [4]

Recruitment:

Quote: ""Patients (n = 84) were recruited in collaboration with six Danish regional MS clinics and The Danish MS Society.""

Patients were recruited through their regular clinic visits and an MS advocacy organization. No extra efforts like advertising or incentives were used. This matches usual care recruitment.

Score: [5] 

Setting: 

Quote: ""The exercise intervention included 3892 minutes of aerobic exercise at an average intensity of 76.2% HRmax. The exercise sessions consisted of continuous sessions lasting 30–60 minutes with an intensity of 60%–80% HRmax and interval training sessions lasting 30–60 minutes with an interval duration of 1–10 minutes and intensities varying from 65%–95% HRmax.""

The exercise intervention took place in a supervised setting, likely a research/clinical facility. This is more specialized than a typical exercise setting like a gym or community center used in usual care.

Score: [2]

Organization:

Quote: ""Patients received the exercise intervention in addition to usual care."" 

The exercise was delivered by study personnel, not the patients' usual healthcare providers. No details are provided on staff training or resources. The organization seems more structured than usual care exercise.

Score: [3] 

Flexibility (delivery): 

Quote: ""The exercise intervention was planned as high-intense aerobic exercise, monitored relative to the patients’ individual maximal heart rate (HRmax), and progressed within and between 4 meso cycles of 12 weeks.""

The exercise had a structured progression plan and heart rate monitoring. This is less flexible than usual care exercise without a set protocol.

Score: [2]

Flexibility (adherence):

No relevant quotes. The paper states the planned and achieved attendance but does not discuss encouragement or consequences for non-adherence. 

Score: [NA]

Follow-up:

Quote: ""All patients were scanned using the exact same 3-Tesla MRI scanner (MAGNETOM Skyra, Siemens Medical Systems, Erlangen, Germany) at the same location, for all patients, and at all timepoints.""

Patients had study-specific MRI scans at 3 set time points. This monitoring is much more extensive than typical patient follow-up.

Score: [1]

Primary outcome:

Quote: ""The annual relapse rate and the global brain atrophy rate were the primary outcomes of this study.""

Relapse rate is very clinically relevant. Brain atrophy is a surrogate marker not assessed in usual care.

Score: [4] 

Primary analysis:

No details provided on handling of missing data.

Score: [NA]
"
1569,[],"['4', '3', '3', '2', '2', '4', '2', '5', '5']","Here are the PRECIS-2 domain scores and explanations:

Eligibility:

Quote: ""inclusion of PwMS with an unassisted but limited walking competency (100–500 m)"" 

This quote indicates that the eligibility criteria are quite broad, including patients with MS who have limited but unassisted walking ability. No exclusions are mentioned besides impaired cognition that interferes with consent. The criteria seem reasonably similar to patients who would receive this intervention in usual care.

Score: [4]

Recruitment:

Quote: ""Patients have been recruited at Ferrara University Hospital from patients who attend the Rehabilitation Outpatient Clinic for gait rehabilitation.""

The patients were recruited from a rehabilitation clinic where they were already receiving care. No special efforts like advertising or incentives were mentioned. Recruitment seems moderately pragmatic.

Score: [3] 

Setting:

Quote: ""TOCT includes six workstations with five levels of complexity (step, slalom, tandem exercise, goals, obstacles, long step). PwMS exercised for 5 min in each one (3 min of activities and 2 min of rest).""

The supervised training took place in a rehabilitation setting with specialized equipment like treadmills and workstations. This indicates a moderately explanatory setting.

Score: [3]

Organisation:

Quote: ""One session included up to three patients and lasted 120 min, five days/week for two weeks.""

The supervised training involved long sessions 5 days per week for 2 weeks. This intensive delivery required significant provider time and resources beyond usual care. 

Score: [2] 

Flexibility (delivery): 

Quote: ""During TOCT, they received feedback (visual and auditory) from the physiotherapist.""

The supervised training followed a strict protocol with close monitoring and feedback from providers. This suggests low flexibility in delivery.

Score: [2]

Flexibility (adherence):

No relevant quotes. The home program seems reasonably flexible regarding adherence.

Score: [4] 

Follow-up:

Quote: ""The blind evaluator, who did not supervise the training program, performed functional tests, questionnaires and instrumental measurements the week before treatment, the week after the end of the supervised-TOCT, after the 12-weeks home-based TOCT program.""

Follow-up assessment was more frequent than usual care, with multiple study visits for outcome measurement. 

Score: [2]

Primary outcome: 

Quote: ""The primary outcome measure was the 6-minute walking test (6MWT) for walking endurance""

The 6MWT is a meaningful outcome directly relevant to patients' walking ability.

Score: [5]

Primary analysis:

No exclusions are mentioned. Analysis seems to follow intent-to-treat principles.

Score: [5]
"
1570,[],"['2', 'NA', 'NA', 'NA', 'NA', 'NA', '2', '4', 'NA']","Here are the PRECIS-2 domain scores and explanations based on the provided full text:

Eligibility:
""Inclusion criteria were as follows: Age between 14 – 50 yrs, definite diagnosis of MS based on clinical manifestations and performing MRI according to McDonald’s criteria, acceptance of the 24 month protocol by the patients, not being pregnant or lactating, history of having received a kind of β- interferon under the supervision of a neurologist in a period of no more than 30 days prior to the study.""
""Exclusion criteria were as follows: 1) history of malignancy within the past five years 2) history of HIV infection, positive serology for hepatitis B and C 3) history of infectious disease within six weeks prior to the study and need for hospitalization from an infectious cause within two months prior to the study 4) any kind of hematological abnormality such as lymphocyte count ≤ 1 x 109/ L , platelet count ≤ 100 x 109/ L , neutrophil count ≤ 1.5 x 109/ L ,and hemoglobin level ≤ 8.5 g/dl 
5)any kind of definite functional abnormality in body organs that disables the patient for treatment with β-interferons(criteria for functional abnormality in such cases included:creatinin ≥ 1.6 mg/dl , AST or ALT ≥
2.5 x maximum normal values , alkaline phosphatase
≥2.5 x maximum normal values ,and history of heart failure, myocardial infarction or arrhythmia within six months prior to the study) 6)vaccination using live virus vaccines within four weeks prior to the study 7) use of
antimetabolites or cytotoxic drugs within six months
prior to the study 8) patients with PPMS 9)any kind of
elective surgery during the study 10)rise in hepatic
enzymes or severe drug reactions during the follow up
period.""

The study had strict inclusion/exclusion criteria including age limits, requiring MRI confirmation, excluding pregnant/lactating women, requiring recent beta-interferon use, and excluding patients with certain medical conditions or taking certain medications. This is not very similar to eligibility criteria used in usual care.
Score: [2] 

Recruitment:
No relevant quotes. The recruitment process was not described.
Score: [NA]

Setting: 
No relevant quotes. The study setting was not described.
Score: [NA] 

Organisation:
No relevant quotes. The study organization was not described.
Score: [NA]

Flexibility (delivery):
No relevant quotes. The flexibility in intervention delivery was not described.
Score: [NA]

Flexibility (adherence):
No relevant quotes. The flexibility in intervention adherence was not described.
Score: [NA]

Follow-up:
""The patients in all three groups were evaluated at the end of 
months 6, 12, 18, 24 and in case of development of 
reactions were excluded from the study. At the end of 24 
months the patients were again evaluated for EDSS, and 
the number of relapses for each patient was calculated 
(cases of pseudoexacerbation were not considered as 
relapse).""

The patients were evaluated every 6 months for 2 years to assess EDSS and relapses. This follow-up schedule is more frequent than would occur in usual care.
Score: [2]

Primary outcome:
""At the end of 24 months the patients were again evaluated for EDSS, and the number of relapses for each patient was calculated (cases of pseudoexacerbation were not considered as relapse).""

The primary outcomes were EDSS and relapse rate. These are clinically meaningful outcomes relevant to patients.
Score: [4]

Primary analysis:
No relevant quotes. The analysis methods were not described.
Score: [NA]
"
1769,[],"['3', 'NA', '4', '4', '3', '4', '3', '5', '5']","Here are the PRECIS-2 domain scores for the given clinical trial text:

Eligibility:
Quotes: 
""Patients with multiple sclerosis were randomly selected into treated and control groups; only patients who could walk with or without walking aids were admitted to the trial, and these cases were initially assessed and scored during an inactive phase of the disease.""
""In Manchester, patients who had relapsed in the previous eighteen months only were admitted to the trial.""
""Patients with diabetes mellitus or hypertension or who gave a history of psychiatric illness or peptic ulcer were not admitted to the treated group."" 

Reasoning: The eligibility criteria exclude patients with certain comorbidities and require patients to be ambulatory at baseline. The trial also limits enrollment to patients who have relapsed recently in one center. This suggests somewhat selective eligibility criteria compared to usual care.
Score: [3]

Recruitment:
Quote:
""This controlled study was started in 1963 in three cities-Belfast, Leeds, and Manchester.""

Reasoning: The text does not provide details on recruitment methods. Running the trial at multiple centers likely involved typical referral/recruitment from those centers. There is no evidence of special recruitment efforts.
Score: [NA] 

Setting:
Quote: 
""It could not be a double-blind study. A separate trial was carried out in the three centres using the same treatment and scoring methods.""

Reasoning: The trial was conducted at 3 centers in major cities, which does not seem very different from a regular clinical setting.
Score: [4]

Organization: 
Quote:
""The treated group were given corticotrophin (’ Acthar ’ gel) in a dosage which varied between 15 and 25 units daily, potassium chloride orally, and a low-salt diet.""

Reasoning: The intervention involves a drug, diet changes, and supplements. It does not appear that extra staffing or training was required to deliver the intervention beyond a typical clinic.
Score: [4]  

Flexibility (delivery):
Quotes:
""The dose of corticotrophin was adjusted to produce just enough "" mooning "" of the face to be appreciated by the physician in charge of the trial and the dose was not increased during a relapse.""
""Both treated and control groups were given aneurin 100 mg. by injection monthly.""

Reasoning: The corticotrophin dose was titrated and held constant during relapses, suggesting a protocolized administration schedule. Both groups received vitamin B12 injections, indicating some flexibility in allowed co-interventions. Overall, delivery of the intervention seems moderately flexible.
Score: [3]

Flexibility (adherence):
Quote: 
""When possible a glucose-tolerance test was carried out before corticotrophin was started.""

Reasoning: The text does not describe measures to enforce or assess adherence. A baseline glucose tolerance test was done when possible, but there is no evidence that participants were excluded based on adherence issues.
Score: [4]

Follow-up:
Quotes:
""All cases were seen at three-monthly intervals and scored on the Kurtzke (1961) scale; relapses lasting longer than twenty-four hours were also scored by a system in the three centres."" 
""The treated group were weighed, their urine was tested, blood-pressure recorded, and blood analysed for electrolytes.""

Reasoning: Follow-up occurred every 3 months, with clinical scoring and lab tests. This seems slightly more frequent than typical follow-up.
Score: [3]

Primary outcome: 
Quote: 
""Again there was no evidence to show that corticotrophin prevented deterioration or reduced the number or severity of the relapses; nor was there any evidence that corticotrophin adversely affected the disease process, apart from side-effects due to the drug itself.""

Reasoning: The primary outcomes of disability progression, relapse rate, and relapse severity are clinically meaningful to patients.
Score: [5]

Primary analysis:
Quote:
""The total results were obtained by adding the results from the three cities; this was considered justifiable since the methods of selection, treatment, and scoring were essentially the same."" 

Reasoning: All participants appear to be included in the analysis. There is no mention of excluding patients post-randomization. 
Score: [5]

In summary, the clinical trial described in the text appears moderately pragmatic based on the PRECIS-2 assessment. The eligibility criteria, intervention delivery, and follow-up have some explanatory elements, but the trial was conducted in a regular care setting, used clinically meaningful outcomes, and analyzed all participants.
"
1770,[],"['2', '4', '4', 'NA', '2', 'NA', '2', '4', '3']","Here are the PRECIS-2 domain scores with reasoning for each:

Eligibility

1. ""Only patients with a clinical or laboraton- supported definite diagnosis of MS according to the Poser criteria (6), suffering from a relapse, were included.""

The eligibility criteria are quite restrictive, requiring a definite MS diagnosis based on strict criteria and focusing only on patients currently experiencing a relapse. This excludes patients with less certain diagnoses or stable disease who would likely receive the intervention in usual care.

Score: [2] 

Recruitment

1. ""Assessment of patients was performed by their own neurologist."" 

2. ""Three neurological departments in the Netherlands (University Hospital Groningen, Streekziekenhuis Almelo, Diaconessenhuis Meppel) participated in this study.""

Patients were recruited through neurology clinics at academic and general hospitals. This seems fairly typical of how patients would access this intervention in usual care. No special efforts beyond routine practice are mentioned.

Score: [4]

Setting

1. ""Three neurological departments in the Netherlands (University Hospital Groningen, Streekziekenhuis Almelo, Diaconessenhuis Meppel) participated in this study.""

The study took place across both academic and general neurology departments, suggesting a range of settings fairly representative of usual practice.

Score: [4] 

Organisation 

1. No details are provided about staffing, training, resources etc. 

There is insufficient information to assess differences from usual care.

Score: [NA]

Flexibility (delivery)

1. ""ACTH (100 units intramuscular, tapered over 12 weeks)"" 

The ACTH intervention is delivered via a standardized 12-week tapering protocol. This is likely more regimented than typical care.

Score: [2]

Flexibility (adherence)

No relevant quotes.

As an injected medication protocol, there are no details suggesting flexibility in adherence was assessed. This domain is probably not applicable.

Score: [NA] 

Follow-up

1. ""Follow-up was performed in the 6th and 12th week of treatment and 6, 9, and 12 months after the start of treatment.""

Follow-up is more frequent than would occur in usual care, with visits scheduled every 3 months for a year after starting treatment.

Score: [2]

Primary outcome

1. ""Assessment included: EDSS, FS, AI, ISS""

The primary outcomes are standard neurological function scales, which seem clinically relevant and routinely used in practice.

Score: [4]

Primary analysis

1. ""Three patients were withdrawn because of subsequent treatment with ACTH, corticosteroids or immunosuppressive drugs during the follow-up period.""

Some patients were excluded from analysis due to receiving additional treatments. However, it's not clear if there were other exclusions.

Score: [3]
"
1771,[],"['5', '5', '3', '2', '2', '2', '2', '5', '5']","Here are the PRECIS-2 domain scores with reasoning:

Eligibility:
Quotes: 
""Eighty-six participants were recruited from Danish MS clinics (Aarhus University Hospital, Viborg Regional Hospital, Odense University Hospital, and the MS Clinic of Southern Jutland (Kolding)). For inclusion and exclusion criteria, see Langeskov-Christensen et al.""
""Based on the Z-scores, 37 pwMS (43%) were classified as cognitively impaired (22 participants in the PAE group, 15 participants in the waitlist group).""

The study recruited a representative sample of MS patients from several clinics with minimal exclusion criteria as reported in the cited reference. 43% of participants had cognitive impairment at baseline. The eligibility criteria appear very similar to patients who would receive this intervention in usual care.
Score: [5] 

Recruitment:
Quotes:
""Eighty-six participants were recruited from Danish MS clinics (Aarhus University Hospital, Viborg Regional Hospital, Odense University Hospital, and the MS Clinic of Southern Jutland (Kolding)).""

Patients were recruited from regular clinic visits, suggesting a pragmatic recruitment approach similar to usual care. No additional effort beyond routine appointments seems to have been made.
Score: [5]

Setting:
Quotes:
""Supervised PAE sessions were conducted twice weekly during the 24 weeks, with one continuous and one interval exercise session performed each week.""

The exercise intervention took place in a supervised setting, which is likely more controlled than a real-world usual care setting. However, this is necessary for an exercise trial to ensure intervention fidelity.
Score: [3] 

Organization:
Quotes: 
""In brief, the session volume increased from 30 to 60 minutes during the intervention while the intensity increased from 65% to 95% of individual maximum heart rate (HRmax).""

The exercise program involved increasing duration and intensity in a structured, protocolized manner. This level of organization and monitoring exceeds what would occur in usual care.
Score: [2]

Flexibility (delivery):
Quotes:
""For further details on exercise modality options and the progressing volume and intensity of the exercise sessions, see Langeskov-Christensen et al.""

The paper cites the protocol paper which likely contains details on flexibility in delivery. However, supervised exercise trials tend to have limited flexibility in delivery of the intervention.
Score: [2]

Flexibility (adherence):
Quotes: 
""Twelve pwMS were unable to adhere with the prescribed intensity of 90%–95% of HRmax during the last 8 weeks of the intervention (mean intensity for the 12 subjects = 87.8% of HRmax).""

They measured adherence to the prescribed exercise intensity. The intervention involved a strict protocol with target heart rate goals. This level of monitoring exceeds usual care.
Score: [2]

Follow-up:
Quotes:
""At baseline (T0), after 24 (T24) and after 48 (T48) weeks, participants performed the BRB-N, the Major Depression Inventory (MDI), and a cardiorespiratory fitness test (VO2-max test). Each test session was separated by at least 48 hours from the last exercise bout.""

Participants were followed closely with outcome assessments at baseline, 24 weeks and 48 weeks. The intensity of measurement exceeds usual care.
Score: [2]

Primary outcome:  
Quotes:
""Assessments included the Brief Repeatable Battery of Neuropsychological tests (BRB-N), self-reported mood, and cardiorespiratory fitness."" 

The primary outcome was performance on a battery of neuropsychological tests evaluating clinically meaningful cognitive domains. This is very relevant to patients.
Score: [5]

Primary analysis:
Quotes:
""All longitudinal data for the total group and the cognitively impaired subgroup were analyzed using an intention-to-treat linear mixed effects model with time and group as the factors of interest.""

They used an intention-to-treat approach including all randomized participants. This pragmatic approach mirrors real-world clinical care.  
Score: [5]
"
1772,[],"['4', '4', '5', 'NA', '5', '4', '4', '5', '4']","Here are the PRECIS-2 domain scores with explanations:

### Eligibility

Quotes: 
""Patients were required to have received a single iDMT (except natalizumab) continuously for at least 6 months prior to study initiation and to be candidates for therapy change.""
""In the case of Canadian patients, only those with relapsing–remitting MS and who had an inadequate response to, or were unable to tolerate, one or more therapies for MS were eligible.""

The eligibility criteria seem fairly broad, including patients with relapsing-remitting MS who have been on a variety of iDMTs. The main eligibility factor is being a candidate for therapy change based on physician judgement, inadequate response, or intolerance. This suggests the trial population is reasonably similar to patients who would receive fingolimod in usual care.

Score: [4]

### Recruitment

Quote: 
""The protocol and informed consent form were reviewed and approved by an institutional review board (Quorum Review) at each study center, and every patient provided written informed consent.""

The text does not mention any special recruitment efforts beyond standard informed consent at participating centers. Patients were likely recruited during routine clinic visits.

Score: [4] 

### Setting

Quote: 
""EPOC was a 6-month, randomized, open-label, multicenter, phase 4 study conducted in the USA and Canada.""

The trial was conducted at multiple centers in the USA and Canada. No mention of specialised trial centers. The setting seems very similar to routine clinical practice.

Score: [5]

### Organisation

The text does not provide enough details on trial organization, staffing, resources etc. to assess this domain.

Score: [NA] 

### Flexibility (delivery)

Quote:  
""Patients were randomized 3:1 to switch to fingolimod (FTY720; Gilenya®, Novartis Pharma AG, Basel, Switzerland) 0.5 mg or remain on/switch to an iDMT for 6 months with no intervening washout period.""

Patients immediately switched to fingolimod or remained on iDMT, with no washout period. This matches real-world flexibility.

Score: [5]

### Flexibility (adherence)

The text does not mention efforts to enforce or monitor adherence. Likely matches usual care.

Score: [4]

### Follow-up

Quote:
""The primary analysis evaluated two groups, namely fingolimod versus any iDMT. Patients randomized to the iDMT group either remained on the same therapy or, following consultation with a physician, were switched immediately to another approved iDMT.""

Follow-up seems to occur at a single 6 month time point, with physician consultation, matching usual care.

Score: [4]

### Primary outcome  

Quote: 
""The primary endpoint was the change in Treatment Satisfaction Questionnaire for Medication (TSQM) Global Satisfaction score from baseline to 6 months [15].""

The TSQM measures patient satisfaction with treatment, a very pragmatic and patient-centered outcome.

Score: [5] 

### Primary analysis

Quote:
""Missing data were imputed using the last observation carried forward.""

The primary analysis appears to be a modified intention-to-treat approach, matching real-world practice.

Score: [4]
"
