"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.508557374459876,0.429369514486914,0.586605400598871,0.494047619047619,0.432539682539683,0.557539682539683,0,0,0
"Eligibility",0.476454293628809,NA,NA,0.625,NA,NA,0,NA,NA
"Recruitment",0.477640603566529,NA,NA,0.446428571428571,NA,NA,0,NA,NA
"Setting",0.38701560140916,NA,NA,0.375,NA,NA,0,NA,NA
"Organization",0.368185880250223,NA,NA,0.357142857142857,NA,NA,0,NA,NA
"Flex. delivery",0.49109171349994,NA,NA,0.5,NA,NA,0,NA,NA
"Flex. adherence",0.235228539576366,NA,NA,0.428571428571429,NA,NA,0,NA,NA
"Follow-up",0.452347083926031,NA,NA,0.464285714285714,NA,NA,0,NA,NA
"Outcome",0.266247379454927,NA,NA,0.607142857142857,NA,NA,0,NA,NA
"Analysis",0.399463806970509,NA,NA,0.642857142857143,NA,NA,0,NA,NA
