"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","4","deferred","deferred","deferred","deferred","deferred","4","5","deferred"
"1529","3","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA"
"1567","3","deferred","deferred","deferred","4","deferred","deferred","deferred","deferred"
"1568","4","deferred","5","deferred","deferred","4","deferred","5","NA"
"1569","4","5","deferred","5","deferred","5","4","5","5"
"1570","deferred","NA","2","deferred","2","deferred","2","4","NA"
"1769","deferred","4","deferred","deferred","deferred","NA","deferred","4","deferred"
"1770","2","NA","deferred","NA","deferred","NA","2","deferred","NA"
"1771","4","deferred","deferred","2","2","deferred","deferred","5","deferred"
"1772","4","NA","deferred","NA","NA","NA","3","5","deferred"
"1773","deferred","deferred","deferred","deferred","2","deferred","deferred","5","deferred"
"648","4","NA","deferred","deferred","deferred","deferred","4","deferred","5"
"650","deferred","deferred","deferred","4","deferred","deferred","deferred","deferred","deferred"
"651","4","5","5","5","5","5","deferred","5","5"
"655","deferred","deferred","deferred","NA","deferred","deferred","deferred","deferred","deferred"
"657","deferred","3","4","deferred","deferred","deferred","deferred","deferred","5"
"662","3","3","deferred","deferred","3","deferred","deferred","deferred","deferred"
"663","deferred","4","4","deferred","3","deferred","4","5","5"
"664","4","deferred","deferred","deferred","4","5","deferred","deferred","5"
"665","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"666","3","deferred","4","deferred","deferred","4","deferred","deferred","5"
"668","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"669","deferred","deferred","deferred","deferred","3","5","deferred","deferred","5"
"670","5","5","5","5","5","5","5","5","5"
"671","deferred","5","5","5","4","5","4","5","deferred"
"673","deferred","deferred","deferred","4","3","deferred","deferred","5","deferred"
"674","3","NA","deferred","deferred","NA","NA","3","5","NA"
"675","deferred","deferred","deferred","deferred","deferred","deferred","3","5","5"
"677","4","deferred","deferred","NA","deferred","NA","2","deferred","deferred"
"678","deferred","deferred","4","deferred","deferred","deferred","2","deferred","5"
"679","4","deferred","2","2","deferred","deferred","deferred","5","5"
"680","3","3","3","deferred","deferred","deferred","deferred","5","deferred"
"681","4","4","5","deferred","5","deferred","deferred","deferred","5"
"682","4","3","deferred","deferred","deferred","deferred","deferred","5","5"
"684","4","deferred","5","5","5","5","4","5","deferred"
"685","5","4","deferred","deferred","5","NA","4","deferred","deferred"
"686","deferred","NA","2","deferred","deferred","NA","deferred","deferred","deferred"
"687","3","deferred","deferred","deferred","deferred","deferred","5","deferred","deferred"
"688","deferred","deferred","deferred","2","NA","NA","deferred","deferred","NA"
"689","deferred","deferred","deferred","deferred","4","NA","3","deferred","4"
"690","4","3","3","2","3","NA","2","deferred","5"
"691","4","4","deferred","deferred","deferred","5","4","5","5"
"692","4","deferred","deferred","deferred","deferred","deferred","deferred","5","4"
"693","3","NA","deferred","NA","deferred","NA","2","3","NA"
"694","deferred","4","deferred","deferred","deferred","NA","4","deferred","5"
"695","deferred","5","deferred","deferred","deferred","deferred","deferred","5","deferred"
"696","4","deferred","2","NA","NA","NA","2","5","NA"
"697","3","deferred","deferred","4","4","deferred","4","5","5"
"705","4","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"712","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"713","4","4","4","NA","5","deferred","4","5","NA"
"714","4","3","5","deferred","5","deferred","deferred","5","NA"
"715","4","deferred","5","deferred","5","NA","deferred","5","5"
"722","4","deferred","deferred","5","5","deferred","4","5","5"
"725","deferred","deferred","5","deferred","5","deferred","deferred","5","5"
"733","4","deferred","5","deferred","4","deferred","4","5","5"
