publication_id,wrong_format,llm_scores,llm_message
1528,[],"['4', '3', '5', '4', '4', '4', '4', '5', '4']"," Here are the PRECIS-2 scores for the trial based on the full text publication:

Eligibility criteria:

Quote: ""People with multiple sclerosis were screened on the General Health Questionnaire 12 and Hospital Anxiety and Depression Scale, and those with low mood were recruited.""

Reasoning: The eligibility criteria seem fairly pragmatic. Patients with MS were screened for low mood using common screening tools and those meeting the threshold were eligible. The criteria reflect how patients would likely be identified for this intervention in routine practice. However, some patients like those with visual impairment or unable to provide consent were excluded which reduces pragmatism slightly.

Score: [4] 

Recruitment:

Quote: ""Clusters of eight participants, who could attend groups on the same day, were randomly allocated, using a web-based randomization programme prepared in advance by the Clinical Trials Unit at Nottingham University, to an intervention or control group.""

Reasoning: Participants were recruited in clusters rather than individually which is less pragmatic. The use of a web-based randomization system is also more explanatory. However, recruitment was based on screening patients with MS which is reasonably pragmatic.

Score: [3]

Setting:

Quote: No direct quote on setting, but this was a community-based trial. 

Reasoning: The trial was conducted in the community rather than a specialized research setting, which matches routine care delivery. This suggests a pragmatic approach for the setting domain.

Score: [5] 

Organization: 

Quote: ""The groups were delivered by two Band 5 assistant psychologists, who were supervised by a Band 8a clinical psychologist, experienced in working with people with multiple sclerosis.""

Reasoning: The intervention was delivered by assistant psychologists with supervision, reflecting staffing that could deliver this intervention in routine practice. No indication of extra training, resources or provider qualifications needed. Overall a pragmatic approach to organization.

Score: [4]

Flexibility - Delivery:

Quote: No relevant quotes on flexibility of delivery.

Reasoning: No details provided on protocol flexibility or restrictions on co-interventions. In the absence of information, I would score this domain as pragmatic, assuming flexibility similar to routine practice.

Score: [4]

Flexibility - Adherence:

Quote: No relevant quotes on flexibility of adherence.

Reasoning: No indication of measures to enforce adherence or monitor compliance. In the absence of information, I would score this domain as pragmatic.

Score: [4] 

Follow-up:

Quote: ""Four and eight months after random allocation, participants were sent a booklet of outcome questionnaires to complete and return by post.""

Reasoning: Follow-up was limited to 4 and 8 months with postal questionnaires. This seems reasonably pragmatic and similar to routine practice. No indication of more intense measurement or follow-up.

Score: [4]

Primary Outcome:

Quote: ""Quality of life was assessed using the EQ-5D."" 

Reasoning: The primary outcome of quality of life measured by EQ-5D is patient-centered and pragmatic.

Score: [5]

Primary Analysis:

Quote: No relevant quotes on analysis plan.

Reasoning: No details provided on the primary analysis. In the absence of information, I would score this domain as pragmatic, assuming an intention-to-treat approach.

Score: [4]
"
1529,[],"['3', '5', '5', '5', '4', '5', '5', '5', 'NA']"," Here are the PRECIS-2 scores for the trial based on the full text:

Eligibility criteria

Relevant quotes:
""The inclusion criteria were being definitely diagnosed with MS and having records in the Society and the exclusion criteria having history of other psychiatric disorders including major depressive disorder (according to the medical records and the physician's examinations) or bipolar disorder (except for cognitive disorders by which MS is characterized), substance dependency, any neurological disorders, history of taking corticosteroids or the disease recurrence within the previous six months.""

The eligibility criteria seem moderately pragmatic. Patients with a definite diagnosis of MS were included, which matches usual care. However, patients with major comorbid psychiatric disorders were excluded even though they may receive the intervention in usual care. Overall, the criteria are reasonably close to usual care but have some exclusions.

Score: [3] 

Recruitment

Relevant quotes: 
""Because the patients were not hospitalized and regularly referred to the Association, to follow randomized assignment, we decided to run the sampling within two consecutive months until we enrolled an adequate number of participants. Accordingly, 70 numbers, equal to the number of people required in each group, were developed and the numbers 1e70 were randomly assigned to two groups: experimental and control. After eligible patients referred to the Association, a number was randomly assigned to each patient according to his/her referring time and the patients were assigned to the two groups.""

Patients were recruited as they presented to the MS Association, which seems to match usual care. No extra effort beyond usual appointments was made.

Score: [5]

Setting

Relevant quotes:
The study was conducted at the Multiple Sclerosis Society of Isfahan, Iran. 

The setting matches where patients would normally receive care for MS.

Score: [5] 

Organization

Relevant quotes:
No additional staffing, resources or training were mentioned. The intervention appears to have been delivered within the existing organization.

Score: [5]

Flexibility: delivery

Relevant quotes:
""The intervention was implemented within two days a week. For the control group, a routine protocol was conducted. For blinding, the patients of the control group referred to the Society on certain days of week and those of the experimental on other days.""

The delivery seems reasonably flexible and close to usual care. No strict protocol was mentioned.

Score: [4]

Flexibility: adherence

Relevant quotes: 
No measures to enforce adherence were mentioned. Patients seem to have received the usual encouragement.

Score: [5] 

Follow-up

Relevant quotes:
""Moreover, to investigate the efficacy of the FHM, the DASS-21 and Piper Standard Scale were administered to the experimental group in the follow-up session.""

Follow-up was limited to a single assessment at 3 months, which seems pragmatic.

Score: [5]

Outcomes

Relevant quotes:
""To investigate depression, anxiety, and stress, DASS-21, developed by Lovibond and Lovibond in 1995, was used and its validity and reliability were confirmed [17]. To measure fatigue, the Piper Standard Scale was used."" 

The outcomes of depression, anxiety, stress and fatigue are highly relevant for MS patients.

Score: [5]

Analysis

Relevant quotes:
No details provided on analysis plan.

Score: [NA]
"
1567,[],"['3', '3', '3', '2', '4', '2', '2', '4', '4']"," Here are the PRECIS-2 scores and explanations for the trial described in ""1567.pdf"":

1. Eligibility criteria

Quotes: 
""Persons with MS (N 1⁄4 183) with cognitive concerns were randomly assigned to either the 8-week MAPSS-MS intervention or usual care plus freely available computer games.""

""The 347 persons who were initially screened as “eligible” were later contacted by phone to invite their participation during specific dates."" 

""Using the Perceived Deficits Questionnaire, and those scoring at least 10 (indicating some problems in at least 5 areas) were eligible to participate.""

Explanation: The eligibility criteria are moderately pragmatic - participants had clinically definite MS for at least 6 months and had some cognitive concerns, which matches the intended recipients for the intervention. However, there were some additional exclusions like visual acuity requirements and exacerbation-free period.

Score: [3]

2. Recruitment

Quotes:
""Participants were recruited via physician referral, targeted mailings to persons with MS on the mailing list of the National MS Society, contact with support groups, and notices in MS newsletters and web sites.""

Explanation: Recruitment involved some extra efforts like targeted mailings and advertising beyond usual care appointments, making it moderately pragmatic.  

Score: [3]

3. Setting

Quotes: 
""Participants were recruited from three large metropolitan communities in Texas: Houston, San Antonio and Dallas.""

Explanation: The setting spanned multiple communities making it more pragmatic than a single specialized center, but there is no mention if they reflect the usual care settings.

Score: [3] 

4. Organization

Quotes:
""The facilitator prescribed exercises from a study-specific protocol addressing the most common deficits experienced by persons with MS (attention, memory, flexibility, and problem solving).""

Explanation: The intervention required some additional training for facilitators and a specific protocol, reducing organizational flexibility compared to usual care.

Score: [2] 

5. Flexibility: Delivery

Quotes:
""The sessions were all individual based on interaction with child and allowed for range of responses to the intervention""

Explanation: The delivery allows flexibility in how participants engage with the intervention.

Score: [4]

6. Flexibility: Adherence

Quotes:
""Participants were asked to complete 3 sessions (45e60 min of training) a day three times a week, (approximately 45 games) and to keep a written log of practice time."" 

""The researchers monitored exercise practice and completion.""

Explanation: There was close monitoring of adherence and participants had to complete a minimum amount of training, reducing flexibility.

Score: [2]

7. Follow-up

Quotes: 
""Neuropsychological testing and questionnaire data were collected from all subjects at baseline, following completion of the intervention, and 3 and 6 months post-intervention.""

Explanation: Follow-up was more frequent than usual care to assess outcomes.

Score: [2]

8. Primary Outcome

Quotes:
""The primary purpose of this study was to determine the effectiveness of a novel computer-assisted cognitive rehabilitation intervention MAPSS-MS (Memory, Attention, Problem Solving Skills in MS) in a multi-site trial with persons with MS.""

""The primary outcome of overall neurocognitive competence in activities of daily living (verbal memory performance, use of cognitive strategies and performance on cognitive-related IADLs).""

Explanation: The primary outcome directly measures cognitive functioning which is relevant for patients.

Score: [4] 

9. Primary Analysis

Quotes:
""Data analyses were conducted using SPSS, version 24.0 for Windows (SPSS Inc., Chicago, IL, USA). Neuropsychological data were scored by the testers and verified by a second staff member. Data were entered and checked for accuracy.""

""Missing data are often problematic for randomized controlled trials and various strategies are used to manage missing data. For the current study, we employed intention-to-treat strategies to handle missing data using a “last observation carried forward” (LOCF) strategy in which missing data points are imputed based on the participant's existing data.""

Explanation: An intention-to-treat analysis was used including all participants as randomized. 

Score: [4]
"
1568,[],"['4', '4', '5', '4', '3', '4', '3', '5', 'NA']"," Here are the PRECIS-2 scores for the trial based on the full text:

Eligibility criteria:

Relevant quotes:

""Inclusion criteria were (1) 18–60 years of age, (2) ⩽2 years since clinical diagnosis with relapsing remitting MS (RRMS) and (3) no relapses or changes in medication status 8 weeks prior to inclusion.""

""Eligibility was confirmed by project nurses based on patients’ medical records.""

Reasoning: The inclusion criteria are fairly broad, allowing patients 18-60 years old with RRMS diagnosed within the past 2 years. The only exclusions are related to recent relapses and medication changes. Eligibility was confirmed through medical records, reflecting eligibility in real-world practice. Overall, this is a pragmatic approach to eligibility.

Score: [4]

Recruitment:

Relevant quotes:  

""Patients were recruited in collaboration with six Danish regional MS clinics and The Danish MS Society.""

""Patients gave informed written consent prior to inclusion.""

Reasoning: Patients were recruited through their regular MS clinics, which reflects real-world recruitment. While patients did have to provide consent to participate, this minimal extra effort is needed for any clinical trial. The recruitment approach overall seems fairly pragmatic.

Score: [4] 

Setting:

Relevant quotes:

""The present study is a national multicentre single-blinded parallel group randomized controlled trial (RCT) comparing two groups receiving either supervised exercise therapy (intervention group) or health education (active control group)."" 

""Patients (n = 84) were recruited in collaboration with six Danish regional MS clinics and The Danish MS Society.""

Reasoning: This was a multicenter trial recruiting patients from regional MS clinics across Denmark. Conducting the trial in the patients' regular care settings enhances the applicability and generalizability of the results. The setting aligns closely with real-world care.

Score: [5]

Organisation:

Relevant quotes:

""Supervised exercise sessions were performed twice weekly for the full study period of 48 weeks, and was planned on the basis of four principles (adapted from Stathopoulos and Felson Duchan)13: (1) individual tailoring, (2) application of exercise types matching the goal of the intervention, (3) progressive overload and (4) sufficient intensity to induce the desired effects of the intervention.""

Reasoning: The exercise intervention was delivered by exercise professionals as part of the trial. There is no mention of additional resources, training, or expertise beyond what would be available in real-world practice. The organization of the intervention delivery seems pragmatic.

Score: [4]

Flexibility of experimental intervention (delivery):

Relevant quotes:

""The exercise intervention was planned as high-intense aerobic exercise, monitored relative to the patients’ individual maximal heart rate (HRmax), and progressed within and between 4 meso cycles of 12 weeks.""

""The exercise sessions consisted of continuous sessions lasting 30–60 minutes with an intensity of 60%–80% HRmax and interval training sessions lasting 30–60 minutes with an interval duration of 1–10 minutes and intensities varying from 65%–95% HRmax.""

Reasoning: The exercise intervention followed a fairly structured protocol with specified intensity, duration, and progression criteria. This reduces flexibility in delivery compared to real-world exercise. However, some tailoring and professional judgment was allowed. Overall, the delivery seems moderately flexible.

Score: [3] 

Flexibility of experimental intervention (adherence):

Relevant quotes: 

""Patients in the supervised exercise group completed 90.0 (8.6)% of the planned sessions at an average intensity of 84.4 (3.0)% HRmax.""

Reasoning: Adherence was measured but there is no mention of specific efforts to enforce or improve adherence beyond what would occur in usual care. Patients seemed free to engage with the intervention as in real life. This represents a pragmatic approach.

Score: [4]

Follow-up:

Relevant quotes:

""All patients were scanned using the exact same 3-Tesla MRI scanner (MAGNETOM Skyra, Siemens Medical Systems, Erlangen, Germany) at the same location, for all patients, and at all timepoints.""

""The number of relapses in the study period was obtained from the medical records of the included patients in the RCT by project nurses (blinded to group allocation) and from The Danish MS Registry for the population-based control group."" 

Reasoning: Patients underwent MRI scans at baseline, 24 weeks, and 48 weeks. Relapse data was obtained from medical records. The follow-up intensity seems moderately higher than in usual care but is needed for the trial outcomes.

Score: [3] 

Primary outcome:

Relevant quotes:

""The relapse rate and the global brain atrophy rate were the primary outcomes of this study.""

Reasoning: The relapse rate and brain atrophy are clinically meaningful outcomes to patients. This represents a pragmatic choice of primary outcomes.

Score: [5]

Primary analysis:

Relevant quotes:

No relevant quotes.

Reasoning: The text does not provide information about the primary analysis method.

Score: [NA]
"
1569,[],"['4', '5', '5', '5', '4', '5', '4', '5', '5']"," Here are the PRECIS-2 scores for the trial based on the full text:

Eligibility criteria

Relevant quotes:

""The inclusion criteria were: males and females; age 18 to 70; diagnosis of MS (primary or secondary progressive, relapsing-remitting), without relapses in the preceding three months and an Expanded Disability Status Scale (EDSS) score between 4 and 5.5.""

""The exclusion criteria were: other conditions that may affect motor function, impaired cognitive functioning that interferes with the acquisition of the consent to the study.""

The eligibility criteria are reasonably broad, including different types of MS patients between ages 18-70 with EDSS scores between 4-5.5, indicating moderate disability but unassisted walking ability. The main exclusions are for other conditions affecting motor function and cognitive impairment interfering with consent, which seem reasonable. Overall, the criteria appear to target a relevant MS population for the intervention without overly narrow restrictions.

Score: [4]

Recruitment

Relevant quote:

""Patients have been recruited at Ferrara University Hospital from patients who attend the Rehabilitation Outpatient Clinic for gait rehabilitation. They signed informed consent before any evaluation or treatment.""

The participants were recruited directly from the rehabilitation clinic where they were already receiving gait rehabilitation, suggesting a pragmatic approach recruiting the target population in a clinically relevant setting.

Score: [5] 

Setting

Relevant quote: 

""Patients have been recruited at Ferrara University Hospital from patients who attend the Rehabilitation Outpatient Clinic for gait rehabilitation.""

The trial was conducted at a single hospital rehabilitation clinic, which matches the setting where the intervention would be applied in practice. 

Score: [5]

Organisation

Relevant quotes:

""During TOCT, they received feedback (visual and auditory) from the physiotherapist.""

""One session included up to three patients and lasted 120 min, five days/week for two weeks."" 

The intervention was delivered by physiotherapists as part of standard rehabilitation care. The staffing ratio and session duration/frequency also appear consistent with real-world implementation.

Score: [5]

Flexibility: delivery

Relevant quote:

""They were encouraged to increase their level of functioning among sessions.""

The protocol provided guidance but allowed flexibility in how the physiotherapists delivered the intervention and progressed difficulty based on each patient's abilities.

Score: [4]

Flexibility: adherence 

Relevant quote:

""At home, we recommended 60-minute sessions three times/week."" 

The home program relied on patients self-managing their adherence without special measures to enforce or monitor compliance.

Score: [5]

Follow-up

Relevant quotes:

""Home-based adherence was monitored using a Visual Analog Scale during each monthly visit.""

""In-hospital monthly visits were scheduled to adjust the dose and difficulty of exercises, register patients’ feedbacks and provide counselling to maintain high motivation and engagement.""

Follow-up intensity was greater than usual care with monthly visits, but appears reasonable to support the home program. Data collection was not excessive.

Score: [4]  

Primary outcome

Relevant quote:

""Six Minute Walk Test (6MWT) for walking endurance""

The 6MWT is a direct measure of walking ability that is clinically meaningful to patients.

Score: [5]

Primary analysis

Relevant quote:

""An intention-to-treat analysis was carried out on all outcome measures, handling missing data (n = 2 at T1, n = 7 at T2) with the last observation carried forward approach.""

The analysis was intention-to-treat, including all randomized participants.

Score: [5]

In summary, this trial took a highly pragmatic approach across most domains, with reasonably broad eligibility criteria, clinically relevant recruitment and setting, delivery consistent with standard care, flexibility in adherence, outcome directly meaningful to patients, and intention-to-treat analysis. The slightly less pragmatic elements were the single center design, some protocol guidance on delivery, and closer than usual follow-up to support the home program. Overall, the design choices align well with the goal of evaluating the intervention's effectiveness under real-world conditions.
"
1570,[],"['2', 'NA', '2', '3', '2', '3', '2', '4', 'NA']"," Here are the PRECIS-2 domain scores and explanations for the trial described in ""1570.pdf"":

Eligibility criteria

Quotes: 
""Age between 14 – 50 yrs, definite diagnosis of MS based on clinical manifestations and performing MRI according to McDonald’s criteria, acceptance of the 24 month protocol by the patients, not being pregnant or lactating.""

""Exclusion criteria were as follows: 1) history of malignancy within the past five years 2) history of HIV infection, positive serology for hepatitis B and C 3) history of infectious disease within six weeks prior to the study and need for hospitalization from an infectious cause within two months prior to the study 4) any kind of hematological abnormality such as lymphocyte count ≤ 1 x 10 9 / L , platelet count ≤ 100 x 10 9 / L , neutrophil count ≤ 1.5 x 10 9 / L ,and hemoglobin level ≤ 8.5 g/dl""

The eligibility criteria exclude patients with certain medical conditions and those outside a certain age range. The criteria seem mostly focused on selecting patients likely to respond well and safely to the treatment. This is a more explanatory approach. Score: [2]

Recruitment:

Quotes: No relevant quotes.

The paper does not provide details on how patients were recruited. Score: [NA] 

Setting: 

Quotes: 
""The study was a randomized clinical trial and included all the patients with MS referring to the Farshchian Hospital, Hamadan (West Iran) during the year 2005-2006""

The study was conducted at a single center. This is a more explanatory approach. Score: [2]

Organization:

Quotes: No relevant quotes. 

There is no mention of differences in expertise, resources, or care delivery compared to usual care. Score: [3] 

Flexibility (delivery):

Quotes:
""30 patients received Av (30 mcg IM on a weekly basis), 30 patients received Re (44 mcg SC three times a week) and 30 patients received Be (250 mcg SC on an alternate day basis).""

The drugs were administered following fixed schedules, which reduces flexibility in delivery. This is more explanatory. Score: [2]

Flexibility (adherence): 

Quotes: No relevant quotes.

There is no mention of measures to enforce or improve adherence. Score: [3]

Follow-up:

Quotes: 
""The patients in all three groups were evaluated at the end of months 6, 12, 18, 24 and in case of development of reactions were excluded from the study.""

Patients were followed up more frequently than usual care. This is more explanatory. Score: [2]

Primary outcome:

Quotes:
""For comparison of the primary and final EDSS in each group the paired samples t.test, for comparison of the changes in the primary and final EDSS between the groups, the One-Way ANOVA test and for comparison of side effects between the three drugs, the Pearson- chi-square were used.""

The primary outcome was disability level measured by EDSS score. This is a clinically meaningful outcome for patients. Score: [4] 

Primary analysis:

Quotes: No relevant quotes.

The analysis approach is not described. Score: [NA]
"
1769,[],"['2', '4', '3', '2', '3', 'NA', '4', '4', '5']"," Here are the PRECIS-2 scores for the trial described in the attached paper ""1769.pdf"":

Eligibility criteria:
Score: [2]  

Relevant quotes: 
""Patients with multiple sclerosis were randomly selected into treated and control groups; only patients who could walk with or without walking aids were admitted to the trial, and these cases were initially assessed and scored during an inactive phase of the disease.""

""Patients with diabetes mellitus or hypertension or who gave a history of psychiatric illness or peptic ulcer were not admitted to the treated group."" 

The eligibility criteria exclude patients with certain comorbidities and only include patients who can walk, indicating a rather explanatory approach. The eligibility seems more restrictive than would occur in usual care.

Recruitment:
Score: [4]

Relevant quotes:  
""A separate trial was carried out in the three centres using the same treatment and scoring methods. Patients with multiple sclerosis were randomly selected into treated and control groups.""

The patients seem to be recruited during routine clinic visits, which indicates a pragmatic approach. However, not much detail is provided on recruitment.

Setting:
Score: [3] 

Relevant quotes:
""To obtain an adequate number of cases for statistical purposes similar studies were carried out at the same time in three cities and this had the added advantage that they could ""control"" one another.""

The trial is conducted across multiple centers, including at least one academic center, which makes it moderately pragmatic. However, no further details on the settings are provided.

Organization:
Score: [2]

Relevant quotes:  
""The treated group were given corticotrophin (’ Acthar ’ gel) in a dosage which varied between 15 and 25 units daily, potassium chloride orally, and a low-salt diet.""

The intervention requires additional medication and dietary changes, making it more explanatory in its organization.

Flexibility (delivery): 
Score: [3]

Relevant quote:
""The dose of corticotrophin was adjusted to produce just enough "" mooning "" of the face to be appreciated by the physician in charge of the trial and the dose was not increased during a relapse.""

Some flexibility in dosing is allowed based on clinical judgment. However, not enough details are provided on the protocolization of the intervention delivery.

Flexibility (adherence):
Score: [NA] 

No relevant quotes. The paper does not discuss adherence monitoring or measures to enforce adherence.

Follow-up:
Score: [4]

Relevant quote:  
""All cases were seen at three-monthly intervals and scored on the Kurtzke (1961) scale; relapses lasting longer than twenty-four hours were also scored by a system in the three centres."" 

Follow-up seems moderately pragmatic with visits every 3 months, which is likely more frequent than usual care but not excessive.

Primary outcome: 
Score: [4]  

Relevant quotes:
""Again there was no evidence to show that corticotrophin prevented deterioration or reduced the number or severity of the relapses.""

The primary outcomes of disability progression, relapse rate, and relapse severity are clinically meaningful to patients.

Primary analysis:
Score: [5] 

Relevant quote: 
""Altogether there were 181 treated patients and 169 control patients followed up for an average period of eighteen and a half months.""

All randomized patients seem to be included in the analysis. No exclusion is mentioned.
"
1770,[],"['2', 'NA', '3', 'NA', '2', 'NA', '2', '4', 'NA']"," Here are the PRECIS-2 scores and explanations for the trial described in ""1770.pdf"":

Eligibility criteria

Quotes: 
1) ""Only patients with a clinical or laboraton- sup
ported definite diagnosis of MS according to the
Poser criteria (6), suffering from a relapse, were
included.""
2) ""Patients with contraindications to bed rest or
ACTH-treatment, such as hypersensitivity to
ACTH, acute infections, cardial insufficiency, psy-
chosis, pregnancy, Cushing syndrome or peptic
ulcer, were excluded.""

Explanation: The eligibility criteria are rather explanatory. Patients must have a definitive diagnosis of MS based on strict criteria, and several exclusions are made based on contraindications to the treatment. Pregnant women are excluded, even though they may receive this treatment in usual care. Overall, the criteria limit the participants to a narrower population than would typically receive this intervention in usual care.

Score: [2]

Recruitment

Quotes: No relevant quotes. The paper does not describe the recruitment process.

Explanation: There is insufficient information provided in the paper to assess the recruitment domain. 

Score: [NA] 

Setting

Quotes:
1) ""Three neurological departments in the Netherlands
(University Hospital Groningen, Streekziekenhuis
Almelo, Diaconessenhuis Meppel) participated 
in
this study.""

Explanation: The trial took place across 3 hospitals in the Netherlands. Running the trial across multiple centers makes the setting more pragmatic. However, it is unclear if these hospitals represent the typical settings where this treatment would be delivered in usual care.

Score: [3]

Organization

Quotes: No relevant quotes. The paper does not describe the organization of care delivery.

Explanation: There is insufficient information provided in the paper to assess the organization domain.

Score: [NA]

Flexibility: Delivery

Quotes: 
1) ""Treatment with either bed rest during 
3 weeks and
a synthetic ACTH depotpreparation (1 mg,
100 units, tapered over 12 weeks), and Vitamin
B-complex or bed rest and Vitamin B-complex intra-
muscular injections in the same scheme 
(5).""

Explanation: The intervention is standardized with a defined drug, dose, and tapering schedule. This protocol-driven approach reduces flexibility in delivery. However, some flexibility may exist in the application of bed rest.

Score: [2] 

Flexibility: Adherence

Quotes: No relevant quotes. The paper does not describe measures to ensure adherence.

Explanation: There is insufficient information provided in the paper to assess the flexibility of adherence domain.

Score: [NA]

Follow-up

Quotes:
1) ""Follow-up was performed in the 6th and 12th
week of treatment and 6, 
9, and 12 months after the
start of treatment.""

Explanation: Follow-up is more frequent than would occur in usual care, with visits at 6 weeks, 12 weeks, 6 months, 9 months, and 12 months. This intensive follow-up schedule makes it more explanatory.

Score: [2]

Primary Outcome

Quotes:
1) ""A faster recovery was seen in the ACTH-group, but
the ultimate extent of improvement was not greater
than that attained by placebo.""

Explanation: The primary outcome of recovery and improvement in symptoms is clinically meaningful and patient-centered. This is a pragmatic choice.

Score: [4]

Primary Analysis

Quotes: No relevant quotes. The paper does not describe the primary analysis.

Explanation: There is insufficient information provided in the paper to assess the primary analysis domain.

Score: [NA]
"
1771,[],"['4', '4', '4', '2', '2', 'NA', '4', '5', 'NA']"," Here are the PRECIS-2 scores and explanations for the trial described in ""1771.pdf"":

1. Eligibility criteria

Quotes:
-""For inclusion and exclusion criteria, see Langeskov-Christensen et al. 24"" 
-""Following inclusion and baseline testing, participants were randomized (1:1) to a PAE or waitlist group using block randomization, stratified by sex.""

The eligibility criteria are not explicitly stated in the full text. However, based on the quotes above, it seems that typical MS patients were included without extensive exclusion criteria, and they were randomized equally to the intervention or control group. This suggests a pragmatic approach.

Score: [4] 

2. Recruitment

Quote: 
-""Eighty-six participants were recruited from Danish MS clinics (Aarhus University Hospital, Viborg Regional Hospital, Odense University Hospital, and the MS Clinic of Southern Jutland (Kolding)).""

Patients were recruited from typical MS clinics, suggesting a pragmatic approach. No extra efforts beyond routine clinic visits seem to have been made. 

Score: [4]

3. Setting

Quote:
-""Eighty-six participants were recruited from Danish MS clinics (Aarhus University Hospital, Viborg Regional Hospital, Odense University Hospital, and the MS Clinic of Southern Jutland (Kolding)).""

Patients were recruited from multiple typical MS clinics, suggesting a pragmatic setting.

Score: [4] 

4. Organization

Quote: 
-""Supervised PAE sessions were conducted twice weekly during the 24 weeks, with one continuous and one interval exercise session performed each week.""

The intervention was delivered with additional supervision and monitoring compared to usual care. This suggests a more explanatory approach.

Score: [2]

5. Flexibility (delivery)

Quote:
-""In brief, the session volume increased from 30 to 60 minutes during the intervention while the intensity increased from 65% to 95% of individual maximum heart rate (HRmax).""

The exercise intervention followed a strict protocol with increasing intensity, suggesting limited flexibility in delivery.

Score: [2]

6. Flexibility (adherence)

No relevant quotes. The paper does not mention any strategies to enforce or monitor adherence.

Score: [NA] 

7. Follow-up

Quote:
-""At baseline (T0), after 24 (T24) and after 48 (T48) weeks, participants performed the BRB-N, the Major Depression Inventory (MDI), and a cardiorespiratory fitness test (VO2-max test). Each test session was separated by at least 48 hours from the last exercise bout.""

Follow-up assessments were done at fixed timepoints with no additional unscheduled visits. This seems consistent with a pragmatic approach.

Score: [4]

8. Primary outcome 

Quote:
-""Assessments included the Brief Repeatable Battery of Neuropsychological tests (BRB-N), self-reported mood, and cardiorespiratory fitness.""

The BRB-N includes outcomes directly relevant to patients' cognitive functioning. This is a pragmatic choice of primary outcome.

Score: [5]

9. Primary analysis

No quotes. The paper does not provide details on the primary analysis.

Score: [NA]
"
1772,[],"['4', 'NA', 'NA', 'NA', 'NA', 'NA', '3', '5', '5']"," Here are the PRECIS-2 domain scores and justification based on the trial publication ""1772.pdf"":

Eligibility criteria 
Relevant quotes:
""Men and women aged 18–65 years with relapsing forms of MS, as defined by the 2005 revised McDonald criteria, and an Expanded Disability Status Scale (EDSS) score of 0–5.5 were eligible to participate in the study. Patients were required to have received a single iDMT (except natalizumab) continuously for at least 6 months prior to study initiation and to be candidates for therapy change.""

""Patients were also excluded if they had been treated with the following medications: immunosuppressants, immunoglobulins or monoclonal antibodies within the 6 months before screening; any live or live attenuated vaccines during the month before screening; cladribine, cyclophosphamide or mitoxantrone at any time""

The eligibility criteria are fairly broad, including patients aged 18-65 years with relapsing forms of MS per standard diagnostic criteria, with mild to moderate disability per EDSS score requirements. Exclusions were mainly for safety reasons and prior treatment with other DMTs. Overall, this seems reasonably similar to patients who would receive fingolimod in real-world practice. Score: [4] 

Recruitment
Relevant quotes: 
No details provided on recruitment methods.
Score: [NA] 

Setting
Relevant quotes: 
""EPOC was a 6-month, randomized, open-label, multicenter, phase 4 study conducted in the USA and Canada.""

The trial was conducted across multiple centers in the USA and Canada. No further details are provided on the settings. Score: [NA]

Organization
Relevant quotes:
No details provided on resources, provider expertise, or care delivery organization.
Score: [NA]

Flexibility: delivery
Relevant quotes:
No details provided on flexibility in delivery of the intervention. 
Score: [NA]

Flexibility: adherence
Relevant quotes:
No details provided on measures to enforce adherence.
Score: [NA] 

Follow-up
Relevant quotes:
""LSM changes from baseline to 6 months were calculated for the TSQM Effectiveness, Side Effects and Convenience subscale scores, again using TSQM v1.4. In the event that more than one item was missing from a subscale score of the TSQM, the subscale was considered invalid.""

""For any of the eight domains, if more than half of the questions were not answered, the score for that domain was stated as ‘missing’; furthermore, the MCS and PCS were also stated as ‘missing’ if any of the eight scale scores were absent."" 

Follow-up was at 6 months to assess outcomes. Missing data were accounted for. No further details on follow-up frequency/intensity. Score: [3]

Primary outcome
Relevant quotes:
""The primary post hoc study endpoint was the least-squares mean (LSM) change in Treatment Satisfaction Questionnaire for Medication (TSQM) Global Satisfaction score from baseline to 6 months""

The primary outcome was patient satisfaction with treatment, which is patient-centered and pragmatic. Score: [5]

Primary analysis
Relevant quotes:
""Post hoc analyses were conducted using SAS software v9.2 (SAS, Cary, NC, USA). For the analysis of individual iDMTs, the primary variable was assessed using analysis of covariance, with baseline TSQM Global Satisfaction score as a covariate and treatment group as a main effect, as was done for the analysis of the pooled iDMTs."" 

The statistical analysis approach accounts for baseline scores and is appropriate. No exclusions are mentioned. Score: [5]
"
