"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","2","3","5","3","deferred","NA","5","deferred","deferred"
"1529","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1567","4","4","deferred","4","4","deferred","4","deferred","deferred"
"1568","4","4","3","4","4","5","5","5","5"
"1569","4","NA","2","NA","4","deferred","5","5","5"
"1570","2","2","deferred","2","2","NA","deferred","5","5"
"1769","2","4","4","deferred","deferred","deferred","deferred","5","5"
"1770","4","deferred","deferred","deferred","NA","NA","deferred","deferred","deferred"
"1771","NA","5","5","5","deferred","deferred","4","deferred","deferred"
"1772","5","4","3","4","4","NA","4","5","deferred"
"1773","4","3","5","5","deferred","NA","4","5","deferred"
"648","4","deferred","4","5","5","deferred","deferred","5","5"
"650","4","4","4","4","4","4","5","5","5"
"651","3","4","2","4","4","5","5","3","4"
"655","4","NA","3","deferred","4","NA","4","deferred","deferred"
"657","4","deferred","deferred","deferred","deferred","deferred","5","5","5"
"663","deferred","4","3","deferred","deferred","NA","deferred","5","5"
"664","4","deferred","deferred","4","4","NA","4","4","5"
"665","deferred","deferred","deferred","deferred","deferred","4","4","4","deferred"
"666","4","deferred","deferred","deferred","NA","deferred","deferred","5","5"
"668","4","deferred","4","4","4","deferred","4","2","deferred"
"669","deferred","4","4","4","5","NA","deferred","5","5"
"670","4","3","NA","NA","deferred","NA","4","5","5"
"671","4","4","3","5","4","deferred","deferred","5","deferred"
"673","5","4","5","3","NA","deferred","2","5","5"
"674","4","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"675","4","3","deferred","deferred","deferred","NA","deferred","deferred","4"
"677","4","deferred","4","deferred","4","NA","4","deferred","deferred"
"678","4","NA","4","3","3","NA","deferred","5","5"
"679","3","2","2","3","4","5","4","5","5"
"680","4","4","2","4","deferred","deferred","4","5","4"
"681","4","4","4","4","4","5","4","deferred","deferred"
"684","2","NA","5","5","5","5","5","5","5"
"685","4","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"686","4","NA","1","NA","4","NA","5","5","5"
"687","4","2","2","2","3","deferred","deferred","deferred","deferred"
"688","4","NA","NA","2","4","deferred","deferred","5","5"
"689","NA","NA","5","5","5","NA","5","5","5"
"690","4","4","3","4","4","5","4","4","5"
"691","4","4","3","4","4","5","4","4","4"
"692","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"693","deferred","deferred","3","deferred","deferred","deferred","deferred","deferred","deferred"
"694","4","4","deferred","deferred","deferred","NA","deferred","5","5"
"695","5","NA","5","deferred","4","NA","deferred","5","deferred"
"696",NA,NA,NA,NA,NA,NA,NA,NA,NA
"697","4","deferred","4","4","deferred","NA","deferred","5","5"
"705","4","4","4","deferred","deferred","NA","4","5","5"
"712","4","3","NA","deferred","2","deferred","deferred","deferred","deferred"
"713","4","4","3","4","4","4","4","4","2"
"714","4","4","deferred","deferred","5","NA","deferred","5","5"
"715","4","4","4","4","deferred","4","4","4","4"
"722","5","5","5","5","5","4","5","5","5"
"725","4","4","4","4","4","NA","4","5","deferred"
"733","4","5","5","deferred","4","deferred","deferred","5","5"
