"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.708006432435067,0.600371182346154,0.811786163022513,0.75,0.675531914893617,0.818117305559153,0.642857142857143,0.601190476190476,0.68452380952381
"Eligibility",0.794117647058824,NA,NA,0.8125,NA,NA,0.714285714285714,NA,NA
"Recruitment",0.629139072847682,NA,NA,0.727272727272727,NA,NA,0.607142857142857,NA,NA
"Setting",0.572519083969466,NA,NA,0.842105263157895,NA,NA,0.660714285714286,NA,NA
"Organization",0.278026905829596,NA,NA,0.526315789473684,NA,NA,0.660714285714286,NA,NA
"Flex. delivery",0.622302158273381,NA,NA,0.6,NA,NA,0.732142857142857,NA,NA
"Flex. adherence",0.833333333333333,NA,NA,0.8125,NA,NA,0.714285714285714,NA,NA
"Follow-up",0.590243902439024,NA,NA,0.666666666666667,NA,NA,0.678571428571429,NA,NA
"Outcome",0.624161073825503,NA,NA,0.848484848484849,NA,NA,0.410714285714286,NA,NA
"Analysis",0.784296296296296,NA,NA,0.818181818181818,NA,NA,0.607142857142857,NA,NA
