"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.952851033499644,0.910470187881553,0.98291875930191,0.955223880597015,0.924629708537496,0.98310809467821,0.601190476190476,0.551587301587302,0.646825396825397
"Eligibility",0.973509933774834,NA,NA,0.964285714285714,NA,NA,0.5,NA,NA
"Recruitment",1,NA,NA,1,NA,NA,0.589285714285714,NA,NA
"Setting",0.714042553191489,NA,NA,0.875,NA,NA,0.571428571428571,NA,NA
"Organization",1,NA,NA,1,NA,NA,0.75,NA,NA
"Flex. delivery",0.89413988657845,NA,NA,0.941176470588235,NA,NA,0.696428571428571,NA,NA
"Flex. adherence",1,NA,NA,1,NA,NA,0.696428571428571,NA,NA
"Follow-up",0.955905511811024,NA,NA,0.95,NA,NA,0.642857142857143,NA,NA
"Outcome",0.887380593262946,NA,NA,0.941176470588235,NA,NA,0.392857142857143,NA,NA
"Analysis",0.985529715762274,NA,NA,0.958333333333333,NA,NA,0.571428571428571,NA,NA
