"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"657","deferred","4","deferred","4","deferred","deferred","4","5","5"
"662","deferred","4","5","deferred","deferred","deferred","3","5","5"
"1772","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"663","4","4","5","deferred","deferred","5","deferred","deferred","deferred"
"664","3","deferred","4","deferred","deferred","deferred","deferred","5","deferred"
"665","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"666","deferred","NA","5","NA","NA","deferred","3","5","deferred"
"668","deferred","deferred","5","deferred","5","deferred","4","deferred","deferred"
"669","deferred","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"670","5","5","deferred","deferred","deferred","deferred","deferred","5","deferred"
"671","5","5","5","deferred","3","deferred","3","deferred","3"
"673","deferred","deferred","5","deferred","deferred","deferred","5","5","deferred"
"674","3","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA"
"675","deferred","deferred","NA","5","NA","deferred","5","5","5"
"677","deferred","deferred","deferred","5","NA","NA","4","5","NA"
"678","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","4"
"1770","5","NA","deferred","deferred","NA","NA","deferred","NA","deferred"
"1528","3","3","deferred","4","deferred","deferred","deferred","deferred","deferred"
"679","4","deferred","deferred","4","deferred","deferred","deferred","5","deferred"
"1529","deferred","deferred","deferred","NA","deferred","deferred","5","deferred","NA"
"680","deferred","3","deferred","4","5","deferred","deferred","5","deferred"
"1771","deferred","deferred","4","deferred","deferred","deferred","deferred","NA","5"
"681","4","deferred","deferred","deferred","deferred","deferred","4","deferred","deferred"
"682","4","4","5","deferred","deferred","deferred","deferred","1","1"
"1570","3","deferred","deferred","deferred","deferred","NA","5","NA","NA"
"1773","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"1769","5","NA","5","deferred","deferred","NA","deferred","NA","NA"
"684","4","4","5","deferred","deferred","deferred","deferred","5","deferred"
"685","5","deferred","deferred","3","deferred","NA","deferred","5","deferred"
"686","deferred","deferred","deferred","deferred","5","deferred","deferred","deferred","5"
"687","2","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"688","deferred","deferred","deferred","deferred","5","deferred","deferred","deferred","deferred"
"689","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1568","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"690","deferred","NA","deferred","deferred","deferred","NA","deferred","5","deferred"
"1569","5","5","deferred","deferred","deferred","3","deferred","5","5"
"1567","5","3","5","deferred","deferred","3","deferred","5","5"
"691","4","deferred","deferred","4","3","deferred","4","5","5"
"692","deferred","deferred","5","deferred","5","deferred","deferred","5","deferred"
"693","deferred","NA","4","deferred","deferred","deferred","4","3","NA"
"694","deferred","deferred","deferred","deferred","deferred","deferred","4","5","deferred"
"695","5","deferred","deferred","deferred","5","NA","deferred","5","5"
"696","5","NA","3","deferred","deferred","NA","3","4","NA"
"697","deferred","deferred","deferred","4","4","deferred","4","deferred","deferred"
"648","deferred","NA","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"722","deferred","deferred","5","5","5","deferred","deferred","deferred","deferred"
"650","4","deferred","5","deferred","deferred","NA","deferred","deferred","3"
"714","deferred","deferred","deferred","deferred","5","deferred","5","5","3"
"725","deferred","deferred","5","5","deferred","NA","deferred","5","deferred"
"651","5","deferred","5","deferred","deferred","deferred","4","5","deferred"
"655","deferred","NA","5","deferred","5","deferred","deferred","3","3"
"715","5","NA","5","deferred","deferred","deferred","4","5","deferred"
"712","5","5","deferred","4","deferred","NA","deferred","5","deferred"
"705","5","deferred","deferred","deferred","5","deferred","deferred","5","deferred"
"713","deferred","deferred","3","deferred","deferred","NA","deferred","deferred","deferred"
"733","deferred","deferred","5","deferred","deferred","deferred","3","3","deferred"
