"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.296116572350218,0.398809523809524,0
"Eligibility",0.36,0.5,0
"Recruitment",0.258687258687259,0.410714285714286,0
"Setting",0.225240425172937,0.428571428571429,0
"Organization",0.066129959746981,0.25,0
"Flex. delivery",0.264931087289433,0.303571428571429,0
"Flex. adherence",0.122319113834551,0.303571428571429,0
"Follow-up",0.0902208201892745,0.357142857142857,0
"Outcome",0.275271073802029,0.607142857142857,0
"Analysis",0.498218719637266,0.428571428571429,0
