"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.128454435707527,0.0347132296553858,0.220378383447305,0.602272727272727,0.540484553163784,0.657140765329699,0.301587301587302,0.257936507936508,0.347222222222222
"Eligibility",0.0427350427350428,NA,NA,0.590909090909091,NA,NA,0.214285714285714,NA,NA
"Recruitment",0.174953959484346,NA,NA,0.617647058823529,NA,NA,0.392857142857143,NA,NA
"Setting",0.0937500000000001,NA,NA,0.676470588235294,NA,NA,0.392857142857143,NA,NA
"Organization",-0.0248366013071897,NA,NA,0.542857142857143,NA,NA,0.375,NA,NA
"Flex. delivery",0.267289719626168,NA,NA,0.53125,NA,NA,0.428571428571429,NA,NA
"Flex. adherence",0.313725490196078,NA,NA,0.666666666666667,NA,NA,0.357142857142857,NA,NA
"Follow-up",0.0463012240553486,NA,NA,0.552631578947368,NA,NA,0.321428571428571,NA,NA
"Outcome",-0.0618762475049901,NA,NA,0.703703703703704,NA,NA,0.0357142857142857,NA,NA
"Analysis",0.0873108265424912,NA,NA,0.511111111111111,NA,NA,0.196428571428571,NA,NA
