"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"1529","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1567","deferred","4","deferred","4","4","deferred","4","deferred","deferred"
"1568","4","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"1569","4","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"1570","2","deferred","deferred","deferred","2","NA","2","deferred","deferred"
"1769","deferred","4","4","deferred","deferred","deferred","deferred","deferred","5"
"1770","deferred","deferred","deferred","NA","deferred","NA","2","deferred","deferred"
"1771","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1772","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","deferred"
"1773","4","3","deferred","deferred","2","deferred","deferred","5","deferred"
"648","4","deferred","deferred","deferred","deferred","deferred","4","5","5"
"650","deferred","deferred","deferred","4","deferred","deferred","deferred","5","deferred"
"651","deferred","deferred","deferred","deferred","deferred","5","deferred","deferred","deferred"
"655","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"657","deferred","3","4","deferred","deferred","deferred","deferred","deferred","5"
"662","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"663","deferred","4","deferred","deferred","deferred","deferred","4","5","5"
"664","4","deferred","deferred","deferred","4","deferred","deferred","deferred","5"
"665","deferred","deferred","deferred","deferred","deferred","4","deferred","deferred","deferred"
"666","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"668","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"669","deferred","deferred","deferred","4","deferred","deferred","deferred","5","5"
"670","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"671","4","deferred","deferred","5","4","deferred","4","5","deferred"
"673","deferred","deferred","5","deferred","deferred","deferred","deferred","5","5"
"674","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"675","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"677","4","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"678","4","deferred","4","deferred","deferred","NA","2","deferred","5"
"679","deferred","deferred","2","deferred","deferred","deferred","4","5","5"
"680","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"681","4","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"682","deferred","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred"
"684","deferred","deferred","5","5","5","5","deferred","5","deferred"
"685","deferred","4","deferred","deferred","deferred","deferred","4","deferred","deferred"
"686","4","NA","deferred","deferred","deferred","NA","deferred","5","deferred"
"687","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"688","deferred","deferred","deferred","2","deferred","NA","deferred","5","deferred"
"689","deferred","deferred","5","deferred","deferred","NA","deferred","5","deferred"
"690","4","deferred","3","deferred","deferred","deferred","deferred","deferred","5"
"691","4","4","deferred","deferred","deferred","5","4","deferred","deferred"
"692","4","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"693","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"694","4","4","deferred","deferred","deferred","NA","4","deferred","5"
"695","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","deferred"
"696","deferred","deferred","2","NA","deferred","NA","deferred","deferred","NA"
"697","deferred","deferred","4","4","deferred","deferred","deferred","5","5"
"705","4","deferred","4","deferred","deferred","deferred","deferred","5","5"
"712","deferred","deferred","deferred","deferred","2","deferred","deferred","deferred","deferred"
"713","4","4","deferred","deferred","deferred","deferred","4","deferred","deferred"
"714","4","deferred","deferred","deferred","5","deferred","deferred","5","deferred"
"715","4","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"722","deferred","5","5","5","5","deferred","deferred","5","5"
"725","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"733","4","deferred","5","deferred","4","deferred","4","5","5"
