pragmeta_trial_id,doi,domain_name,quote,best_match,ratio
1494,10.1056/nejmoa1805101,Eligibility,"We performed a multicenter, open-label, randomized, controlled trial involving patients 18 to 75 years of age with resectable cancer of the middle or lower third of the esophagus.","We performed a multicenter, open-label, randomized, controlled trial involving patients 18 to 75 years of age with resectable cancer of the middle or lower third of the esophagus.",100.0
1494,10.1056/nejmoa1805101,Eligibility,"Specific inclusion criteria were the following: squamous-cell carcinoma or adenocarcinoma of thoracic esophagus with a clinical stage of I, II, or III (tumor stage 1 through 3 [T1, T2, or T3], no nodal involvement [N0] or presence of cancer in lymph nodes [N1] or in distant lymph nodes [≥5 cm from the tumor; N2], and no metastases [M0]) before the receipt of any induction treatment; esophageal cancer in the middle or lower third of the esophagus or junctional (Siewert’s type I) tumor; the receipt or nonreceipt of neoadjuvant radiotherapy, chemotherapy, or both; tumors that were considered to be resectable with a curative intention at the time of preoperative evaluation; an age of 18 to 75 years; a World Health Organization performance-status score of 0, 1, or 2 (on a 5-point scale, with higher numbers indicating greater disability); ability to provide written informed consent; ability to undergo one of the investigated surgical procedures; and ability to attend the follow-up visits.","Specific inclusion criteria were the following: squamous-cell carcinoma or adenocarcinoma of thoracic esophagus with a clinical stage of I, II, or III (tumor stage 1 through 3 [T1, T2, or T3], no nodal involvement [N0] or presence of cancer in lymph nodes [N1] or in distant lymph nodes [≥5 cm from the tumor; N2], and no metastases [M0]) before the receipt of any induction treatment; esophageal cancer in the middle or lower third of the esophagus or junctional (Siewert’s type I) tumor; the receipt or nonreceipt of neoadjuvant radiotherapy, chemotherapy, or both; tumors that were considered to be resectable with a curative intention at the time of preoperative evaluation; an age of 18 to 75 years; a World Health Organization performance-status score of 0, 1, or 2 (on a 5-point scale, with higher numbers indicating greater disability); ability to provide written informed consent; ability to undergo one of the investigated surgical procedures; and ability to attend the follow-up visits.",100.0
1494,10.1056/nejmoa1805101,Recruitment,The trial was conducted at 13 centers in France.,The trial was conducted at 13 centers in France,100.0
1494,10.1056/nejmoa1805101,Setting,The trial was conducted at 13 centers in France.,The trial was conducted at 13 centers in France,100.0
1494,10.1056/nejmoa1805101,Organisation,"All the participating centers had surgeons who were experienced in esophageal-cancer surgery and in laparoscopic gastric mobilization, with at least 25 procedures performed at each center before it was included in the trial.","All the participating centers had surgeons who were experienced in esophageal-cancer surgery and in laparoscopic gastric mobilization, with at least 25 procedures performed at each center before it was included in the trial.",100.0
1494,10.1056/nejmoa1805101,Flexibility (delivery),"Despite the difference in approach to the abdominal component of the surgical procedure, the surgical technique was standardized between groups and performed as described previously.","Despite the difference in approach to the abdominal component of the surgical procedure, the surgical technique was standardized between groups and performed as described previously.",100.0
1494,10.1056/nejmoa1805101,Follow-up,Patients were followed up at 30 days after surgery and every 6 months for 3 years after surgery.,Patients were followed up at 30 days after surgery and every 6 months for 3 years after surgery.,100.0
1494,10.1056/nejmoa1805101,Primary outcome,The primary end point was major complication during surgery or within 30 days after surgery.,The primary end point was major complication during surgery or within 30 days after surgery.,100.0
1494,10.1056/nejmoa1805101,Primary analysis,"All the analyses were performed on an intention-to-treat basis; the analyses included all the patients who had undergone randomization, regardless of the surgery performed and eligibility criteria.","All the analyses were performed on an intention-to-treat basis; the analyses included all the patients who had undergone randomization, regardless of the surgery performed and eligibility criteria.",100.0
673,10.1177/1352458512461966,Eligibility,"Participants were randomised in groups of eight to physiotherapist (PT)-led exercise (n = 80), yoga (n = 77), fitness instructor (FI)-led exercise (n = 86) and they took part in weekly community-based group exercise sessions.","Participants were randomised in groups of eight to physiotherapist (PT)-led exercise (n = 80), yoga (n = 77), fitness instructor (FI)-led exercise (n = 86) and they took part in weekly community-based group exercise sessions.",100.0
673,10.1177/1352458512461966,Eligibility,"Our study participants were referred to the project by themselves, their care-giver, MSI, chartered physiotherapists, neurologists, general practitioners or clinical nurse specialists.","Our study participants were referred to the project by themselves, their care-giver, MSI, chartered physiotherapists, neurologists, general practitioners or clinical nurse specialists.",100.0
673,10.1177/1352458512461966,Eligibility,Eligible participants were over 18 years of age and had a diagnosis of MS that was confirmed by a consultant physician or neurologist.,Eligible participants were over 18 years of age and had a diagnosis of MS that was confirmed by a consultant physician or neurologist.,100.0
673,10.1177/1352458512461966,Recruitment,"Participants were randomised in groups of eight to physiotherapist (PT)-led exercise (n = 80), yoga (n = 77), fitness instructor (FI)-led exercise (n = 86) and they took part in weekly community-based group exercise sessions.","Participants were randomised in groups of eight to physiotherapist (PT)-led exercise (n = 80), yoga (n = 77), fitness instructor (FI)-led exercise (n = 86) and they took part in weekly community-based group exercise sessions.",100.0
673,10.1177/1352458512461966,Recruitment,"Our study participants were referred to the project by themselves, their care-giver, MSI, chartered physiotherapists, neurologists, general practitioners or clinical nurse specialists.","Our study participants were referred to the project by themselves, their care-giver, MSI, chartered physiotherapists, neurologists, general practitioners or clinical nurse specialists.",100.0
673,10.1177/1352458512461966,Setting,"All interventions took place in groups of eight, for an hour per week, for 10 weeks.","All interventions took place in groups of eight, for an hour per week, for 10 weeks.",100.0
673,10.1177/1352458512461966,Setting,"They were delivered in community centres such as local gyms, hotels and health centres.","They were delivered in community centres such as local gyms, hotels and health centres.",100.0
673,10.1177/1352458512461966,Organisation,The PT-led exercise provided was pre-defined.,The PT-led exercise provided was pre-defined.,100.0
673,10.1177/1352458512461966,Organisation,"The FI-led classes were not pre-defined, as the aim was to establish whether these classes were effective when encountered by those with MS in the community.","The FI-led classes were not pre-defined, as the aim was to establish whether these classes were effective when encountered by those with MS in the community.",100.0
673,10.1177/1352458512461966,Organisation,The yoga intervention was also not predefined.,The yoga intervention was also not predefined,100.0
673,10.1177/1352458512461966,Flexibility (delivery),The PT-led exercise provided was pre-defined.,The PT-led exercise provided was pre-defined.,100.0
673,10.1177/1352458512461966,Flexibility (delivery),"The FI-led classes were not pre-defined, as the aim was to establish whether these classes were effective when encountered by those with MS in the community.","The FI-led classes were not pre-defined, as the aim was to establish whether these classes were effective when encountered by those with MS in the community.",100.0
673,10.1177/1352458512461966,Flexibility (delivery),The yoga intervention was also not predefined.,The yoga intervention was also not predefined,100.0
673,10.1177/1352458512461966,Flexibility (adherence),"All interventions took place in groups of eight, for an hour per week, for 10 weeks.","All interventions took place in groups of eight, for an hour per week, for 10 weeks.",100.0
673,10.1177/1352458512461966,Flexibility (adherence),Treatment fidelity was optimized by the instructors and participants documenting program adherence.,Treatment fidelity was optimised by the instructors and participants documenting programme adheren,96.93877551020408
673,10.1177/1352458512461966,Follow-up,"Outcome was assessed at week 24 for the intervention groups only, as it was felt that withholding a potentially beneficial treatment for longer than 12 weeks, from the controls, could be considered unethical.","Outcome was assessed at week 24 for the intervention groups only, as it was felt that withholding a potentially beneficial treatment for longer than 12 weeks, from the controls, could be considered unethical.",100.0
673,10.1177/1352458512461966,Primary outcome,"The primary outcome was the Multiple Sclerosis Impact Scale (MSIS) 29v2 physical component, measured before and after the 10-week intervention.","The primary outcome was the Multiple Sclerosis Impact Scale (MSIS) 29v2 physical component, measured before and after the 10-week intervention.",100.0
673,10.1177/1352458512461966,Primary analysis,All participants were analyzed in the groups to which they were randomized.,All participants were analysed in the groups to which they were randomised,97.2972972972973
1330,10.1097/sla.0000000000000982,Eligibility,"The inclusion criterion was planned unilateral adrenal surgery for a benign tumor up to 7 cm in diameter. Exclusion criteria were diffuse peritonitis in history, major abdominal surgery in history, planned bilateral adrenal surgery, adrenal tumor more than 7 cm in diameter, suspected adrenocortical cancer, metastasis to adrenal gland, previous adrenal surgery, pregnancy or lactation, age less than 18 or more than 80 years, American Society of Anesthesiologists fitness grade IV, and inability to comply with the follow-up protocol.","The inclusion criterion was planned unilateral adrenal surgery for a benign tumor up to 7 cm in diameter. Exclusion criteria were diffuse peritonitis in history, major abdominal surgery in history, planned bilateral adrenal surgery, adrenal tumor more than 7 cm in diameter, suspected adrenocortical cancer, metastasis to adrenal gland, previous adrenal surgery, pregnancy or lactation, age less than 18 or more than 80 years, American Society of Anesthesiologists fitness grade IV, and inability to comply with the follow-up protocol.",100.0
1330,10.1097/sla.0000000000000982,Eligibility,The patients were randomized to one of the parallel groups: PRA or LTLA.,The patients were randomized to one of the parallel groups: PRA or LTLA.,100.0
1330,10.1097/sla.0000000000000982,Recruitment,"Eighty-eight patients were referred for adrenal surgery and were potential candidates for the study. Twenty patients did not meet the inclusion criteria and 3 refused to participate, leaving 65 patients with complete short-term follow-up (33 in the PRA and 32 in the LTLA group) and 61 patients who were followed-up for 5 years (30 in the PRA and 31 in the LTLA group) as shown in Fig. 1.","Eighty-eight patients were referred for adrenal surgery and were potential candidates for the study. Twenty patients did not meet the inclusion criteria and 3 refused to participate, leaving 65 patients with complete short-term follow-up (33 in the PRA and 32 in the LTLA group) and 61 patients who were followed-up for 5 years (30 in the PRA and 31 in the LTLA group) as shown in Fig. 1.",100.0
1330,10.1097/sla.0000000000000982,Setting,"Patients referred to the Third Department of General Surgery, Jagiellonian University Medical College, Krakow, between January 2006 and June 2008 for first time adrenal surgery were registered.","Patients referred to the Third Department of General Surgery, Jagiellonian University Medical College, Krakow, between January 2006 and June 2008 for first time adrenal surgery were registered.",100.0
1330,10.1097/sla.0000000000000982,Organisation,All operations in this study were unilateral total adrenalectomies and were carried out by a single experienced endocrine surgeon (M.B.) under general anesthesia.,All operations in this study were unilateral total adrenalectomies and were carried out by a single experienced endocrine surgeon (M.B.) under general anesthesia.,100.0
1330,10.1097/sla.0000000000000982,Organisation,"The surgeon (M.B.) completed a training program in LTLA during his visiting observership in 2002 in the Mount Sinai School of Medicine, Minimally Invasive Surgery Center (New York) headed by M. Gagner, and in PRA during his visiting observership in 2003 in the Department of Surgery and Center for Minimally Invasive Surgery, University of Essen (Essen, Germany) headed by M. Walz.","The surgeon (M.B.) completed a training program in LTLA during his visiting observership in 2002 in the Mount Sinai School of Medicine, Minimally Invasive Surgery Center (New York) headed by M. Gagner, and in PRA during his visiting observership in 2003 in the Department of Surgery and Center for Minimally Invasive Surgery, University of Essen (Essen, Germany) headed by M. Walz.",100.0
1330,10.1097/sla.0000000000000982,Flexibility (delivery),All operations in this study were unilateral total adrenalectomies and were carried out by a single experienced endocrine surgeon (M.B.) under general anesthesia.,All operations in this study were unilateral total adrenalectomies and were carried out by a single experienced endocrine surgeon (M.B.) under general anesthesia.,100.0
1330,10.1097/sla.0000000000000982,Flexibility (delivery),The same anesthesia protocol was used in all the patients.,The same anesthesia protocol was used in all the patients.,100.0
1330,10.1097/sla.0000000000000982,Flexibility (adherence),The patients were encouraged to be mobilized and to drink and eat soon after returning from the recovery room.,The patients were encouraged to be mobilized and to drink and eat soon after returning from the recovery room.,100.0
1330,10.1097/sla.0000000000000982,Follow-up,The patients were encouraged to be mobilized and to drink and eat soon after returning from the recovery room.,The patients were encouraged to be mobilized and to drink and eat soon after returning from the recovery room.,100.0
1330,10.1097/sla.0000000000000982,Follow-up,"The prevalence of postoperative complications was evaluated during hospitalization and visits at the outpatient surgical department scheduled at 7 days and 1, 12, 24, 36, 48, and 60 months after the operation.","The prevalence of postoperative complications was evaluated during hospitalization and visits at the outpatient surgical department scheduled at 7 days and 1, 12, 24, 36, 48, and 60 months after the operation.",100.0
1330,10.1097/sla.0000000000000982,Primary outcome,The primary endpoint was duration of surgery.,The primary endpoint was duration of surgery.,100.0
