"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.171541296662401,0.357142857142857,0
"Eligibility",0.051948051948052,0.375,0
"Recruitment",0.262048192771084,0.357142857142857,0
"Setting",0.122789287518949,0.321428571428571,0
"Organization",0.0619647355163727,0.232142857142857,0
"Flex. delivery",0.123640399556049,0.285714285714286,0
"Flex. adherence",0.228198560800097,0.428571428571429,0
"Follow-up",-0.0589670597803984,0.339285714285714,0
"Outcome",-0.0506329113924051,0.535714285714286,0
"Analysis",0.129568913175471,0.339285714285714,0
