"pragmeta_trial_id";"Author";"DOI";"Title";"Rater";"Eligibility";"Quote_comment_Eligibility";"Recruitment";"Quote_comment_Recruitment";"Setting";"Quote_comment_Setting";"Organisation";"Quote_comment_Organisation";"Flexibility_del";"Quote_comment_Flexibility_del";"Flexibility_adh";"Quote_comment_Flexibility_adh";"FU";"Quote_comment_FU";"Primary_out";"Quote_comment_Prim_out";"Primary_anal";"Quote_comment_Primary_anal";"module"
657;"Arntzen, Ellen Christin; Straume, Bjorn Kare; Odeh, Francis; Feys, Peter; Zanaboni, Paolo; Normann, Britt";"10.1093/ptj/pzz017";"Group-Based Individualized Comprehensive Core Stability Intervention Improves Balance in Persons With Multiple Sclerosis: A Randomized Controlled Trial.";"Julian";2;"The inclusion criteria were as follows: (1) diagnosed with MS in accordance with the McDonald criteria27; (2) registered at the MS outpatient clinic; (3) living in 1 of 6 selected municipalities; (4) aged 18 years or older; (5) capable of providing signed written informed consent; and (6) EDSS score between 1 and 6.5 (1 = minor disability, 6.5 = able lk h h lk d) h to walk 20 m with or without a walking aid). The exclusion criteria were as follows: (1) pregnancy at time of examination; (2) exacerbation in the previous 2 weeks before enrollment; and (3) other acute conditions compromising balance";4;"In August 2015, 1 of the MS nurses at the Department of Neurology, Nordland Hospital Trust in Bodø, Norway, sent out invitation letters with a consent form to 160 persons with MS who were registered at the MS outpatient clinic,";5;"The GroupCoreDIST intervention was conducted by 6 physical therapists in 6 municipalities in Norway.";4;"More intensive resources/training: The GroupCoreDIST intervention was conducted by 6 physical therapists in 6 municipalities in Norway.
Six neurological physical therapists conducted the intervention after being trained in GroupCoreDIST for 5 days. The training included practical and theoretical training. The physical therapists received a booklet with descriptions and photos of all exercises and variations, as well as the theoretical framework for the intervention. The physical therapists had varied experience (between 725 years) and certification (2 had both a masters degree in neurological physical therapy and were clinical specialists in neurological physical therapy, 1 was a clinical specialist in neurological physical therapy, and 3 were generalists in physical therapy).";"5";"the physical therapist received booklet with descriptions and photos of all exercises and variations, as well as the theoretical framework for the intervention, but he chose from the available exercise to address each individuals impairments ";5;"No specific measures reported";4;"Assessments at all time points took place at a Norwegian hospital.";5;"This article address all balance outcomes, which
were: the primary outcomes (TIS-NV and Mini-BESTest)

The outcome measures were the Trunk Impairment ScaleNorwegian Version (TIS-NV), the Mini Balance Evaluation Systems Test (Mini-BESTest),

The TIS-NV measures dynamic sitting balance and trunk
control and includes 6 test items scored from 0 to 2 or 3, with a total score from 0 to 16 (0 = severe problem).29 h dfid f h l k The TIS-NV is a modified version of the original Trunk
Impairment Scale, which has been validated and tested for
reliability in people with MS.30 The Mini-BESTest measures balance in standing and walking.";5;"1/80 missing/dropout, itt: One individual missed all postintervention tests, leaving 79 participants in the intention-to-treat analysis.
ITT and <10% attrition (with or without methods to address missing data): 5";"PragMS"
657;"Arntzen, Ellen Christin; Straume, Bjorn Kare; Odeh, Francis; Feys, Peter; Zanaboni, Paolo; Normann, Britt";"10.1093/ptj/pzz017";"Group-Based Individualized Comprehensive Core Stability Intervention Improves Balance in Persons With Multiple Sclerosis: A Randomized Controlled Trial.";"Kinga";3;"excluding pregnant women ( not sure about excluding people with acute conditions compromising balance)";4;"searching medical records ";4;"patients were selected form only one hospital but it may be normal ( small country)";4;"no increased number of healthcare workers but 5 days training, ";"4";"the physical therapist received booklet with descriptions and photos of all exercises and variations, as well as the theoretical framework for the intervention, but he chose from the available exercise to address each individuals impairments ";4;"nothing about excluding because of missing observations, but one reminder was send to people who did not answer the invitation for the study (potentially excluding non-responders)";4;"no collection of unusual data except pregnancy test";5;"balance and trunk control";5;"intention-to-treat with repeated-measure mixed model";"PragMS"
662;"Bogosian, A; Chadwick, P; Windgassen, S; Norton, S; McCrone, P; Mosweu, I; Silber, E; Moss-Morris, R";"10.1177/1352458515576261";"Distress improves after mindfulness training for progressive MS: A pilot randomised trial.";"Julian";4;" Inclusion criteria
were diagnosis of PPMS or SPMS, internet access and some level of distress
determined by a score of 3 or greater on the General Health Questionnaire;
GHQ-12 [17]. This cut-off score was chosen following recommendations for MS [18]. Exclusion criteria were severe cognitive impairment, as determined
by a score of 20 or smaller on the Telephone Interview for Cognitive StatusModified; TICS-M [19] and high suicide risk, as assessed by a score of 20 or
greater on the Clinical Outcome of Routine Evaluation; CORE-10 [20]. Finally,
people were excluded if they reported any serious psychological disorders
(e.g. psychosis, substance abuse), severe hearing impairment, attending
other psychological therapies or prior formal training in mindfulness.";4;"We recruited potential
participants through adverts on the MS Society website and from National
Health Service (NHS) MS centres across the UK. We
administered the screening questionnaires via telephone";5;"We recruited 40
participants across the UK.";3;"Teaching standards and teachers competence are important in mindfulness
especially when working with vulnerable groups [23]. AB, a health
psychologist, facilitated the courses. AB was supervised by PC, a clinical
psychologist and expert mindfulness practitioner, who listened to session
recordings to check fidelity of the intervention. AB and PC met weekly, and
PC listened to excerpts of each and every session for supervision and fidelity
purposes. Prior to the study AB, completed a recognised mindfulness teacher
training course and ran supervised pilot mindfulness groups and one-to-one
courses for people with MS.";"3";" AB was supervised by PC, a clinical
psychologist and expert mindfulness practitioner, who listened to session
recordings to check fidelity of the intervention. AB and PC met weekly, and
PC listened to excerpts of each and every session for supervision and fidelity
purposes. ";2;" Teaching standards and teachers competence are important in mindfulness
especially when working with vulnerable groups [23]. ..... AB was supervised by PC, a clinical
psychologist and expert mindfulness practitioner, who listened to session
recordings to check fidelity of the intervention. AB and PC met weekly, and
PC listened to excerpts of each and every session for supervision and fidelity
purposes. ";3;"Participants completed online questionnaires at baseline (prior to
randomisation), post-intervention and 3-month follow-up.";5;"The General Health Questionnaire, GHQ [17] is designed to measure general
levels of distress. The GHQ is uncontaminated by the experience of MSrelated somatic symptoms and is the most treatment responsive measure of
psychological distress in MS [26]. Higher scores on this scale represent high
distress";5;"We conducted all group comparisons on an intention-to-treat basis where we
analysed participants in the group to which they were randomised.";"PragMS"
662;"Bogosian, A; Chadwick, P; Windgassen, S; Norton, S; McCrone, P; Mosweu, I; Silber, E; Moss-Morris, R";"10.1177/1352458515576261";"Distress improves after mindfulness training for progressive MS: A pilot randomised trial.";"Lars";5;"";4;"";5;"";4;"";"5";"";5;"";3;"interview, phone call";5;"";5;"";"PragMS"
1772;"Calkwood, J.; Cree, B.; Crayton, H.; Kantor, D.; Steingo, B.; Barbato, L.; Hashmonay, R.; Agashivala, N.; McCague, K.; Tenenbaum, N.; Edwards, K.";"10.1186/s12883-014-0220-1";"Impact of a switch to fingolimod versus staying on glatiramer acetate or beta interferons on patient- and physician-reported outcomes in relapsing multiple sclerosis: post hoc analyses of the EPOC trial";"Julian";4;"Not really unjustified criteria but Canadians were different: Men and women aged 1865 years with relapsing forms of MS, as defined by the 2005 revised McDonald criteria [14], and an Expanded Disability Status Scale (EDSS) score of 05.5 were eligible to participate in the study. Patients were required to have received a single iDMT (except natalizumab) continuously for at least 6 months prior to study initiation and to be candidates for therapy change. For patients from the USA, the treating physician determined whether the patient was a suitable candidate for therapy change. In the case of Canadian patients, only those with relapsingremitting MS and who had an inadequate response to, or were unable to tolerate, one or more therapies for MS were eligible. Patients were required to have been naïve to fingolimod treatment.

A lot of exclusion criteria:
Patient exclusion criteria
Patients were excluded from the study for any of the following reasons: chronic immune system disease other than MS; immunodeficiency; malignancy other than localized basal cell carcinoma within the past 5 years; a history of cardiac arrest, myocardial infarction, ischemic heart disease or coronary spasm within the past 6 months; Mobitz type II second-degree heart block, third-degree atrioventricular block or an increased corrected QT (QTc) interval (>470 ms); having undergone a bone marrow transplant; a history of alcohol abuse within the past 5 years. Further exclusion criteria at the time of screening were: macular edema; active systemic infection; a negative test for Varicella zoster immunoglobulin G antibodies; positive tests for hepatitis B, hepatitis C or human immunodeficiency virus; tuberculosis; uncontrolled diabetes; uncontrolled or poorly controlled hypertension or asthma; cardiac failure; severe respiratory disease or pulmonary fibrosis; chronic liver or biliary disease. Patients were also excluded if they had been treated with the following medications: immunosuppressants, immunoglobulins or monoclonal antibodies within the 6 months before screening; any live or live attenuated vaccines during the month before screening; cladribine, cyclophosphamide or mitoxantrone at any time; class Ia or class III antiarrhythmic drugs at the time of screening.";NA;"";5;"multicentre";5;"drug treatment, no additional ressources";"2";"Highly specified direction was given for how to deliver the intervention (i.e. dose,
dosing schedule, surgical procedures, educational material, and delivery)";NA;"";NA;"";NA;"";NA;"";"PragMS"
1772;"Calkwood, J.; Cree, B.; Crayton, H.; Kantor, D.; Steingo, B.; Barbato, L.; Hashmonay, R.; Agashivala, N.; McCague, K.; Tenenbaum, N.; Edwards, K.";"10.1186/s12883-014-0220-1";"Impact of a switch to fingolimod versus staying on glatiramer acetate or beta interferons on patient- and physician-reported outcomes in relapsing multiple sclerosis: post hoc analyses of the EPOC trial";"Jacopo";3;"All patients had been treated with an iDMT for at least
6 months before screening andentered the study without an
intervening was hout period. In addition ,patients were
required to meet all of the following criteria: adults under
65 years of age with relapsing MS in accordance with the
2005 McDonald criteria (Polmanetal.,2005), an Expanded
Disability Status Scale (EDSS) score of 05.5 (Kurtzke,1983),
and treatment-naïve to fingolimod.
Key exclusion criteria were consistent with those
described in the phase3 fingolimod clinical trials (Cohen
Ja etal.,2010b, Kappos etal.,2010) and were as follows:
history of chronic disease of the immune system (except
MS), history of active malignancy (except localized basal/
squamous cell carcinoma of the skin), uncontrolled diabetes
mellitus (glycosylated hemoglobin 47%), macular edema
present at screening, active systemic bacterial, viral,or
fungal infection(s), pregnancy, and certain cardiovascular,
pulmonary, and hepatic conditions.";5;"""Patients  must  have received a single, continuous MS DMT, excluding natali- zumab, for :::6 months before study initiation and be can- didates  for  a  change  in  therapy  (therapy  change  from natalizumab  to  fingolimod  will  be  assessed  in  a  separate study). Candidacy for therapy change was determined by the treating physician."" (cascione2013)";4;"152 centers in the USA and 6 centers in Canada between August 2010 and August 2012. (fox2014) ""Study sites were selected based on historical participa- tion in other Novartis MS trials and in conjunction with a  feasibility  questionnaire  assessing  the  staff  experience with  MS  research.  Site  visits  were  made  to  ensure  that the  staff  was  experienced  with  the  MS  indication  and with  Good  Clinical  Practice/International  Conference on Harmonization guidelines. All sites received protocol
training."" (cascione2013)";NA;"likely no difference from SOC";" ";"likely no difference from SOC";NA;"likely no difference from SOC";4;"For the core study, visits occurred at screening, baseline, and weeks 1, 4, 12, and 24. Patients were considered to have completed the trial if they attended all study visits and completed all assessments. (fox2014)";5;"The primary study objective was to evaluate changes in
treatment satisfaction between baseline and month 6,as
measured by the Global Satisfaction subscale score on the TSQM v1.4 (fox2014)";5;"Analyses of primary and secondary outcomes were performed using the full analysis set, which comprised all randomized patients to whom study medication was assigned,
following the intent-to-treat principle.";"PragMS"
663;"Callesen, Jacob; Cattaneo, Davide; Brincks, John; Kjeldgaard Jorgensen, Marie-Louise; Dalgas, Ulrik";"10.1177/1352458519865740";"How do resistance training and balance and motor control training affect gait performance and fatigue impact in people with multiple sclerosis? A randomized controlled multi-center study.";"Julian";4;"the list is long, some of them may not be justified: The inclusion criteria were as follows: age > 18, confirmed diagnosis of MS, Expanded Disability Status Scale (EDSS): 2.06.5, Six Spot Step Test (SSST) score > 8 seconds or Timed 25-Foot Walk (T25FW) > 5 seconds, relapse-free within the past 8 weeks, and no adjustment of disease-modifying medication or medication that affects gait performance and spasticity within the past 8 weeks. Exclusion criteria were as follows: co-morbidity in terms of cognitive disorders or alcohol abuse (based on clinical judgment), pathologies that did not allow systematic PRT >1 session/week within the last 3 months. Eligibility according to criteria that concerned co-morbidity, disease activity, medication, and EDSS score was provided by neurologists based on journal records. Furthermore, it was registered if participants changed disease modifying medication and/ or started/terminated medical treatment affecting gait (e.g. fampridine) during the study. Patients who had a relapse during the course of the study continued the study if possible or dropped out if it was considered a health risk to continue.";4;"adverstisemenets were used: Participants were included from September 2016 to October 2018, after being invited via seven MS clinics (specified in Acknowledgements section) and targeted advertisements sent out via the Danish MS Society.";5;"muli-centered";5;"seems no additional efforts other intevrention-related: The exercises were conducted in machines that targeted the specified muscle groups, but type of machines could vary between centers. All training sessions were supervised by physiotherapists who were trained to deliver the intervention.";"5";"The content of BMCT was based on a framework that allowed individualized tailoring of exercises which challenge the generic understanding of standardization of exposure.";5;"adherence was measured but seems not on a regular base and detailed information ";4;"downgraded because of intensive assessments/tests";5;"Primary outcomes were the T25FW and the SSST";3;"17% dropouts, ITT used but no methods to adress missings was applied: Analyses were carried out as intention-to-treat, where all participants who completed the baseline assessment were included regardless of their adherence to the allocated intervention. Carry forward imputations were not used to replace missing data in the primary intention to treat analysis.";"PragMS"
663;"Callesen, Jacob; Cattaneo, Davide; Brincks, John; Kjeldgaard Jorgensen, Marie-Louise; Dalgas, Ulrik";"10.1177/1352458519865740";"How do resistance training and balance and motor control training affect gait performance and fatigue impact in people with multiple sclerosis? A randomized controlled multi-center study.";"Perrine";4;"downgrade bacause many but seem relevant";4;"Through MS centers but also advertisement hence the downgrade";5;"7 MS clinics";NA;"no information on resources needed who does what";"4";"detialled framework but seems like adapted to each patient";5;"measured but all included in analyses and no mitigation measured";NA;"unclear when where outcomes measured";4;"downgrade yes walking speed relevant but maybe not the most relevant";NA;"";"PragMS"
664;"Carter, A; Daley, A; Humphreys, L; Snowdon, N; Woodroofe, N; Petty, J; Roalfe, A; Tosh, J; Sharrack, B; Saxton, J M";"10.1177/1352458513519354";"Pragmatic intervention for increasing self-directed exercise behaviour and improving important health outcomes in people with multiple sclerosis: a randomised controlled trial.";"Julian";3;"The inclusion criteria for the trial were clinical diagnosis of MS, as defined by the
modified McDonald criteria,9 with an Expanded Disability Status Scale (EDSS) score of
1.06.5, and able to walk a 10-metre distance; aged 1865 years; clinically stable for at
least four weeks prior to entering the study; physically able to participate in exercise
three times per week; able to provide written informed consent. Participants on
disease-modifying therapy (interferon beta, glatiramer acetate and natalizumab) had
been stable on this treatment for at least three months. Exclusion criteria were
comorbid conditions impairing the ability to be physically active three times per week;
unwilling to be randomised; living more than 20 miles from the trial centre; already
engaged in structured exercise or brisk walking ? 3 times per week for ? 30 minutes
per session for at least six months.";3;"one center and adverts: A total of 120 PwMS were recruited via the Sheffield MS Clinic and flyers/community
adverts displayed at the local South Yorkshire MS Society branches.";4;"An exercise physiologist supervised the delivery of the intervention but with
physiotherapist input during the early stages of the programme. During weeks 16,
participants attended two supervised sessions per week at a university exercise
research facility and engaged in one additional self-directed exercise session in their
home environment.";NA;"No information about training of faviliattors: An exercise physiologist supervised the delivery of the intervention but with
physiotherapist input during the early stages of the programme.

The supervised exercise sessions incorporated cognitive-behavioural techniques (e.g.
goal setting, finding social support, understanding the costs/benefits of exercise, etc.)
to promote long-term participation in physical activity.";"";"-";4;"Adherence to the supervised and home-exercise sessions was very good, with
participants attending an average of 16.2 of the 18 supervised sessions (90%; range
718 sessions) and participating in an average of 14.6 of the 18 prescribed home-
exercise sessions (81%, range 218 sessions). Home exercise during the intervention
period comprised walking, use of home exercise equipment, public facilities (including
swimming) and gardening for the majority of participants. The volumes of supervised and home-based aerobic exercise are presented in Figure 2. No serious adverse
events or serious symptom exacerbations were recorded.";4;"Intensive assessments post-intervention and fu: Outcomes were assessed at baseline, and at three months (post-intervention) and nine
months after randomisation.";5;"The primary outcome was self-reported exercise
behaviour at three months using the Godin Leisure Time Exercise Questionnaire
(GLTEQ)";4;" ITT and <25% attrition WITH appropriate methods to address missing data (i.e. multiple
imputation, covariate adjustment): 4

All analyses were by intention to treat, whereby participants were analysed
in the arm to which they were randomised irrespective of whether they complied with
the intervention.
Multiple imputation of missing values was performed using the
imputation by chained equations (ICE) command in Stata 12. Variables included in the
imputation were age, gender, baseline EDSS, and baseline, three- and nine-month
follow-up scores for all outcomes. Five imputations were carried out and mixed-model
analysis was performed on each imputed dataset. T";"PragMS"
664;"Carter, A; Daley, A; Humphreys, L; Snowdon, N; Woodroofe, N; Petty, J; Roalfe, A; Tosh, J; Sharrack, B; Saxton, J M";"10.1177/1352458513519354";"Pragmatic intervention for increasing self-directed exercise behaviour and improving important health outcomes in people with multiple sclerosis: a randomised controlled trial.";"Vy";3;"18-65 y/o

comorbid conditions impairing the ability to be physically active three times per week <- for ease of study? Qualify to lower the rating?

exclude patients > 20 mi from clinic";4;"recruited via the Sheffield MS Clinic and flyers/community 
adverts displayed at the local South Yorkshire MS Society branches <- not via referrals from physicians";4;"at a university exercise reseach facility";5;"only physiologist and physiotherapist involved in exerise supervision";"5";"week 1-6: 2x/week supervised

week 7-12: 1x/week supervised";NA;"no measure of adherence mentioned

""Details of 
supervised and home-exercise sessions were recorded in an exercise log"" <- measure of adherence? ";5;"""at three months (post-intervention) and nine 
months after randomisation""

infrequent

""Daily movement and step 
counts were objectively assessed using an accelerometer...daily step count over a seven-day period were recorded."" <- no mention of when or how this data are collected";5;"primary outcome: exercise behavior, the frequency of strenuous, moderate and mild intensity exercise for periods >15 minutes over the past seven days";5;"all analyses ITT irrespective of whether they complied with 
the intervention";"PragMS"
