"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.513460017509654,0.698082010582011,0
"P1",0.168316831683168,0.919642857142857,0
"P2",0.0333253416446895,0.357142857142857,0
"P3",0,0.982142857142857,0
"P4",0.137577002053388,0.598214285714286,0
"P5",0.601581027667984,0.919642857142857,0
"P6",0.237623762376238,0.803571428571429,0
"P7",0.0137825421133232,0.383928571428571,0
"P8",0.470098410295231,0.776785714285714,0
"P9",0.332936271590232,0.821428571428571,0
"P10",0.517835178351784,0.75,0
"P11",0.162576687116565,0.651785714285714,0
"P12",0.181506338553318,0.5625,0
"P13",0.629807692307692,0.803571428571429,0
"P14",0.370404132482528,0.669642857142857,0
"P15",0.179598480737927,0.517857142857143,0
"P16",0.251758087201125,0.830357142857143,0
"P17",0.437271619975639,0.705357142857143,0
"P18",0.232398753894081,0.705357142857143,0
"P19",0.21478648820905,0.508928571428571,0
"P20",0.327678454913219,0.589285714285714,0
"P21",0.38806851742469,0.669642857142857,0
"P22",0.0688836104513064,0.5,0
"P23",0.212435233160622,0.830357142857143,0
"P24",0.0963040083289953,0.723214285714286,0
"P25",0.156792144026187,0.589285714285714,0
"P26",-0.0499999999999998,0.892857142857143,0
"P27",0.319493670886076,0.785714285714286,0
