"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.433353211626878,0.393548706801705,0.468557187405332,0.652116402116402,0.626331152470504,0.674603174603175,0,0,0
"P1",-0.0120481927710843,NA,NA,0.973214285714286,NA,NA,0,NA,NA
"P2",0.0580204778156995,NA,NA,0.383928571428571,NA,NA,0,NA,NA
"P3",0,NA,NA,0.991071428571429,NA,NA,0,NA,NA
"P4",0.0743801652892563,NA,NA,0.571428571428571,NA,NA,0,NA,NA
"P5",0.48780487804878,NA,NA,0.892857142857143,NA,NA,0,NA,NA
"P6",0.0869565217391305,NA,NA,0.758928571428571,NA,NA,0,NA,NA
"P7",0.0251740760578468,NA,NA,0.419642857142857,NA,NA,0,NA,NA
"P8",0.483870967741935,NA,NA,0.785714285714286,NA,NA,0,NA,NA
"P9",0.135691318327974,NA,NA,0.785714285714286,NA,NA,0,NA,NA
"P10",0.503363914373089,NA,NA,0.741071428571429,NA,NA,0,NA,NA
"P11",0.146341463414634,NA,NA,0.642857142857143,NA,NA,0,NA,NA
"P12",0.188405797101449,NA,NA,0.571428571428571,NA,NA,0,NA,NA
"P13",0.609075043630018,NA,NA,0.785714285714286,NA,NA,0,NA,NA
"P14",0.370600414078675,NA,NA,0.660714285714286,NA,NA,0,NA,NA
"P15",-0.000392618767177222,NA,NA,0.1875,NA,NA,0,NA,NA
"P16",0.109243697478992,NA,NA,0.526785714285714,NA,NA,0,NA,NA
"P17",0.452322738386308,NA,NA,0.714285714285714,NA,NA,0,NA,NA
"P18",0.275227502527806,NA,NA,0.714285714285714,NA,NA,0,NA,NA
"P19",0.17195666029318,NA,NA,0.482142857142857,NA,NA,0,NA,NA
"P20",0.448204330351355,NA,NA,0.660714285714286,NA,NA,0,NA,NA
"P21",0.380073800738007,NA,NA,0.651785714285714,NA,NA,0,NA,NA
"P22",0.0299670881690628,NA,NA,0.107142857142857,NA,NA,0,NA,NA
"P23",0.0724637681159421,NA,NA,0.5,NA,NA,0,NA,NA
"P24",0.0418250950570342,NA,NA,0.758928571428571,NA,NA,0,NA,NA
"P25",0.220798242402051,NA,NA,0.660714285714286,NA,NA,0,NA,NA
"P26",-0.0161290322580645,NA,NA,0.919642857142857,NA,NA,0,NA,NA
"P27",0.30958904109589,NA,NA,0.758928571428571,NA,NA,0,NA,NA
