"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.657283752884524,0.785714285714286,0
"A1",0.245918195589968,0.642857142857143,0
"A2",0.494280553883203,0.732142857142857,0
"A3",0.18018018018018,0.883928571428571,0
"A4",0.155354449472096,0.821428571428571,0
"A5",0.351208209202251,0.6875,0
"A6",0.60377358490566,0.946428571428571,0
"A7",0.722176285761535,0.866071428571429,0
"A8",0.428228228228228,0.696428571428571,0
"A9",0.617000488519785,0.8125,0
"A10",0.375196681447575,0.651785714285714,0
"A11",0.433563218390804,0.901785714285714,0
