"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.521131022603311,0.482517930120048,0.554631602997006,0.703042328042328,0.680555555555556,0.724197948058596,0,0,0
"P1",0.0624048706240485,NA,NA,0.901785714285714,NA,NA,0,NA,NA
"P2",0.0330569124162218,NA,NA,0.321428571428571,NA,NA,0,NA,NA
"P3",0,NA,NA,0.982142857142857,NA,NA,0,NA,NA
"P4",0.0518731988472623,NA,NA,0.580357142857143,NA,NA,0,NA,NA
"P5",0.677764077270859,NA,NA,0.9375,NA,NA,0,NA,NA
"P6",0.273775216138328,NA,NA,0.839285714285714,NA,NA,0,NA,NA
"P7",0.0346069728547537,NA,NA,0.401785714285714,NA,NA,0,NA,NA
"P8",0.476928824957968,NA,NA,0.776785714285714,NA,NA,0,NA,NA
"P9",0.3658383139352,NA,NA,0.839285714285714,NA,NA,0,NA,NA
"P10",0.516795069337442,NA,NA,0.75,NA,NA,0,NA,NA
"P11",0.238235294117647,NA,NA,0.669642857142857,NA,NA,0,NA,NA
"P12",0.221164021164021,NA,NA,0.589285714285714,NA,NA,0,NA,NA
"P13",0.680384499849805,NA,NA,0.830357142857143,NA,NA,0,NA,NA
"P14",0.345813988318107,NA,NA,0.651785714285714,NA,NA,0,NA,NA
"P15",0.212121212121212,NA,NA,0.535714285714286,NA,NA,0,NA,NA
"P16",0.178602243313201,NA,NA,0.848214285714286,NA,NA,0,NA,NA
"P17",0.404255319148936,NA,NA,0.6875,NA,NA,0,NA,NA
"P18",0.198990323937737,NA,NA,0.696428571428571,NA,NA,0,NA,NA
"P19",0.1492964761549,NA,NA,0.455357142857143,NA,NA,0,NA,NA
"P20",0.396551724137931,NA,NA,0.642857142857143,NA,NA,0,NA,NA
"P21",0.467617349970291,NA,NA,0.714285714285714,NA,NA,0,NA,NA
"P22",0.0550621669626998,NA,NA,0.491071428571429,NA,NA,0,NA,NA
"P23",0.180154534363562,NA,NA,0.839285714285714,NA,NA,0,NA,NA
"P24",0.00591715976331353,NA,NA,0.705357142857143,NA,NA,0,NA,NA
"P25",0.266775777414075,NA,NA,0.642857142857143,NA,NA,0,NA,NA
"P26",-0.0499999999999998,NA,NA,0.892857142857143,NA,NA,0,NA,NA
"P27",0.288972490007054,NA,NA,0.758928571428571,NA,NA,0,NA,NA
