publication_id,quote,best_match_source,best_match,similarity
100,We performed a systematic review and meta-analysis to determine the influence of surgeon subspecialty on outcomes following appendicectomy in children.,fulltext,"We performed a systematic
review and meta-analysis to determine the influence of surgeon
subspecialty on outcomes following appendicectomy in chil-
dren",98.01324503311258
100,Two authors searched Medline and Embase to identify relevant studies.,fulltext,Two authors searched Medline and Embase to identify relevant studies.,100.0
100,Two authors (DD and DH) independently extracted data from eligible studies.,fulltext,Two authors (DD and DH) independently extracted data from eligible studies.,100.0
100,"Two authors searched Medline and Embase up to June 24, 2015.",fulltext,Two authors searched Medline and Embase ,66.66666666666667
100,Systematic Review and Meta-Analysis,fulltext,Systematic Review and Meta-Analysis,100.0
100,Two authors independently extracted data using an electronic spreadsheet.,fulltext,"Two authors (DD and DH) independently extracted data
from eligible studies using an electronic spreadsheet",98.63013698630137
100,Pooled risk ratios and pooled mean differences were used.,fulltext,Pooled risk ratios and pooled mean differences were used.,100.0
101,"In December 2014, a comprehensive literature search was performed using Ovid MEDLINE (1946–present) and Embase (1974–present) using the OvidSP interfaces.",fulltext,"In December 2014, a comprehensive literature search was performed using Ovid MEDLINE (1946–present) and Embase (1974–present) using the OvidSP interfaces.",100.0
101,Citations of retrieved results were manually reviewed for relevance to the topic by two independent reviewers.,fulltext,"Citations
of retrieved results were manually reviewed for relevance to
the topic of IA by two independent reviewers",97.27272727272728
101,"In December 2014, a comprehensive literature search was performed using Ovid MEDLINE (1946–present) and Embase (1974–present) using the OvidSP interfaces. The terms ‘‘Incidental appendectomy’’ and ‘‘Prophylactic appendectomy’’ returned 315 and 74 results, respectively.",fulltext,"In December 2014, a comprehensive literature search was
performed using Ovid MEDLINE (1946–present) and
Embase (1974–present) using the OvidSP interfaces. The
terms ‘‘Incidental appendectomy’’ and ‘‘Prophylactic appen-
dectomy’’ returned 315 and 74 results, respectively",98.51301115241635
101,"To review the available literature for techniques, pathology, risks of appendectomy, utility of the appendix, and IA in the treatment of specific pediatric medical conditions.",fulltext,"To review the available literature for techniques, pathol-
ogy, risks of appendectomy, utility of the appendix, and IA
in the treatment of specific pediatric medical conditions",98.85714285714286
102,"The authors conducted a systematic review of the pediatric and adult literature about MIA, focusing on the technique and indications.",fulltext,"The authors conducted a systematic review of the pediatric and adult literature about MIA, focusing on the technique and indications.",100.0
102,Review article,fulltext,Review article,100.0
103,We conducted this meta-analysis in accordance with the Preferred Reporting Items for Systematic Reviews and Meta-Analyses [10].,fulltext,"We conducted this meta-analysis in accordance
with the Preferred Reporting Items for

Laparoscopic versus open pyeloplasty in ureteropelvic junction obstruction
4923 Int J Clin Exp Med 2015;8(4):4922-4931
Systematic Reviews and Meta-Analyses [10",97.63779527559055
103,"Data abstraction was carried out independently by two authors (Yidong Huang, Yang Wu) according to the meta-analysis of observational studies in epidemiology guidelines [11] and disagreements were consulted with the third one (Lugang Huang).",fulltext,".
according to the meta-analy-
sis of observational studies in
epidemiology guidelines [11]
and disagreements were con-
sulted with the third one
(Lugang Huang",62.24066390041494
103,"PUBMED, Web of science and Cochrane library were searched until Oct. 2014 to identify eligible studies, using the following words: “hydronephrosis OR ureteropelvic junction obstruction OR pelvi-ureteric junction obstruction OR ureteral obstruction”, “pyeloplasty”, “young OR children OR child OR kids OR pediatrics” and “laparoscopic”.",fulltext,"PUBMED, Web of science and
Cochrane library was carried out between Jan.
1966 and Oct. 2014 to identify eligible studies,
using the following words: “hydronephrosis OR
ureteropelvic junction obstruction OR pelvi-ure-
teric junction obstruction OR ureteral obstruc-
tion”, “pyeloplasty”, “young OR children OR
child OR kids OR pediatrics” and “laparoscop-
ic",95.22388059701493
103,To further explore the feasibility and safety of laparoscopic pyeloplasty (LP) in children with ureteropelvic junction obstruction compared with open pyeloplasty (OP).,fulltext,To further explore the feasibility and safety of laparoscopic pyeloplasty (LP) in children with ureteropelvic junction obstruction compared with open pyeloplasty (OP).,100.0
104,"The search involved finding relevant studies from MEDLINE, EMBASE, the Cochrane Central Register of Controlled Trials, CINAHL, Google Scholar and individual urological journals between January 1990 and March 2014.",fulltext,"The search involved finding relevant studies from MEDLINE, EMBASE, the Cochrane Central Register of Controlled Trials, CINAHL, Google Scholar and individual urological journals between January 1990 and March 2014.",100.0
104,"The search terms included the following: ‘ureteroscopy’, ‘flexible ureteroscopy’, ‘pediatric(s)’, ‘paediatric(s)’, ‘children’, ‘renal’, ‘calculi’, ‘stone(s)’, ‘urolithiasis’, ‘laser’, ‘laser therapy’ and ‘lithotripsy’.",fulltext,"The search terms included the following: ‘uretero-
scopy’, ‘flexible ureteroscopy’, ‘pediatric(s)’, ‘paediat-
ric(s)’, ‘children’, ‘renal’, ‘calculi’, ‘stone(s)’,
‘urolithiasis’, ‘laser’, ‘laser therapy’ and ‘lithotripsy",98.62385321100918
104,The inclusion criteria were for studies written in the English language...,fulltext,The inclusion criteria were for studies written in the English language...,100.0
104,REVIEW ARTICLE Flexible ureteroscopy and lasertripsy (FURSL) for paediatric renal calculi: Results from a systematic review,fulltext,REVIEW ARTICLE Flexible ureteroscopy and lasertripsy (FURSL) for paediatric renal calculi: Results from a systematic review,100.0
105,This review was conducted in accordance with the systematic review guidelines provided by the Cochrane Collaboration and Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) checklist.,fulltext,This review was conducted in accordance with the systematic review guidelines provided by the Cochrane Collaboration and Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) checklist.,100.0
105,Two reviewers independently extracted the data from each study.,fulltext,Two reviewers independently extracted the data from each study.,100.0
105,"The search involved finding relevant studies from MEDLINE, EMBASE, the Cochrane Central Register of Controlled Trials, CINAHL, Google Scholar and individual urological journals, published between January 1990 and May 2013.",fulltext,"The search involved finding relevant studies from MEDLINE, EMBASE, the Cochrane Central Register of Controlled Trials, CINAHL, Google Scholar and individual urological journals, published between January 1990 and May 2013.",100.0
105,"In total, 14 studies (1718 procedures) were reported in patients with a mean (range) age of 7.8 (0.25-18.0) years.",fulltext," total of 14 studies (1718 procedures)
were reported in patients with a mean (range) age of 7.8
(0.25–18.0) years",93.85964912280701
105,This systematic review looks at the worldwide literature on the outcomes of ureteroscopic management of stone disease in the paediatric population.,fulltext,This systematic review looks at the worldwide literature on the outcomes of ureteroscopic management of stone disease in the paediatric population.,100.0
106,The research question and inclusion criteria should be established before the conduct of the review.,prompt,The research question and inclusion criteria should be established before the conduct of the review.,100.0
106,There should be at least two independent data extractors and a consensus procedure for disagreements should be in place.,prompt,There should be at least two independent data extractors and a consensus procedure for disagreements should be in place.,100.0
106,At least two electronic sources should be searched.,prompt,At least two electronic sources should be searched.,100.0
106,"If review indicates that there was a search for “grey literature” or “unpublished literature,” indicate “yes.”",prompt,"If review indicates that there was a search for “grey literature” or “unpublished literature,” indicate “yes.”",100.0
106,A list of included and excluded studies should be provided.,prompt,A list of included and excluded studies should be provided.,100.0
106,"In an aggregated form such as a table, data from the original studies should be provided on the participants, interventions and outcomes.",prompt,"In an aggregated form such as a table, data from the original studies should be provided on the participants, interventions and outcomes.",100.0
106,"‘A priori’ methods of assessment should be provided (e.g., for effectiveness studies if the author(s) chose to include only randomized, double-blind, placebo controlled studies, or allocation concealment as inclusion criteria)",prompt,"‘A priori’ methods of assessment should be provided (e.g., for effectiveness studies if the author(s) chose to include only randomized, double-blind, placebo controlled studies, or allocation concealment as inclusion criteria)",100.0
