publication_id,quote,best_match_source,best_match,similarity
100,This systematic article was conducted according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines.,fulltext,"This systematic article was conducted according to the
Preferred Reporting Items for Systematic Reviews and Meta-
Analyses guidelines",98.49624060150376
100,"Two authors searched Medline and Embase to identify relevant studies."" ""Two authors (DD and DH) independently extracted data from eligible studies using an electronic spreadsheet.",fulltext,"4).
Two authors (DD and DH) independently extracted data
from eligible studies using an electronic spreadsheet",59.21787709497206
100,"Two authors searched Medline and Embase up to June 24, 2015 using the following search strategy ‘‘([paediatric surgery OR pediatric surgery OR pediatric surgeon OR paediatric surgeon] AND (appendectomy OR appendicectomy)].’’"" ""All searches should be supplemented by consulting current contents, reviews, textbooks, specialized registers, or experts in the particular field of study, and by reviewing the references in the studies found.",fulltext,"2 authors (DD and MM) independently searched Medline and
EMBASE up to June 24, 2015 using the following search strategy
‘‘([paediatric surgery OR pediatric surgery OR pediatric surgeon
OR paediatric surgeon] AND (appendectomy OR appendicect-
omy)].’’ The search terms were inputted as free text. Titles and
abstracts were examined initially and then full manuscripts were
obtained to finalize eligibility. The reference lists of eligible
studies w",70.64220183486239
100,Table 1 and results from the studies are provided in Table 2.,fulltext,Table 1 and results from the studies are provided in Table 2.,100.0
100,Study quality was assessed using the Downs and Black tool.,fulltext,Study quality was assessed using the Downs and Black tool.,100.0
100,"Despite this, our findings must be interpreted with caution as our article is based entirely upon observational data.",fulltext,"Despite this, our find-
ings must be interpreted with caution as our article is based
entirely upon observational data",98.29059829059828
100,"We used Mantel Haenszel random effects models."" ""Statistical heterogeneity was assessed using the I2 statistic.",fulltext,"We used Mantel Haenszel random effects models.
The potential for publication bias was evaluated by visually
inspecting funnel plots. Statistical heterogeneity was assessed
using the I 
2 
statistic",96.3963963963964
100,Systematic Review and Meta-Analysis on the Influence of Surgeon Specialization on Outcomes Following Appendicectomy in Children,fulltext,Systematic Review and Meta-Analysis on the Influence of Surgeon Specialization on Outcomes Following Appendicectomy in Children,100.0
100,An expanding body of evidence suggests that surgeon subspecialization affects outcomes; studies found that colorectal surgery subspecialization and orthopedic surgery subspecialization lead to improved results and that outcomes from a variety of cancers are improved with subspecialization.,fulltext,"An expanding body of evidence suggests that surgeon
subspecialization affects outcomes; studies found that color-
ectal surgery subspecialization 
4 
and orthopedic surgery sub-
specialization 
5 
lead to improved results and that outcomes from
a variety of cancers are improved with subspecialization",98.9655172413793
100,The aim of this study is to assess the influence of surgeon specialty on outcomes following appendicectomy in children.,fulltext,"The aim of this study is to assess the influence of surgeon
specialization on outcomes following appendicectomy in children",97.47899159663865
