"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.809304118393121,0.888227513227513,0
"P1",0.141104294478528,0.910714285714286,0
"P2",0.865168539325843,0.973214285714286,0
"P3",0.662650602409639,0.991071428571429,0
"P4",0.713114754098361,0.955357142857143,0
"P5",0.887700534759358,0.973214285714286,0
"P6",0.838150289017341,0.955357142857143,0
"P7",0.84631217838765,0.928571428571429,0
"P8",0.829383886255924,0.919642857142857,0
"P9",0.545331529093369,0.946428571428571,0
"P10",0.869594145043247,0.9375,0
"P11",0.964467005076142,0.991071428571429,0
"P12",0.870498843739676,0.9375,0
"P13",0.857466063348416,0.919642857142857,0
"P14",0.90104550139891,0.946428571428571,0
"P15",0.327701200533571,0.517857142857143,0
"P16",0.319502074688797,0.633928571428571,0
"P17",0.977473853580048,0.991071428571429,0
"P18",0.94033031433138,0.982142857142857,0
"P19",0.842530755711775,0.928571428571429,0
"P20",0.871706758304696,0.928571428571429,0
"P21",0.936687394007914,0.964285714285714,0
"P22",0.323943661971831,0.517857142857143,0
"P23",0.328958630527817,0.625,0
"P24",0.721946375372393,0.910714285714286,0
"P25",0.673891944354578,0.839285714285714,0
"P26",-0.0144927536231882,0.955357142857143,0
"P27",0.757671125098348,0.901785714285714,0
