"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.593993104483846,0.75359066427289,0.263227513227513
"P1",0.0666666666666667,0.916666666666667,0.0357142857142857
"P2",-0.022644265887509,0.107142857142857,0.25
"P3",-0.0275229357798163,0.981651376146789,0.0267857142857143
"P4",0.150800336983993,0.865671641791045,0.401785714285714
"P5",0.581047381546135,0.9375,0.142857142857143
"P6",0.416666666666667,0.893617021276596,0.160714285714286
"P7",0.0305094366397046,0.371134020618557,0.133928571428571
"P8",0.473684210526316,0.785714285714286,0.375
"P9",0.653518948182521,0.950617283950617,0.276785714285714
"P10",0.827160493827161,0.916666666666667,0.464285714285714
"P11",0.416666666666667,0.788461538461538,0.535714285714286
"P12",0.376478775226166,0.724137931034483,0.482142857142857
"P13",0.855390574564235,0.924528301886792,0.526785714285714
"P14",0.125499904780042,0.539325842696629,0.205357142857143
"P15",0.0365591397849462,0.483870967741935,0.169642857142857
"P16",0.116504854368932,0.87378640776699,0.0803571428571429
"P17",0.821868787276342,0.938461538461538,0.419642857142857
"P18",0.666335650446872,0.926829268292683,0.267857142857143
"P19",0.466412577417818,0.75,0.642857142857143
"P20",0.590368790003048,0.777777777777778,0.517857142857143
"P21",0.173678963110668,0.564705882352941,0.241071428571429
"P22",-0.00127713920817363,0.481481481481481,0.0357142857142857
"P23",0.0546176762661371,0.839622641509434,0.0535714285714286
"P24",-0.0729550478997789,0.745098039215686,0.0892857142857143
"P25",0.214619634509137,0.625,0.214285714285714
"P26",-0.0566037735849056,0.962264150943396,0.0535714285714286
"P27",0.388646288209607,0.807692307692308,0.303571428571429
