"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.390597416373073,0.629058441558442,0
"A1",0.0726915520628685,0.473214285714286,0
"A2",0.312567132116004,0.642857142857143,0
"A3",0.115613825983313,0.526785714285714,0
"A4",0.298969072164949,0.696428571428571,0
"A5",0.14471172203131,0.642857142857143,0
"A6",0.437442922374429,0.901785714285714,0
"A7",0.496402877697842,0.732142857142857,0
"A8",0.0332080836803087,0.241071428571429,0
"A9",0.401161014359914,0.6875,0
"A10",0.174380664652568,0.455357142857143,0
"A11",0.214953271028037,0.919642857142857,0
