"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.899413684103192,0.938498131158682,0
"P1",0.662538699690402,0.990825688073395,0
"P2",0.890010090817356,0.981651376146789,0
"P3",NA,1,0
"P4",0.84733893557423,0.981651376146789,0
"P5",0.669553919445647,0.935779816513762,0
"P6",0.837676842889054,0.963302752293578,0
"P7",0.738106679481019,0.954128440366973,0
"P8",0.76677689165532,0.899082568807339,0
"P9",0.779946164199192,0.917431192660551,0
"P10",0.843165467625899,0.926605504587156,0
"P11",0.707627829002515,0.853211009174312,0
"P12",0.691218130311615,0.853211009174312,0
"P13",0.684286748732802,0.81651376146789,0
"P14",0.796261682242991,0.990825688073395,0
"P15",0.740476190476191,0.981651376146789,0
"P16",0.852503382949932,0.990825688073395,0
"P17",0.666739462764796,0.871559633027523,0
"P18",0.706564506108925,0.880733944954128,0
"P19",0.714238898902179,0.853211009174312,0
"P20",0.691305579156047,0.908256880733945,0
"P21",1,1,0
"P22",0.740476190476191,0.981651376146789,0
"P23",0.852503382949932,0.990825688073395,0
"P24",0.823624595469256,0.981651376146789,0
"P25",0.59053343350864,0.908256880733945,0
"P26",1,1,0
"P27",0.828346456692913,0.926605504587156,0
