"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.407015032211883,0.63846415222562,0
"P1",-0.0167910447761195,0.908256880733945,0
"P2",-0.0220138605788829,0.155963302752294,0
"P3",0,0.981651376146789,0
"P4",-0.0851769911504425,0.834862385321101,0
"P5",0.0991735537190082,0.81651376146789,0
"P6",0.178767123287671,0.798165137614679,0
"P7",0.023010033444816,0.385321100917431,0
"P8",0.116433308769344,0.596330275229358,0
"P9",0.107120352867045,0.761467889908257,0
"P10",0.234281700035125,0.63302752293578,0
"P11",0.0680916030534351,0.486238532110092,0
"P12",0.162397540983607,0.587155963302752,0
"P13",0.224960156920436,0.467889908256881,0
"P14",-0.0369430791184397,0.44954128440367,0
"P15",-0.0385816932208682,0.440366972477064,0
"P16",-0.0447284345047922,0.834862385321101,0
"P17",0.138339920948617,0.669724770642202,0
"P18",0.297277936962751,0.752293577981651,0
"P19",0.188297872340426,0.614678899082569,0
"P20",0.0923187365398421,0.467889908256881,0
"P21",-0.0203077899412978,0.458715596330275,0
"P22",-0.0399417852522639,0.458715596330275,0
"P23",-0.045335658238884,0.798165137614679,0
"P24",-0.0257214554579672,0.724770642201835,0
"P25",0.10041265474553,0.559633027522936,0
"P26",-0.0148975791433892,0.954128440366973,0
"P27",0.111598746081505,0.642201834862385,0
