"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11"
"100","1","1","1","0","0","1","1","0","1","1","NA"
"101","0","0","0","0","0","0","0","0","NA","NA","0"
"102","1","0","1","0","0","0","0","0","NA","NA","0"
"103","1","1","1","deferred","deferred","1","0","0","1","deferred","deferred"
"104","1","0","1","NA","NA","1","0","0","NA","NA","1"
"105","1","1","1","NA","deferred","1","NA","NA","NA","NA","1"
"106","1","NA","1","NA","1","1","1","1","deferred","deferred","1"
"107","1","1","1","NA","NA","1","1","NA","1","NA","1"
"108","1","deferred","1","deferred","1","1","1","deferred","1","deferred","NA"
"109","1","1","1","NA","1","1","NA","NA","1","NA","deferred"
"110","1","1","1","0","1","1","0","NA","1","NA","NA"
"111","0","0","0","0","0","0","0","0","NA","NA","0"
"112","1","deferred","1","0","0","deferred","0","0","1","0","deferred"
"113","1","NA","1","NA","NA","0","1","1","NA","NA","NA"
"114","1","0","1","deferred","1","deferred","1","deferred","deferred","deferred","1"
"115","deferred","deferred","1","deferred","deferred","1","1","deferred","1","1","deferred"
"116","1","1","1","0","1","1","1","1","0","0","1"
"117","deferred","0","1","deferred","deferred","1","deferred","deferred","deferred","NA","deferred"
"118","1","1","1","deferred","1","1","1","deferred","1","1","deferred"
"119","1","1","1","0","1","1","0","NA","deferred","deferred","NA"
"120","1","1","1","0","0","1","1","0","1","1","0"
"121","1","1","1","0","1","1","1","0","1","1","1"
"122","1","1","1","1","1","1","1","1","1","1","1"
"123","1","1","1","deferred","deferred","1","0","deferred","deferred","NA","deferred"
"124","1","deferred","1","0","1","1","1","1","NA","deferred","NA"
"125","1","0","1","deferred","deferred","1","1","1","NA","NA","1"
"126","1","NA","1","NA","1","1","NA","NA","1","1","1"
"127","1","0","1","NA","1","1","1","NA","NA","NA","1"
"128","1","0","deferred","0","0","1","0","0","NA","NA","0"
"129","1","1","1","0","1","1","1","1","0","NA","1"
"130","1","0","deferred","0","0","deferred","deferred","0","NA","NA","NA"
"131","1","1","1","NA","NA","1","1","1","NA","NA","1"
"132","1","0","1","0","0","1","0","0","NA","NA","0"
"133","1","0","deferred","deferred","0","0","0","0","NA","NA","deferred"
"134","1","1","1","0","0","1","0","0","0","0","1"
"135","1","0","1","NA","NA","1","0","deferred","NA","NA","NA"
"136","1","0","deferred","0","deferred","1","0","0","NA","NA","1"
"137","1","deferred","1","NA","deferred","1","1","1","1","NA","NA"
"138","1","1","1","NA","0","1","1","1","1","NA","NA"
"139","1","0","1","0","0","1","0","0","NA","NA","NA"
"140","1","0","1","0","0","1","0","0","NA","NA","NA"
"141","1","0","1","0","0","1","0","0","NA","NA","NA"
"142","1","NA","1","NA","NA","1","1","1","NA","1","NA"
"143","1","0","1","deferred","deferred","deferred","deferred","deferred","1","NA","deferred"
"144","1","1","1","deferred","1","1","deferred","1","deferred","NA","1"
"145","1","0","1","1","0","1","0","1","NA","NA","0"
"146","1","1","1","0","1","1","1","deferred","1","0","0"
"147","1","1","1","deferred","1","1","1","deferred","1","NA","NA"
"148","1","1","1","0","0","1","1","deferred","deferred","deferred","1"
"149","1","0","1","1","deferred","1","0","deferred","deferred","NA","NA"
"150","1","0","1","NA","1","1","1","1","1","0","1"
"151","1","1","1","deferred","deferred","1","deferred","deferred","1","deferred","NA"
"152","1","1","1","NA","1","1","1","NA","deferred","NA","deferred"
"153","1","1","1","0","1","1","1","0","1","0","0"
"154","1","deferred","1","0","deferred","1","1","1","NA","NA","1"
"155","1","1","1","0","deferred","1","1","0","1","0","deferred"
"156","1","1","1","NA","deferred","1","0","deferred","deferred","NA","1"
"157","1","1","1","0","0","0","NA","0","NA","NA","NA"
"158","1","deferred","1","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"159","1","0","1","NA","NA","1","1","deferred","NA","NA","1"
"160","1","1","1","1","0","0","0","1","NA","NA","1"
"161","1","1","1","0","1","1","deferred","deferred","deferred","1","deferred"
"162","1","1","1","NA","0","deferred","1","deferred","NA","NA","1"
"163","1","NA","1","NA","1","1","deferred","NA","NA","NA","1"
"164","1","deferred","1","NA","1","1","deferred","NA","1","1","1"
"165","1","0","1","0","0","1","0","0","NA","NA","NA"
"166","1","1","1","0","0","1","1","deferred","1","1","NA"
"167","1","1","1","0","1","1","1","0","1","0","0"
"168","1","NA","1","NA","1","1","NA","NA","NA","NA","NA"
"169","1","1","1","0","0","1","1","0","1","1","0"
"170","1","0","1","NA","1","1","1","1","NA","NA","NA"
"171","1","1","1","deferred","1","1","deferred","deferred","1","deferred","deferred"
"172","1","1","1","NA","1","1","0","0","NA","NA","1"
"61","1","deferred","1","1","deferred","1","1","1","0","NA","deferred"
"62","1","NA","1","NA","1","1","1","1","0","NA","NA"
"63","1","deferred","1","NA","NA","1","deferred","deferred","NA","NA","NA"
"64","1","1","1","NA","1","1","1","1","1","NA","1"
"65","1","1","1","0","deferred","0","1","0","deferred","0","NA"
"66","1","NA","1","NA","0","1","1","NA","1","NA","NA"
"67","1","0","1","0","0","1","0","deferred","NA","deferred","1"
"68","1","1","1","deferred","1","1","1","deferred","deferred","deferred","deferred"
"69","1","NA","1","NA","1","1","0","0","NA","NA","NA"
"70","1","0","1","0","0","1","1","0","NA","NA","1"
"71","1","deferred","1","NA","1","1","deferred","deferred","1","1","deferred"
"72","1","0","1","NA","0","1","0","0","NA","NA","NA"
"73","1","0","1","0","deferred","deferred","deferred","0","NA","NA","NA"
"74","1","0","1","0","1","deferred","deferred","0","deferred","0","0"
"75","1","1","1","0","1","deferred","1","1","NA","deferred","0"
"76","1","deferred","1","NA","deferred","1","1","1","1","1","NA"
"77","1","1","1","0","0","1","0","0","1","0","1"
"78","1","1","1","NA","1","1","0","0","1","NA","NA"
"79","1","1","1","0","1","1","0","0","NA","NA","NA"
"80","1","1","1","0","0","1","1","deferred","NA","NA","deferred"
"81","1","1","1","deferred","1","1","1","deferred","1","1","1"
"82","1","1","1","NA","1","1","1","1","1","1","deferred"
"83","1","1","1","0","1","1","1","0","0","0","1"
"84","1","0","1","NA","1","1","1","1","1","1","NA"
"85","1","0","0","0","0","0","1","0","NA","NA","deferred"
"86","1","0","1","0","0","0","0","0","NA","NA","1"
"87","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA"
"88","1","1","1","0","1","1","1","1","NA","1","NA"
"89","1","1","1","NA","deferred","1","deferred","deferred","deferred","NA","deferred"
"90","1","1","1","0","0","1","0","0","NA","0","0"
"91","1","1","1","0","1","1","0","0","NA","NA","0"
"92","1","0","1","0","0","1","0","0","NA","NA","NA"
"93","1","1","1","NA","1","1","0","0","NA","NA","1"
"94","0","1","1","0","0","1","0","0","NA","NA","0"
"95","1","0","1","NA","1","1","0","1","0","NA","1"
"96","1","0","deferred","0","0","deferred","0","0","deferred","deferred","1"
