"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.906558890841899,0.947712418300654,0.379058441558442
"A1",0.938931297709924,0.978723404255319,0.580357142857143
"A2",0.831325301204819,0.914634146341463,0.267857142857143
"A3",0.868903628560281,0.930232558139535,0.616071428571429
"A4",0.895131086142322,0.975308641975309,0.276785714285714
"A5",0.856133590237636,0.974683544303797,0.294642857142857
"A6",0.936723163841808,0.989473684210526,0.151785714285714
"A7",0.927710843373494,0.962025316455696,0.294642857142857
"A8",0.932773109243697,0.964285714285714,0.75
"A9",0.957559681697613,0.978021978021978,0.1875
"A10",0.429299363057325,0.578947368421053,0.660714285714286
"A11",0.450980392156863,0.980392156862745,0.0892857142857143
