"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.904363014877196,0.88963028977543,0.917767273777475,0.944630872483222,0.934550736824994,0.953614436902857,0.0897289041618939,0.0694921725849561,0.113382661267044
"P1",1,NA,NA,1,NA,NA,0.0927835051546392,NA,NA
"P2",1,NA,NA,1,NA,NA,0.0103092783505155,NA,NA
"P3",1,NA,NA,1,NA,NA,0.0103092783505155,NA,NA
"P4",1,NA,NA,1,NA,NA,0.0412371134020619,NA,NA
"P5",1,NA,NA,1,NA,NA,0.0309278350515464,NA,NA
"P6",1,NA,NA,1,NA,NA,0.0721649484536082,NA,NA
"P7",1,NA,NA,1,NA,NA,0.0721649484536082,NA,NA
"P8",1,NA,NA,1,NA,NA,0.164948453608247,NA,NA
"P9",1,NA,NA,1,NA,NA,0.0618556701030928,NA,NA
"P10",1,NA,NA,1,NA,NA,0.11340206185567,NA,NA
"P11",1,NA,NA,1,NA,NA,0.0309278350515464,NA,NA
"P12",1,NA,NA,1,NA,NA,0.0412371134020619,NA,NA
"P13",0.882991556091677,NA,NA,0.935064935064935,NA,NA,0.206185567010309,NA,NA
"P14",1,NA,NA,1,NA,NA,0.0721649484536082,NA,NA
"P15",0.35707002039429,NA,NA,0.541176470588235,NA,NA,0.123711340206186,NA,NA
"P16",0.458100558659218,NA,NA,0.74025974025974,NA,NA,0.206185567010309,NA,NA
"P17",1,NA,NA,1,NA,NA,0.0309278350515464,NA,NA
"P18",1,NA,NA,1,NA,NA,0.0515463917525773,NA,NA
"P19",1,NA,NA,1,NA,NA,0.0515463917525773,NA,NA
"P20",0.886203660253402,NA,NA,0.936708860759494,NA,NA,0.185567010309278,NA,NA
"P21",0.962699480869064,NA,NA,0.978947368421053,NA,NA,0.0206185567010309,NA,NA
"P22",0.357403113613779,NA,NA,0.545454545454545,NA,NA,0.0927835051546392,NA,NA
"P23",0.52425068119891,NA,NA,0.766233766233766,NA,NA,0.206185567010309,NA,NA
"P24",0.913547237076649,NA,NA,0.976744186046512,NA,NA,0.11340206185567,NA,NA
"P25",1,NA,NA,1,NA,NA,0.164948453608247,NA,NA
"P26",0.648550724637681,NA,NA,0.989130434782609,NA,NA,0.0515463917525773,NA,NA
"P27",1,NA,NA,1,NA,NA,0.103092783505155,NA,NA
