"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.834604769634086,0.903780068728522,0
"P1",1,1,0
"P2",1,1,0
"P3",1,1,0
"P4",0.935548172757475,0.989690721649485,0
"P5",1,1,0
"P6",0.822992700729927,0.958762886597938,0
"P7",0.955320128972824,0.979381443298969,0
"P8",0.825225225225225,0.917525773195876,0
"P9",0.846031746031746,0.979381443298969,0
"P10",0.806387225548902,0.907216494845361,0
"P11",0.911253430924062,0.979381443298969,0
"P12",1,1,0
"P13",0.585084619676399,0.762886597938144,0
"P14",0.961998041136141,0.979381443298969,0
"P15",0.323590504451039,0.515463917525773,0
"P16",0.349865951742627,0.690721649484536,0
"P17",0.923881768244834,0.969072164948454,0
"P18",0.891861761426979,0.969072164948454,0
"P19",0.953298025999037,0.979381443298969,0
"P20",0.589965079948539,0.762886597938144,0
"P21",0.94555659494855,0.969072164948454,0
"P22",0.31628674265147,0.515463917525773,0
"P23",0.505789717461788,0.77319587628866,0
"P24",0.741505662891406,0.917525773195876,0
"P25",0.917129431866724,0.958762886597938,0
"P26",0.555725190839695,0.969072164948454,0
"P27",0.882424242424242,0.958762886597938,0
