"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.441066354887102,0.338206927780607,0.543211933976195,0.636904761904762,0.577380952380952,0.694444444444444,0,0,0
"Eligibility",0.385365853658537,NA,NA,0.625,NA,NA,0,NA,NA
"Recruitment",0.401621223286662,NA,NA,0.589285714285714,NA,NA,0,NA,NA
"Setting",0.510489510489511,NA,NA,0.625,NA,NA,0,NA,NA
"Organization",0.209554831704669,NA,NA,0.5,NA,NA,0,NA,NA
"Flex. delivery",0.343869209809264,NA,NA,0.553571428571429,NA,NA,0,NA,NA
"Flex. adherence",0.194244604316547,NA,NA,0.589285714285714,NA,NA,0,NA,NA
"Follow-up",0.533333333333333,NA,NA,0.589285714285714,NA,NA,0,NA,NA
"Outcome",0.373134328358209,NA,NA,0.946428571428571,NA,NA,0,NA,NA
"Analysis",0.430025445292621,NA,NA,0.714285714285714,NA,NA,0,NA,NA
