publication_id,tool,quote,best_match_source,best_match,similarity
1528,PRECIS-2,"Four and eight months after random allocation, participants were sent a booklet of outcome questionnaires to complete and return by post.",fulltext,"Four and eight months after random allocation, participants were sent a booklet of outcome questionnaires to complete and return by post.",100.0
1528,PRECIS-2,"People with multiple sclerosis were screened on the General Health Questionnaire 12 and Hospital Anxiety and Depression Scale, and those with low mood were recruited.",fulltext,"People with multiple sclerosis were screened on the General Health Questionnaire 12 and Hospital Anxiety and Depression Scale, and those with low mood were recruited.",100.0
1528,PRECIS-2,"Clusters of eight participants, who could attend groups on the same day, were randomly allocated, using a web-based randomization programme prepared in advance by the Clinical Trials Unit at Nottingham University, to an intervention or control group.",fulltext,"Clusters of eight participants, who could attend groups on the same day, were randomly allocated, using a web-based randomization programme prepared in advance by the Clinical Trials Unit at Nottingham University, to an intervention or control group.",100.0
1528,PRECIS-2,"The groups were delivered by two Band 5 assistant psychologists, who were supervised by a Band 8a clinical psychologist, experienced in working with people with multiple sclerosis.",fulltext,"The groups were delivered by two Band 5 assistant psychologists, who were supervised by a Band 8a clinical psychologist, experienced in working with people with multiple sclerosis.",100.0
1528,PRECIS-2,Quality of life was assessed using the EQ-5D.,fulltext,Quality of life was assessed using the EQ-5D.,100.0
1529,PRECIS-2,"To investigate depression, anxiety, and stress, DASS-21, developed by Lovibond and Lovibond in 1995, was used and its validity and reliability were confirmed [17]. To measure fatigue, the Piper Standard Scale was used.",fulltext,"To investigate depression, anxiety, and stress, DASS-21, developed by Lovibond and Lovibond in 1995, was used and its validity and reliability were confirmed [17]. To measure fatigue, the Piper Standard Scale was used.",100.0
1529,PRECIS-2,"The intervention was implemented within two days a week. For the control group, a routine protocol was conducted. For blinding, the patients of the control group referred to the Society on certain days of week and those of the experimental on other days.",fulltext,"The intervention was implemented within two days a week. For the control group, a routine protocol was conducted. For blinding, the patients of the control group referred to the Society on certain days of week and those of the experimental on other days.",100.0
1529,PRECIS-2,"Moreover, to investigate the efficacy of the FHM, the DASS-21 and Piper Standard Scale were administered to the experimental group in the follow-up session.",fulltext,"Moreover, to investigate the efficacy of the FHM, the DASS-21 and Piper Standard Scale were administered to the experimental group in the follow-up session.",100.0
1529,PRECIS-2,"Because the patients were not hospitalized and regularly referred to the Association, to follow randomized assignment, we decided to run the sampling within two consecutive months until we enrolled an adequate number of participants. Accordingly, 70 numbers, equal to the number of people required in each group, were developed and the numbers 1e70 were randomly assigned to two groups: experimental and control. After eligible patients referred to the Association, a number was randomly assigned to each patient according to his/her referring time and the patients were assigned to the two groups.",fulltext,"Because the patients were not hospitalized and regularly referred to the Association, to follow randomized assignment, we decided to run the sampling within two consecutive months until we enrolled an adequate number of participants. Accordingly, 70 numbers, equal to the number of people required in each group, were developed and the numbers 1e70 were randomly assigned to two groups: experimental and control. After eligible patients referred to the Association, a number was randomly assigned to each patient according to his/her referring time and the patients were assigned to the two groups.",100.0
1529,PRECIS-2,"The inclusion criteria were being definitely diagnosed with MS and having records in the Society and the exclusion criteria having history of other psychiatric disorders including major depressive disorder (according to the medical records and the physician's examinations) or bipolar disorder (except for cognitive disorders by which MS is characterized), substance dependency, any neurological disorders, history of taking corticosteroids or the disease recurrence within the previous six months.",fulltext,"The inclusion criteria were being definitely diagnosed with MS and having records in the Society and the exclusion criteria having history of other psychiatric disorders including major depressive disorder (according to the medical records and the physician's examinations) or bipolar disorder (except for cognitive disorders by which MS is characterized), substance dependency, any neurological disorders, history of taking corticosteroids or the disease recurrence within the previous six months.",100.0
