"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.201061002674085,0.11152537430874,0.280072389875336,0.361111111111111,0.31547619047619,0.406746031746032,0,0,0
"Eligibility",-0.0455927051671734,NA,NA,0.357142857142857,NA,NA,0,NA,NA
"Recruitment",0.295641344956413,NA,NA,0.357142857142857,NA,NA,0,NA,NA
"Setting",0.097339593114241,NA,NA,0.25,NA,NA,0,NA,NA
"Organization",0.0102325581395348,NA,NA,0.285714285714286,NA,NA,0,NA,NA
"Flex. delivery",0.219405114696521,NA,NA,0.321428571428571,NA,NA,0,NA,NA
"Flex. adherence",0.278023158648681,NA,NA,0.428571428571429,NA,NA,0,NA,NA
"Follow-up",0.196911196911197,NA,NA,0.375,NA,NA,0,NA,NA
"Outcome",-0.0132391879964695,NA,NA,0.553571428571429,NA,NA,0,NA,NA
"Analysis",0.179639975170701,NA,NA,0.321428571428571,NA,NA,0,NA,NA
