"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.209163659187196,0.0673205834935863,0.343859971394856,0.579207920792079,0.50264033492409,0.653033267729206,0.599206349206349,0.549653581489694,0.650793650793651
"Eligibility",-0.0114068441064639,NA,NA,0.409090909090909,NA,NA,0.607142857142857,NA,NA
"Recruitment",0.254988913525499,NA,NA,0.428571428571429,NA,NA,0.625,NA,NA
"Setting",0.144312393887946,NA,NA,0.727272727272727,NA,NA,0.607142857142857,NA,NA
"Organization",0.203413940256046,NA,NA,0.631578947368421,NA,NA,0.660714285714286,NA,NA
"Flex. delivery",0.3,NA,NA,0.473684210526316,NA,NA,0.660714285714286,NA,NA
"Flex. adherence",0.282051282051282,NA,NA,0.666666666666667,NA,NA,0.625,NA,NA
"Follow-up",0.134408602150538,NA,NA,0.476190476190476,NA,NA,0.625,NA,NA
"Outcome",-0.037037037037037,NA,NA,0.791666666666667,NA,NA,0.571428571428571,NA,NA
"Analysis",0.408301886792453,NA,NA,0.575757575757576,NA,NA,0.410714285714286,NA,NA
