publication_id,tool,quote,best_match_source,best_match,similarity
1528,PRECIS-2,"The main analysis evaluated the total costs of the intervention, resource use and medication at eight months after randomization.",fulltext,"The main analysis evaluated the total costs of the intervention, resource use and medication at eight months after randomization.",100.0
1528,PRECIS-2,"Participants were included who scored >2 on the General Health Questionnaire 12, a measure of psychological distress, or >7 on the anxiety and depression subscales of the Hospital Anxiety and Depression Scale, thus confirming they had low mood.",fulltext,"participants were included who scored >2 on the General Health Questionnaire 12,7 a measure of psychological distress, or >7 on the anxiety and depression subscales of the Hospital Anxiety and Depression Scale,8 thus confirming they had low mood.",100.0
1528,PRECIS-2,Community.,fulltext,Community.,100.0
1528,PRECIS-2,Participants randomly allocated to the adjustment group received six group treatment sessions.,fulltext,Participants randomly allocated to the adjustment group received six group treatment sessions.,100.0
1528,PRECIS-2,Participants allocated to intervention were invited to attend a psychological adjustment group for six sessions over 12 weeks.,fulltext,se allocated to intervention were invited to attend a psychological adjustment group for six sessions over 12 weeks.,91.26984126984127
1528,PRECIS-2,"People with multiple sclerosis were screened on the General Health Questionnaire 12 and Hospital Anxiety and Depression Scale, and those with low mood were recruited.",fulltext,"People with multiple sclerosis were screened on the General Health Questionnaire 12 and Hospital Anxiety and Depression Scale, and those with low mood were recruited.",100.0
1528,PRECIS-2,The aim of the present study was to determine the cost effectiveness of the intervention.,fulltext,The aim of the present study was to determine the cost effectiveness of the intervention.,100.0
1528,PRECIS-2,"Outcomes were assessed four and eight months after randomization, blind to group allocation.",fulltext,"Outcomes were assessed four and eight months after randomization, blind to group allocation.",100.0
1528,PRECIS-2,"The groups were delivered by two Band 5 assistant psychologists, who were supervised by a Band 8a clinical psychologist, experienced in working with people with multiple sclerosis.",fulltext,"The groups were delivered by two Band 5 assistant psychologists, who were supervised by a Band 8a clinical psychologist, experienced in working with people with multiple sclerosis.",100.0
1529,PRECIS-2,This clinical trial was conducted in 2015–2016 and registered as IRCT2014112420064N1 in the Iranian Register of Clinical Trials. The study population consists the patients referring to the Multiple Sclerosis Society of Isfahan.,fulltext,This clinical trial was conducted in 2015–2016 and registered as IRCT2014112420064N1 in the Iranian Register of Clinical Trials. The study population consists the patients referring to the Multiple Sclerosis Society of Isfahan.,100.0
1529,PRECIS-2,"The intervention was implemented within two days a week. For the control group, a routine protocol was conducted.",fulltext,"The intervention was implemented within two days a week. For the control group, a routine protocol was conducted.",100.0
1529,PRECIS-2,"This study demonstrated a significant difference in levels of stress, depression, and total fatigue between before and after the intervention, representing the optimal effect of FHM in decreasing the severity of stress, depression, and total fatigue. Regarding anxiety, however, the difference in the mean score was not significant between before and after the intervention.",fulltext,"This study demonstrated a significant difference in levels of stress, depression, and total fatigue between before and after the intervention, representing the optimal effect of FHM in decreasing the severity of stress, depression, and total fatigue. Regarding anxiety, however, the difference in the mean score was not significant between before and after the intervention.",100.0
1529,PRECIS-2,"Because the patients were not hospitalized and regularly referred to the Association, to follow randomized assignment, we decided to run the sampling within two consecutive months until we enrolled an adequate number of participants.",fulltext,"Because the patients were not hospitalized and regularly referred to the Association, to follow randomized assignment, we decided to run the sampling within two consecutive months until we enrolled an adequate number of participants.",100.0
1529,PRECIS-2,"At completion of the training program, all happy techniques were briefly reviewed with the participants, the participants were asked some questions about their current happiness and optimism levels, and their questions, if any, were answered. Then, DASS-21 and Piper Scale were administered to the participants.",fulltext,"At completion of the training program, all happy techniques were briefly reviewed with the participants, the participants were asked some questions about their current happiness and optimism levels, and their questions, if any, were answered. Then, DASS-21 and Piper Scale were administered to the participants.",100.0
1529,PRECIS-2,"The data obtained before and after conduction of the program were analyzed by chi-square test, Mann-Whitney, covariance statistics, repeated measures ANOVA, and independent t-test in SPSS 18.",fulltext,"The data obtained before and after conduction of the program were analyzed by chi-square test, Mann-Whitney, covariance statistics, repeated measures ANOVA, and independent t-test in SPSS 18.",100.0
1529,PRECIS-2,"The participants were acknowledged for their participation in the study and the follow-up session was decided to be held three months later. Moreover, to investigate the efficacy of the FHM, the DASS-21 and Piper Standard Scale were administered to the experimental group in the follow-up session.",fulltext,"The participants were acknowledged for their participation in the study and the follow-up session was decided to be held three months later. Moreover, to investigate the efficacy of the FHM, the DASS-21 and Piper Standard Scale were administered to the experimental group in the follow-up session.",100.0
1529,PRECIS-2,"The inclusion criteria were being definitely diagnosed with MS and having records in the Society and the exclusion criteria having history of other psychiatric disorders including major depressive disorder (according to the medical records and the physician's examinations) or bipolar disorder (except for cognitive disorders by which MS is characterized), substance dependency, any neurological disorders, history of taking corticosteroids or the disease recurrence within the previous six months.",fulltext,"The inclusion criteria were being definitely diagnosed with MS and having records in the Society and the exclusion criteria having history of other psychiatric disorders including major depressive disorder (according to the medical records and the physician's examinations) or bipolar disorder (except for cognitive disorders by which MS is characterized), substance dependency, any neurological disorders, history of taking corticosteroids or the disease recurrence within the previous six months.",100.0
1529,PRECIS-2,"The intervention consisted of: defining depression, stress, anxiety, and their symptoms, defining happiness, and explaining its necessity, reviewing the results of previous studies on happiness (the first session); the technique of increasing physical activity, the technique of being productive, and doing useful and meaningful things (the second session); the principles of planning and better organization--the technique of removing concerns, the technique of reducing expectations and wishes (the third session); the technique of enhancing creativity, the technique of living at present (the fourth session; the technique of increasing social relationships, the technique of being the real self (the fifth session).",fulltext,"The intervention consisted of: defining depression, stress, anxiety, and their symptoms, defining happiness, and explaining its necessity, reviewing the results of previous studies on happiness (the first session); the technique of increasing physical activity, the technique of being productive, and doing useful and meaningful things (the second session); the principles of planning and better organization--the technique of removing concerns, the technique of reducing expectations and wishes (the third session); the technique of enhancing creativity, the technique of living at present (the fourth session; the technique of increasing social relationships, the technique of being the real self (the fifth session).",100.0
1567,PRECIS-2,"The comparison group received their usual care and a referral to 'MyBrainGames', available for free at MultipleScerosis.com.",fulltext,"The comparison group received their usual care and a referral to 'MyBrainGames', available for free at MultipleScerosis.com.",100.0
1567,PRECIS-2,The purpose of this study was to test the refined MAPSS-MS intervention in a larger multi-site trial with a six-month follow-up.,fulltext,The purpose of this study was to test the refined MAPSS-MS intervention in a larger multi-site trial with a six-month follow-up.,100.0
1567,PRECIS-2,"The majority of participants were female (87%), white (75%), and married (64%).",fulltext,"The majority of participants were female (87%), white (75%), and married (64%).",100.0
1567,PRECIS-2,"The intervention included eight weekly 2-h group sessions focused on building efficacy for use of cognitive compensatory strategies and lifestyle activities that support cognitive functioning (e.g., sleep and rest, exercise) paired with a home-based computer-assisted cognitive training program.",fulltext,"The intervention included eight weekly 2-h group sessions focused on building efficacy for use of cognitive compensatory strategies and lifestyle activities that support cognitive functioning (e.g., sleep and rest, exercise) paired with a home-based computer-assisted cognitive training program.",100.0
1567,PRECIS-2,The fact that both groups demonstrated improvements over time underscores the importance that many people with MS place on dealing with their cognitive limitations.,fulltext,The fact that both groups demonstrated improvements over time underscores the importance that many people with MS place on dealing with their cognitive limitations.,100.0
