"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"1529","deferred","deferred","deferred","NA","deferred","NA","deferred","deferred","NA"
"1567","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"1568","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1569","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"1570","deferred","deferred","deferred","deferred","NA","NA","deferred","deferred","NA"
"1769","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1770","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"1771","5","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"1772","4","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"1773","4","deferred","deferred","4","2","3","3","deferred","deferred"
"648","deferred","deferred","5","deferred","deferred","deferred","4","deferred","deferred"
"650","deferred","4","5","deferred","deferred","NA","deferred","deferred","deferred"
"651","deferred","deferred","5","deferred","3","NA","4","5","5"
"655","deferred","deferred","5","deferred","deferred","deferred","4","deferred","deferred"
"657","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"662","deferred","deferred","5","3","deferred","deferred","3","deferred","5"
"663","4","deferred","5","deferred","deferred","deferred","4","5","deferred"
"664","3","3","deferred","deferred","deferred","4","deferred","5","deferred"
"665","deferred","deferred","4","4","4","deferred","deferred","deferred","deferred"
"666","deferred","NA","deferred","NA","deferred","NA","3","5","deferred"
"668","deferred","deferred","5","deferred","deferred","deferred","deferred","5","deferred"
"669","4","deferred","deferred","deferred","deferred","3","4","5","5"
"670","deferred","deferred","4","deferred","4","deferred","deferred","5","deferred"
"671","deferred","5","5","5","deferred","deferred","deferred","5","deferred"
"673","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"674","deferred","deferred","3","deferred","deferred","2","deferred","5","deferred"
"675","deferred","4","deferred","deferred","deferred","deferred","deferred","5","5"
"677","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"678","deferred","deferred","deferred","deferred","5","deferred","deferred","deferred","4"
"679","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"680","deferred","3","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"681","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","NA"
"682","4","4","deferred","deferred","5","deferred","deferred","deferred","deferred"
"684","deferred","deferred","deferred","4","deferred","deferred","deferred","deferred","deferred"
"685","5","deferred","deferred","deferred","4","deferred","deferred","deferred","deferred"
"686","deferred","deferred","deferred","deferred","deferred","deferred","4","deferred","5"
"687","deferred","deferred","deferred","deferred","deferred","4","deferred","5","deferred"
"688","deferred","5","5","deferred","5","deferred","deferred","5","5"
"689","4","5","deferred","5","deferred","deferred","deferred","5","5"
"690","deferred","NA","NA","deferred","deferred","NA","deferred","5","5"
"691","4","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"692","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"693","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"694","4","4","5","5","deferred","deferred","4","deferred","deferred"
"695","deferred","4","deferred","deferred","deferred","NA","deferred","5","5"
"696","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA"
"697","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"705","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","4"
"712","deferred","deferred","deferred","deferred","2","NA","deferred","deferred","deferred"
"713","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","deferred"
"714","deferred","4","deferred","deferred","5","deferred","deferred","5","deferred"
"715","deferred","deferred","5","4","deferred","deferred","deferred","deferred","4"
"722","4","deferred","5","5","5","deferred","deferred","deferred","deferred"
"725","deferred","deferred","5","5","deferred","deferred","deferred","5","deferred"
"733","deferred","4","5","deferred","deferred","deferred","deferred","deferred","deferred"
