"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.67545377711595,0.531917040919288,0.811824979605457,0.838888888888889,0.773701352949261,0.903021980320785,0.642857142857143,0.599206349206349,0.684473402637291
"Eligibility",0.461538461538462,NA,NA,0.8125,NA,NA,0.714285714285714,NA,NA
"Recruitment",0.590643274853801,NA,NA,0.772727272727273,NA,NA,0.607142857142857,NA,NA
"Setting",0.391304347826087,NA,NA,0.947368421052632,NA,NA,0.660714285714286,NA,NA
"Organization",0.272727272727273,NA,NA,0.842105263157895,NA,NA,0.660714285714286,NA,NA
"Flex. delivery",0.688022284122563,NA,NA,0.733333333333333,NA,NA,0.732142857142857,NA,NA
"Flex. adherence",0.794117647058824,NA,NA,0.875,NA,NA,0.714285714285714,NA,NA
"Follow-up",0.471698113207547,NA,NA,0.777777777777778,NA,NA,0.678571428571429,NA,NA
"Outcome",0.641025641025641,NA,NA,0.878787878787879,NA,NA,0.410714285714286,NA,NA
"Analysis",0.811447811447811,NA,NA,0.863636363636364,NA,NA,0.607142857142857,NA,NA
