"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","deferred","deferred","deferred","deferred","NA","NA","deferred","deferred","deferred"
"1529","deferred","deferred","deferred","NA","deferred","NA","deferred","deferred","NA"
"1567","deferred","3","deferred","deferred","NA","deferred","deferred","5","5"
"1568","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred","5"
"1569","deferred","deferred","deferred","4","5","deferred","4","5","deferred"
"1570","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","NA"
"1769","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1770","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","NA"
"1771","deferred","deferred","4","deferred","deferred","deferred","deferred","deferred","5"
"1772","4","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"1773","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"648","4","deferred","5","deferred","deferred","deferred","4","deferred","deferred"
"650","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"651","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"655","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"657","deferred","deferred","5","4","deferred","5","deferred","deferred","5"
"662","deferred","deferred","deferred","deferred","deferred","deferred","3","deferred","5"
"663","deferred","deferred","deferred","deferred","deferred","deferred","4","5","deferred"
"664","3","3","deferred","deferred","deferred","deferred","deferred","5","deferred"
"665","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"666","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"668","4","4","5","deferred","deferred","deferred","4","5","deferred"
"669","4","4","deferred","5","4","deferred","deferred","5","5"
"670","5","5","deferred","5","deferred","deferred","deferred","5","deferred"
"671","deferred","5","5","deferred","3","deferred","deferred","5","deferred"
"673","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"674","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA"
"675","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"677","2","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"678","deferred","deferred","deferred","deferred","deferred","5","deferred","deferred","deferred"
"679","deferred","deferred","deferred","deferred","deferred","deferred","3","deferred","5"
"680","deferred","deferred","deferred","deferred","deferred","deferred","4","5","5"
"681","deferred","3","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"682","4","deferred","deferred","deferred","5","deferred","deferred","deferred","deferred"
"684","deferred","deferred","5","deferred","deferred","5","deferred","5","deferred"
"685","5","5","deferred","deferred","deferred","deferred","deferred","5","NA"
"686","3","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"687","deferred","deferred","deferred","deferred","4","4","3","deferred","deferred"
"688","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"689","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"690","deferred","deferred","deferred","3","deferred","NA","deferred","deferred","5"
"691","deferred","deferred","4","4","deferred","deferred","4","deferred","deferred"
"692","deferred","5","deferred","deferred","deferred","deferred","deferred","5","deferred"
"693","deferred","NA","deferred","deferred","NA","deferred","deferred","deferred","NA"
"694","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"695","deferred","4","5","deferred","deferred","NA","deferred","deferred","deferred"
"696","deferred","NA","deferred","deferred","deferred","NA","deferred","deferred","NA"
"697","deferred","deferred","deferred","4","deferred","deferred","4","5","deferred"
"705","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"712","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","NA"
"713","deferred","deferred","deferred","NA","5","NA","deferred","5","deferred"
"714","deferred","4","deferred","deferred","5","deferred","deferred","5","deferred"
"715","deferred","deferred","5","4","deferred","deferred","deferred","deferred","deferred"
"722","deferred","deferred","deferred","5","deferred","deferred","3","deferred","deferred"
"725","deferred","deferred","deferred","deferred","4","deferred","deferred","5","deferred"
"733","deferred","4","deferred","4","deferred","deferred","3","deferred","deferred"
