"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.670453616673478,0.502019783588365,0.821426073643415,0.746031746031746,0.648653890049681,0.834612329303405,0.75,0.712301587301587,0.785714285714286
"Eligibility",0.536643026004728,NA,NA,0.6,NA,NA,0.821428571428571,NA,NA
"Recruitment",0.622714148219442,NA,NA,0.6875,NA,NA,0.714285714285714,NA,NA
"Setting",0.513043478260869,NA,NA,0.727272727272727,NA,NA,0.803571428571429,NA,NA
"Organization",0.342960288808664,NA,NA,0.833333333333333,NA,NA,0.785714285714286,NA,NA
"Flex. delivery",0.629684055841293,NA,NA,0.727272727272727,NA,NA,0.803571428571429,NA,NA
"Flex. adherence",0.726977248104009,NA,NA,0.785714285714286,NA,NA,0.75,NA,NA
"Follow-up",0.653786707882535,NA,NA,0.666666666666667,NA,NA,0.785714285714286,NA,NA
"Outcome",0.677000720980534,NA,NA,0.894736842105263,NA,NA,0.660714285714286,NA,NA
"Analysis",0.631924882629108,NA,NA,0.714285714285714,NA,NA,0.625,NA,NA
