"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.682226518080509,0.490472726994757,0.837387706592893,0.856115107913669,0.786776629413707,0.917337875295589,0.713991769547325,0.679012345679012,0.751028806584362
"Eligibility",0.578125,NA,NA,0.875,NA,NA,0.703703703703704,NA,NA
"Recruitment",0.448979591836735,NA,NA,0.692307692307692,NA,NA,0.759259259259259,NA,NA
"Setting",0.557377049180328,NA,NA,0.909090909090909,NA,NA,0.796296296296296,NA,NA
"Organization",0.76,NA,NA,0.933333333333333,NA,NA,0.722222222222222,NA,NA
"Flex. delivery",0.894736842105263,NA,NA,0.888888888888889,NA,NA,0.833333333333333,NA,NA
"Flex. adherence",0.905923344947735,NA,NA,0.941176470588235,NA,NA,0.685185185185185,NA,NA
"Follow-up",-0.0836120401337794,NA,NA,0.823529411764706,NA,NA,0.685185185185185,NA,NA
"Outcome",0.845714285714286,NA,NA,0.96,NA,NA,0.537037037037037,NA,NA
"Analysis",0.5,NA,NA,0.625,NA,NA,0.703703703703704,NA,NA
