"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.70350058618492,0.565329720091479,0.812638709556402,0.763888888888889,0.680851063829787,0.838926174496644,0.69811320754717,0.658280922431866,0.740041928721174
"Eligibility",0.739770867430442,NA,NA,0.8,NA,NA,0.716981132075472,NA,NA
"Recruitment",0.564475347661188,NA,NA,0.714285714285714,NA,NA,0.735849056603774,NA,NA
"Setting",0.420765027322404,NA,NA,0.727272727272727,NA,NA,0.792452830188679,NA,NA
"Organization",0.577127659574468,NA,NA,0.666666666666667,NA,NA,0.660377358490566,NA,NA
"Flex. delivery",0.770278637770898,NA,NA,0.692307692307692,NA,NA,0.754716981132076,NA,NA
"Flex. adherence",0.83560794044665,NA,NA,0.846153846153846,NA,NA,0.754716981132076,NA,NA
"Follow-up",0.0507462686567163,NA,NA,0.6,NA,NA,0.716981132075472,NA,NA
"Outcome",0.752336448598131,NA,NA,0.923076923076923,NA,NA,0.509433962264151,NA,NA
"Analysis",0.704291845493562,NA,NA,0.789473684210526,NA,NA,0.641509433962264,NA,NA
