"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","5"
"1529","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","NA"
"1567","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"1568","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1569","deferred","deferred","4","deferred","deferred","3","deferred","5","5"
"1570","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1769","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1770","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","NA"
"1771","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","5"
"1772","deferred","NA","deferred","deferred","deferred","NA","deferred","deferred","NA"
"1773","4","deferred","deferred","deferred","2","deferred","3","deferred","5"
"648","4","deferred","5","deferred","deferred","NA","deferred","deferred","deferred"
"650","deferred","deferred","5","3","deferred","deferred","deferred","deferred","deferred"
"651","5","NA","5","deferred","deferred","deferred","deferred","5","5"
"655","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"657","2","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"662","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"663","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"664","3","deferred","deferred","deferred","deferred","4","deferred","5","deferred"
"665","deferred","deferred","deferred","4","deferred","deferred","deferred","deferred","deferred"
"666","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"668","deferred","deferred","5","deferred","deferred","4","deferred","5","deferred"
"669","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"670","deferred","deferred","deferred","deferred","4","deferred","deferred","5","deferred"
"671","deferred","deferred","deferred","deferred","3","3","deferred","5","deferred"
"673","deferred","deferred","5","5","deferred","deferred","deferred","5","deferred"
"674","3","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"675","deferred","4","NA","deferred","deferred","deferred","deferred","5","5"
"677","2","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"678","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"679","deferred","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"680","deferred","3","deferred","deferred","deferred","deferred","deferred","5","5"
"681","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"682","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"684","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"685","5","deferred","deferred","deferred","deferred","NA","NA","5","deferred"
"686","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"687","2","deferred","deferred","deferred","deferred","4","deferred","5","deferred"
"688","deferred","deferred","5","deferred","5","deferred","4","5","deferred"
"689","deferred","deferred","deferred","deferred","3","3","deferred","5","5"
"690","deferred","NA","NA","deferred","deferred","NA","deferred","5","5"
"691","deferred","4","deferred","deferred","3","deferred","deferred","deferred","deferred"
"692","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"693","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"694","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"695","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"696","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"697","deferred","deferred","5","deferred","deferred","deferred","deferred","5","deferred"
"705","deferred","deferred","deferred","deferred","deferred","4","deferred","5","deferred"
"712","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","NA"
"713","deferred","4","deferred","deferred","5","deferred","deferred","5","deferred"
"714","deferred","4","deferred","deferred","5","deferred","deferred","5","deferred"
"715","deferred","NA","5","4","deferred","deferred","4","5","deferred"
"722","4","NA","5","5","5","deferred","deferred","deferred","deferred"
"725","deferred","deferred","5","5","4","deferred","4","deferred","deferred"
"733","deferred","4","deferred","deferred","deferred","3","deferred","deferred","deferred"
