"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.286640847370631,0.195223528833698,0.379172346580064,0.571428571428571,0.517857142857143,0.626984126984127,0,0,0
"Eligibility",0.230496453900709,NA,NA,0.714285714285714,NA,NA,0,NA,NA
"Recruitment",0.284345047923323,NA,NA,0.571428571428571,NA,NA,0,NA,NA
"Setting",0.1841059602649,NA,NA,0.660714285714286,NA,NA,0,NA,NA
"Organization",0.107332624867163,NA,NA,0.517857142857143,NA,NA,0,NA,NA
"Flex. delivery",0.307384503455802,NA,NA,0.5,NA,NA,0,NA,NA
"Flex. adherence",0.109467455621302,NA,NA,0.339285714285714,NA,NA,0,NA,NA
"Follow-up",0.0698466780238499,NA,NA,0.517857142857143,NA,NA,0,NA,NA
"Outcome",0.267808836789901,NA,NA,0.696428571428571,NA,NA,0,NA,NA
"Analysis",0.548213599692662,NA,NA,0.625,NA,NA,0,NA,NA
