"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.296116572350218,0.215975834231594,0.372083486493004,0.398809523809524,0.351190476190476,0.442460317460317,0,0,0
"Eligibility",0.36,NA,NA,0.5,NA,NA,0,NA,NA
"Recruitment",0.258687258687259,NA,NA,0.410714285714286,NA,NA,0,NA,NA
"Setting",0.225240425172937,NA,NA,0.428571428571429,NA,NA,0,NA,NA
"Organization",0.066129959746981,NA,NA,0.25,NA,NA,0,NA,NA
"Flex. delivery",0.264931087289433,NA,NA,0.303571428571429,NA,NA,0,NA,NA
"Flex. adherence",0.122319113834551,NA,NA,0.303571428571429,NA,NA,0,NA,NA
"Follow-up",0.0902208201892745,NA,NA,0.357142857142857,NA,NA,0,NA,NA
"Outcome",0.275271073802029,NA,NA,0.607142857142857,NA,NA,0,NA,NA
"Analysis",0.498218719637266,NA,NA,0.428571428571429,NA,NA,0,NA,NA
