"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.664506703739485,0.573391296927159,0.759003072294352,0.666666666666667,0.585531091178723,0.735483870967742,0.702380952380952,0.660714285714286,0.740079365079365
"Eligibility",0.553587245349867,NA,NA,0.6,NA,NA,0.732142857142857,NA,NA
"Recruitment",0.602836879432624,NA,NA,0.666666666666667,NA,NA,0.678571428571429,NA,NA
"Setting",0.187751813053989,NA,NA,0.538461538461538,NA,NA,0.535714285714286,NA,NA
"Organization",0.295194508009153,NA,NA,0.461538461538462,NA,NA,0.767857142857143,NA,NA
"Flex. delivery",0.855670103092783,NA,NA,0.75,NA,NA,0.928571428571429,NA,NA
"Flex. adherence",0.698175787728027,NA,NA,0.8,NA,NA,0.642857142857143,NA,NA
"Follow-up",0.648745519713262,NA,NA,0.714285714285714,NA,NA,0.75,NA,NA
"Outcome",0.656675749318801,NA,NA,0.85,NA,NA,0.642857142857143,NA,NA
"Analysis",0.688888888888889,NA,NA,0.65,NA,NA,0.642857142857143,NA,NA
