"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1529","3","deferred","deferred","NA","deferred","deferred","deferred","deferred","NA"
"1567","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"1568","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1569","deferred","5","deferred","5","deferred","deferred","deferred","5","5"
"1570","deferred","NA","deferred","NA","deferred","NA","deferred","deferred","NA"
"1769","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","NA"
"1770","deferred","NA","4","deferred","NA","NA","deferred","deferred","deferred"
"1771","4","5","deferred","deferred","deferred","deferred","deferred","deferred","5"
"1772","deferred","deferred","deferred","NA","NA","NA","deferred","5","deferred"
"1773","4","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"648","deferred","NA","deferred","NA","deferred","NA","deferred","deferred","deferred"
"650","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","3"
"651","deferred","5","5","5","5","deferred","4","5","deferred"
"655","4","NA","5","deferred","deferred","deferred","3","deferred","deferred"
"657","3","deferred","4","deferred","deferred","4","deferred","deferred","5"
"662","deferred","deferred","deferred","deferred","deferred","5","deferred","5","deferred"
"663","deferred","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"664","deferred","4","deferred","deferred","deferred","deferred","deferred","deferred","5"
"665","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"666","deferred","deferred","deferred","deferred","deferred","4","3","5","deferred"
"668","deferred","deferred","5","5","5","deferred","4","deferred","5"
"669","deferred","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"670","5","5","deferred","deferred","5","deferred","deferred","5","5"
"671","deferred","5","5","deferred","deferred","deferred","deferred","deferred","deferred"
"673","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"674","3","NA","deferred","deferred","deferred","NA","deferred","deferred","NA"
"675","deferred","deferred","NA","deferred","deferred","NA","deferred","5","5"
"677","deferred","NA","3","deferred","deferred","NA","deferred","5","NA"
"678","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"679","4","deferred","deferred","deferred","deferred","deferred","4","5","deferred"
"680","deferred","3","deferred","4","deferred","deferred","deferred","5","NA"
"681","4","deferred","deferred","deferred","deferred","deferred","4","deferred","deferred"
"682","4","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"684","4","4","5","5","5","deferred","4","5","deferred"
"685","5","deferred","deferred","3","5","NA","deferred","5","deferred"
"686","deferred","deferred","deferred","4","deferred","NA","deferred","5","deferred"
"687","deferred","deferred","deferred","NA","deferred","NA","deferred","deferred","NA"
"688","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA"
"689","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","4"
"690","4","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"691","4","deferred","5","deferred","3","deferred","4","5","5"
"692","4","deferred","5","deferred","deferred","NA","deferred","5","4"
"693","deferred","NA","deferred","deferred","deferred","NA","deferred","3","NA"
"694","deferred","deferred","deferred","deferred","deferred","NA","4","deferred","5"
"695","deferred","5","deferred","deferred","deferred","deferred","3","5","deferred"
"696","deferred","deferred","deferred","deferred","NA","NA","deferred","deferred","NA"
"697","3","deferred","4","4","4","3","4","deferred","5"
"705","deferred","deferred","4","deferred","deferred","deferred","deferred","5","5"
"712","deferred","5","5","deferred","deferred","deferred","deferred","5","5"
"713","deferred","deferred","deferred","deferred","deferred","deferred","4","deferred","deferred"
"714","4","deferred","5","deferred","5","NA","deferred","5","deferred"
"715","deferred","deferred","5","5","deferred","NA","4","5","5"
"722","deferred","5","5","5","5","5","deferred","5","5"
"725","deferred","5","5","5","5","deferred","5","5","deferred"
"733","4","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
