"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.562305157210297,0.418607667728247,0.707207563518379,0.782608695652174,0.705489687780341,0.854166666666667,0.726190476190476,0.676637708473821,0.773759116923005
"Eligibility",-0.00900900900900914,NA,NA,0.583333333333333,NA,NA,0.785714285714286,NA,NA
"Recruitment",0.871559633027523,NA,NA,0.923076923076923,NA,NA,0.767857142857143,NA,NA
"Setting",0.282051282051282,NA,NA,0.923076923076923,NA,NA,0.767857142857143,NA,NA
"Organization",0.399141630901288,NA,NA,0.705882352941177,NA,NA,0.696428571428571,NA,NA
"Flex. delivery",0.338582677165354,NA,NA,0.75,NA,NA,0.785714285714286,NA,NA
"Flex. adherence",0.409638554216867,NA,NA,0.681818181818182,NA,NA,0.607142857142857,NA,NA
"Follow-up",0.730120481927711,NA,NA,0.8,NA,NA,0.821428571428571,NA,NA
"Outcome",0.421487603305785,NA,NA,0.888888888888889,NA,NA,0.678571428571429,NA,NA
"Analysis",0.733650416171225,NA,NA,0.80952380952381,NA,NA,0.625,NA,NA
